"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11422-1",340,0.00995033085316809,-0.35,0.6,0.1,0.0712631180048944,0.0119820824001926,0.00131661497821581,0.0117458312582776,0.00131530135219816,0.0131566143713631,0.00420783346897289,0.0109468843974004,0.00198376284659545
"11422-2",340,0.00995033085316809,-0.35,0.6,0.1,0.0717922389451051,0.0109329747656639,0.00133577670597966,0.01056784159869,0.00128595416200177,0.0121534690760358,0.00477126316903526,0.0123359122178575,0.00185364195529353
"11422-3",340,0.00995033085316809,-0.35,0.6,0.1,0.0721386916073945,0.0115612560361513,0.00135243305262323,0.0107964176419064,0.00131862657566344,0.0180851369584757,0.004567961432891,0.0128950722895329,0.00207908962553474
"11422-4",340,0.00995033085316809,-0.35,0.6,0.1,0.0717510983307328,0.0122557016886919,0.00134033379138494,0.0120308968735653,0.0013265215136316,0.00570283892256331,0.00709824460074186,0.0116568895965302,0.00187938026841813
"11422-5",340,0.00995033085316809,-0.35,0.6,0.1,0.0715718630628008,0.00891454696527831,0.00126601161560334,0.0088535198946766,0.00124427767045627,0.0089027244087039,0.00570123931605975,0.00833866287133763,0.00164061522894758
"11422-6",340,0.00995033085316809,-0.35,0.6,0.1,0.0718277636006154,0.00742324992261999,0.0013725133654659,0.00697938005476653,0.00136072463447652,0.00743626852747008,0.0033567780603626,0.00829793878507409,0.00167566331378275
"11422-7",340,0.00995033085316809,-0.35,0.6,0.1,0.0716025137347748,0.00923529122272534,0.00118196580345803,0.00868327569726904,0.00115470986507144,0.0137020453428376,0.00387106558640517,0.00949485331314797,0.00133148132106202
"11422-8",340,0.00995033085316809,-0.35,0.6,0.1,0.071267793614169,0.0113590366168847,0.0013775410171652,0.0114158622061478,0.00136802724327768,0.0108976859188837,0.00479467338126971,0.0109060062584509,0.00165580657567731
"11422-9",340,0.00995033085316809,-0.35,0.6,0.1,0.0716877391579341,0.00870483547165584,0.00117441015085462,0.00849542792200089,0.00115274724172884,0.00542474348467909,0.00317659495521836,0.0086536439024978,0.00131828621040108
"11422-10",340,0.00995033085316809,-0.35,0.6,0.1,0.0720631953598307,0.0126984122382704,0.00119255588244176,0.0121684198727103,0.00118145333540235,0.00939354974435028,0.00590404536439727,0.0134619289203372,0.00162745515357071
"11422-11",340,0.00995033085316809,-0.35,0.6,0.1,0.0718289847365837,0.00980388838234506,0.00128697036458006,0.00985562089794264,0.00128926058583749,0.0141407157731343,0.00507664037745769,0.0110401028784698,0.00157194152362713
"11422-12",340,0.00995033085316809,-0.35,0.6,0.1,0.071728718000824,0.0110311624278276,0.00138536519125704,0.0104177146487274,0.00133462061374166,0.0096550796924078,0.00365713001526763,0.0106228717262453,0.00207245228662402
"11422-13",340,0.00995033085316809,-0.35,0.6,0.1,0.071820829476484,0.0119166154751099,0.00132484363500006,0.0115227951796318,0.00130705811606455,0.00827932682336708,0.00470210898799708,0.0129620754718369,0.00171034606028393
"11422-14",340,0.00995033085316809,-0.35,0.6,0.1,0.0713807423505407,0.0126519969315403,0.00122348055438482,0.0125048862312386,0.00119136520071231,0.0102569844696356,0.00368671490667244,0.0119910797257233,0.00164863260311411
