"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11429-1",340,0.00995033085316809,-0.7,0.6,0.75,0.0717251836123378,0.00832199172227526,0.00133426469823865,0.00785852992887029,0.00131269679869901,0.00919058425415804,0.00151899581077799,0.00824512480042695,0.00157539351082886
"11429-2",340,0.00995033085316809,-0.7,0.6,0.75,0.0721522951491222,0.0108747204050856,0.00124641121981893,0.010240968771116,0.00121995881870772,0.0101001620338858,0.00139418357287911,0.0107800781643843,0.00141872476867382
"11429-3",340,0.00995033085316809,-0.7,0.6,0.75,0.0715018938241795,0.00949124367189814,0.0012083551169125,0.00956218552834646,0.00118806145567803,0.00822855199510928,0.00137390929614091,0.00948877392049166,0.00134815749379444
"11429-4",340,0.00995033085316809,-0.7,0.6,0.75,0.0718089217247829,0.0103079803666423,0.00126615598075516,0.00965184460589645,0.00124431030704066,0.0110446660889868,0.00146908874913644,0.0104544198753812,0.00136372601307609
"11429-5",340,0.00995033085316809,-0.7,0.6,0.75,0.0723988704262751,0.0105283426769391,0.00102365761731863,0.00953128750020222,0.000997415802081805,0.0112778408804605,0.00117533978138276,0.010450769833036,0.0011258156026303
"11429-6",340,0.00995033085316809,-0.7,0.6,0.75,0.0717637949975531,0.00961946746318094,0.00108733679224525,0.00923844308788165,0.00109008830168857,0.00937086028217654,0.00124551328688842,0.00952883240791607,0.00113072872339764
"11429-7",340,0.00995033085316809,-0.7,0.6,0.75,0.0720660163606885,0.0127983172085064,0.00125335902074117,0.0120301710850614,0.00124515568306971,0.0113369890082833,0.00160844425948152,0.0128695725269812,0.00142066443841837
"11429-8",340,0.00995033085316809,-0.7,0.6,0.75,0.0720445473735993,0.00892403576811303,0.00117869218575017,0.00895968873445264,0.00117275322362346,0.00948033311559552,0.00136519853635253,0.00900910328242953,0.00128891157055753
"11429-9",340,0.00995033085316809,-0.7,0.6,0.75,0.0720951453789812,0.0112904207411021,0.00115763668890124,0.0109114602308674,0.00113802329900523,0.0110674107907092,0.00137406686670737,0.0114172227271793,0.00124645289156408
"11429-10",340,0.00995033085316809,-0.7,0.6,0.75,0.0718786135579318,0.00939853280096537,0.00109909644129185,0.00909540990934519,0.00107854740674148,0.00890918122951219,0.00156895153371263,0.00953081663515897,0.00122442763123307
"11429-11",340,0.00995033085316809,-0.7,0.6,0.75,0.0721168512546382,0.0114439564486597,0.00109723496316654,0.0113798110625144,0.0010811107445539,0.0116593441366172,0.00130651531850453,0.0115504216853221,0.00115410157834732
"11429-12",340,0.00995033085316809,-0.7,0.6,0.75,0.0718515318003179,0.0114064264083188,0.00111897851516521,0.0109101867174467,0.00111526869511209,0.0112913856567066,0.00126510376310048,0.0113585832904421,0.00121837153503865
"11429-13",340,0.00995033085316809,-0.7,0.6,0.75,0.0713708268351489,0.0110335215204248,0.00105138409760333,0.0108062593565335,0.00104776402343588,0.011869849295255,0.00122848942582495,0.0112259744605756,0.00111276749445099
"11429-14",340,0.00995033085316809,-0.7,0.6,0.75,0.0713867345422387,0.00855526971422553,0.00140789168513391,0.00825656420517337,0.00135746369998514,0.00874391396681969,0.00160112513110499,0.00881035668993225,0.00159297240056738
"11429-15",340,0.00995033085316809,-0.7,0.6,0.75,0.0719602152385481,0.0110921980058129,0.0011507969123198,0.0105378515340213,0.00113713899458682,0.0109444738857854,0.00133759965133713,0.0113176434723585,0.00129344307151162
"11429-16",340,0.00995033085316809,-0.7,0.6,0.75,0.071523766783323,0.00900149219071812,0.00136426210226681,0.00853318212179241,0.00134151401127003,0.00929047983840184,0.00152276416635135,0.00921180526994471,0.00157515128022225
