"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-1",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682212371206836,-0.0109822322834954,0.00121023531718451,-0.0108558135464015,0.00119125940612885,-0.00998870963257616,0.00367819513725698,-0.00982776677914285,0.00190525965698343
"11424-2",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683941660121758,-0.0097804950535388,0.00133496838651993,-0.0094542707417698,0.0013076156999769,-0.0064227653033804,0.00398804949189706,-0.00894933950770492,0.00171518506854907
"11424-3",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683430943330218,-0.00877890881771833,0.00132294312402403,-0.00843146373781659,0.00132412434384427,-0.00787736093423158,0.00768373886775517,-0.00971126648411064,0.00159082348386457
"11424-4",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680186814398264,-0.0109049384852105,0.00133460554070238,-0.0106040933326646,0.00130980391263907,-0.00701710351963943,0.00412309142960772,-0.00970395728093238,0.00194183696273274
"11424-5",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682676914586112,-0.0101656823667262,0.00141217056988538,-0.00952360833461759,0.00140940862879334,-0.00736593048651974,0.00360257063105401,-0.00893364443370352,0.00195651549513832
"11424-6",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681708609790728,-0.00852318333072402,0.00137449689622561,-0.0081127044073666,0.00134877940465799,-0.00866525642983591,0.00430945813510583,-0.00740911167405746,0.0016088845954873
"11424-7",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.068200097662425,-0.00863049552622699,0.001329801999041,-0.00802221162287225,0.00126073616747136,-0.00153317434645403,0.00431130854970145,-0.00709026029186242,0.00187828680904692
"11424-8",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681513319381106,-0.0062615485055516,0.00132711592407446,-0.0063318751627906,0.0012955219265478,-0.00324841343636318,0.00821458843755643,-0.00716045350933849,0.00215131271942127
"11424-9",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0688102756915338,-0.00944051712006593,0.00140069679469731,-0.00908429249326523,0.00138678313213634,-0.017280629396527,0.00395824583718127,-0.00930314406080783,0.00206122829047244
"11424-10",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681238991177005,-0.00797221909657079,0.00127089041698108,-0.00754693471998858,0.00124203927770006,-0.016404759683335,0.00521829263237196,-0.00977146805554049,0.00201645865423565
"11424-11",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682519045502506,-0.00871375593581029,0.00125807641432189,-0.00852656411214409,0.00123840241742769,-0.0174143556253025,0.00547457625213918,-0.00982722655558215,0.00186794977757348
"11424-12",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0681234911945147,-0.0102698582771726,0.00124632208046067,-0.009987642415267,0.00122855726197063,-0.00474327505839589,0.00562793406608493,-0.0113530397059497,0.00191035487771055
"11424-13",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682411027558905,-0.0111390867087696,0.00139525615887506,-0.0104688417830873,0.00136153728887758,-0.00430114448641114,0.0067366309462947,-0.0129481082789383,0.00194213997587157
"11424-14",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682281811089642,-0.0130525660682663,0.00127321854707759,-0.0122785344154297,0.00126255090185046,-0.0170542005749188,0.00364570306449374,-0.0132373248559809,0.00173995375264899
"11424-15",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680335784774822,-0.00969199861697766,0.00130896239066748,-0.00889883281588077,0.00128595225613977,-0.0091197873116465,0.00465922950390675,-0.0100005652243517,0.00207768293868602
"11424-16",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684390463658371,-0.00979154402865255,0.00130461157536344,-0.00926329924128697,0.00127223677212063,-0.00828543319233562,0.00370071384665334,-0.0108348253492412,0.00163609634069283
"11424-17",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680485247811358,-0.0103328022264626,0.00131569286076378,-0.0101149585656971,0.00130304430902909,-0.0135553319996773,0.00389226920978133,-0.0113641783433192,0.00171221477701075
"11424-18",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682392565525874,-0.0101424728378827,0.00127793663512988,-0.00967866314416251,0.00125594285507555,-0.00941936306536482,0.0040205292743385,-0.0100632539269264,0.0018789895655335
"11424-19",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682337232595863,-0.00968738909627088,0.00133808462292535,-0.00932182927388137,0.00130623941213189,-0.00600081264442134,0.00357793144635556,-0.0100432290924987,0.00173755503312998
"11424-20",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679767611431901,-0.00983640575940818,0.0011838619649537,-0.0093325890171014,0.00115870993261505,-0.0052642050123972,0.0037084215227383,-0.0101959661719198,0.00156259015540777
"11424-21",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684837948934948,-0.007849847081497,0.00135141572368519,-0.00824985501511878,0.00131579286754002,-0.00808746624764449,0.00442801619685418,-0.00964630836154716,0.00184306197809367
"11424-22",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684814639936962,-0.00969274634762753,0.00139230955848629,-0.00900649359783025,0.00136105521316667,-0.0117513320338815,0.00447192348698693,-0.00910459381856365,0.00180803243835867
"11424-23",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0682643648800433,-0.0101288673851268,0.00131769043443763,-0.00960914233606335,0.00128050149711918,-0.0187837983976348,0.00483339972204043,-0.0101759624455726,0.00187387244130315
"11424-24",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0678560534743928,-0.0113190606896562,0.00134160767725324,-0.0101803733186609,0.00128970290604819,-0.0171860393226447,0.00460918407458455,-0.0118450181161085,0.00179458636638599
"11424-25",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683615680586348,-0.0101085846944615,0.00135108422849056,-0.00965430740986342,0.00131777781461198,-0.00629342091684719,0.0049795074672882,-0.00897496706316792,0.002092323077505
"11424-26",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683407587130761,-0.00942634899509022,0.00113830531845833,-0.00888419880208705,0.00111169304390458,-0.0110229247654092,0.00392561705639324,-0.0104195480321424,0.00169968835289738
"11424-27",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0684219405862285,-0.0100076557083483,0.00135859150484912,-0.00976540031771843,0.00133352859554441,-0.0143785717099978,0.00433309002286229,-0.0104243863595764,0.00183535425084079
"11424-28",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0685852592092303,-0.0127079455588915,0.0013567289628292,-0.0118342335538091,0.00132316842550301,-0.0162570058156231,0.0046631065621571,-0.0122161537251905,0.00177723788756238
"11424-29",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680756186984347,-0.00948258215608501,0.00137537641533105,-0.00908771733824695,0.00132926371277634,-0.0134021285980365,0.00350510805427034,-0.00994444636013644,0.00179585565048841
"11424-30",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679799811942501,-0.00940104060899482,0.00122292713268365,-0.00926095973655702,0.00120958886769024,-0.00961212564014754,0.00315670144540456,-0.0090028824812991,0.00151010703864269
"11424-31",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683461195006429,-0.0111710565977132,0.0014506299801706,-0.0105512933483133,0.00140874715082355,-0.0104759520336505,0.00449236827493309,-0.010839982258048,0.00220001205604913
"11424-32",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0678335570519139,-0.0111540969508626,0.00121355841457386,-0.0103315766904833,0.00117836663142793,-0.00753112836766341,0.00688393174011707,-0.0122932604111937,0.0017834230299052
"11424-33",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0679968362513275,-0.0100927427940653,0.00115339978376525,-0.00959531824668953,0.00111753672099246,-0.0117143400529404,0.00343785518031879,-0.00983914600973151,0.00133218675263676
"11424-34",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0680111293966189,-0.00902670328276158,0.00126266850534046,-0.00876280890172285,0.00124276617386291,-0.012058287951048,0.00590763316907443,-0.00804542063074146,0.00156399041798238
"11424-35",340,-2.65926003693278,-0.0100503358535015,-0.7,0.6,0.1,0.0683318812148185,-0.00777008088356312,0.00141583578245238,-0.00692938221980724,0.00137008252396488,-0.00461529219323889,0.00543606993615128,-0.00993059227277706,0.00195038343916643
