"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-1",100,0.00995033085316809,-0.7,0.15,0.1,0.0716980801939541,0.0125577028994252,0.00194932490838026,0.0123825123835272,0.00197157662017822,0.0332914853159734,0.0166669272110549,0.0135826396124906,0.00226281426630778
"11424-2",100,0.00995033085316809,-0.7,0.15,0.1,0.0726412166219391,0.0106614953691982,0.00176561821126876,0.0107020574565085,0.00175308217006421,0.00649465631952623,0.0150873825203657,0.0111400450666792,0.00192882165768373
"11424-3",100,0.00995033085316809,-0.7,0.15,0.1,0.0706519451405518,0.0132385544156595,0.00281971173002182,0.0129876318149181,0.00279165741612122,0.0139109440133193,0.00857046312551239,0.0120700380246812,0.00303921053869161
"11424-4",100,0.00995033085316809,-0.7,0.15,0.1,0.0714979595683368,0.00814825302101757,0.00259680961470137,0.00802173773126065,0.00258007010903945,0.00589895054690413,0.00718830250090389,0.00918677204940769,0.00284235628434358
"11424-5",100,0.00995033085316809,-0.7,0.15,0.1,0.0718244799535879,0.0116592393816734,0.00258577970398637,0.0113618876041719,0.00256472066905324,0.00409922805317608,0.00567883231593293,0.0106078905764794,0.00267764383738204
"11424-6",100,0.00995033085316809,-0.7,0.15,0.1,0.0713524373384621,0.0098517532133864,0.00218315839193165,0.00952226698021846,0.00215333668215623,0.0200963150898851,0.00853092875978056,0.0100296724018404,0.00227296830373742
"11424-7",100,0.00995033085316809,-0.7,0.15,0.1,0.071339213466813,0.00440220234036459,0.00268088574182831,0.00408621473148084,0.00268267444164575,-0.00605743320563994,0.00732529610431668,0.00439156764412146,0.00276604268673098
"11424-8",100,0.00995033085316809,-0.7,0.15,0.1,0.0724296612499457,0.0128047421150849,0.00255938333472705,0.0129433139265737,0.00256134593906771,0.00738319038648566,0.00954470198477328,0.0127673017331699,0.00282883736759691
"11424-9",100,0.00995033085316809,-0.7,0.15,0.1,0.0715952278744124,0.0144106740892438,0.00227956624679884,0.0144771926620932,0.00228247876461872,0.0204231789639649,0.00742084067717803,0.0155575496893831,0.00242457674402545
"11424-10",100,0.00995033085316809,-0.7,0.15,0.1,0.072398074372716,0.00735758770128889,0.00241918777952741,0.00744590575948837,0.00240316722440418,-0.0214953425761884,0.0168673316092945,0.00775143498104081,0.00247628813675732
