"sim","N","beta1","minW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11431-1",2200,0.00995033085316809,0.3,0.1,0.0718428511047752,0.00992415319682748,0.00049680263012745,0.012357342965737,0.000691405264195101,0.00873296847583144,0.0015698280838601,0.0100807030807204,0.000940466930827675
"11431-2",2200,0.00995033085316809,0.3,0.1,0.0718367544263051,0.00980646967002853,0.000452531991404966,0.0128031231608941,0.000647491249377839,0.00828456273733128,0.0013486726246723,0.00879047370045861,0.000904528212307834
"11431-3",2200,0.00995033085316809,0.3,0.1,0.0717080860585517,0.0104020123572287,0.00048427408753552,0.013366295827203,0.000688228064548544,0.0115382076978514,0.00141340498371833,0.0106108741482849,0.000887906884677694
"11431-4",2200,0.00995033085316809,0.3,0.1,0.0717208348206187,0.00951685631270352,0.000494026792438068,0.0123407696082361,0.000697121902624109,0.0100848206274578,0.00133539072321018,0.0110113267482573,0.00118778228554668
"11431-5",2200,0.00995033085316809,0.3,0.1,0.0718023898710931,0.010583364233432,0.000474947787062335,0.0132579853288499,0.000638632054633243,0.00940184873592268,0.00168131331571235,0.00961020088478639,0.000889033407203013
"11431-6",2200,0.00995033085316809,0.3,0.1,0.071637179396146,0.00990550025030363,0.00048630532462291,0.0127656602731241,0.000674269806593901,0.0106478526668727,0.00175645736303834,0.00930373530560684,0.00108508714599151
"11431-7",2200,0.00995033085316809,0.3,0.1,0.0716311728679952,0.00964936255250186,0.000473312192045622,0.0131428566257119,0.000669845453215741,0.00931625774504485,0.00129052055547574,0.00966363084491933,0.000732967102762687
"11431-8",2200,0.00995033085316809,0.3,0.1,0.0718268766157383,0.00980301302807175,0.000476505812357699,0.0124576912794176,0.000666828346287883,0.00801174064812205,0.00161299398574608,0.0100986177763988,0.000913561302318378
"11431-9",2200,0.00995033085316809,0.3,0.1,0.0716126821070807,0.00981583282571683,0.000459831874692919,0.0124987586890805,0.000634926016321359,0.00880121957111757,0.00135998598504517,0.00918070888308197,0.00094415396890676
"11431-10",2200,0.00995033085316809,0.3,0.1,0.0717656440742336,0.0110641038626729,0.000489487727725051,0.0138483866041871,0.000677973219739363,0.0122464331903225,0.00151312719449767,0.0107727250371147,0.00107566084690706
"11431-11",2200,0.00995033085316809,0.3,0.1,0.0716100086442529,0.00958625027086938,0.000513400504615259,0.0120378169851554,0.000701889547653669,0.00675981823079019,0.00172755844016848,0.00908825759127275,0.00098859433146954
"11431-12",2200,0.00995033085316809,0.3,0.1,0.0717387737658064,0.0112074776087033,0.000473470888548144,0.0142405747615691,0.000672922045389277,0.0102709171582305,0.00166470613640886,0.0121921210651805,0.00112831047978214
"11431-13",2200,0.00995033085316809,0.3,0.1,0.0719252207457451,0.00968252137984121,0.000490833122670254,0.0123221569234516,0.000689614758539809,0.00864457132212426,0.00133096912266059,0.00854968075642565,0.000776664089932604
"11431-14",2200,0.00995033085316809,0.3,0.1,0.0718329593194353,0.00983297210299599,0.000477202209575957,0.0124867325231106,0.000658150107381758,0.00927263132737043,0.00140617012796689,0.00934665393420592,0.0010445494224378
"11431-15",2200,0.00995033085316809,0.3,0.1,0.0717799350393971,0.0101581485291065,0.000485245959491991,0.0130645958040418,0.000670881182260739,0.00782278039354002,0.00171761094345028,0.00934854830626084,0.00082854816098233
"11431-16",2200,0.00995033085316809,0.3,0.1,0.0715921938432382,0.00996991054986705,0.000479174824605763,0.0128792609147392,0.000657452808330713,0.0106868026932752,0.00179350106140074,0.0108102014682399,0.00145148599716384
"11431-17",2200,0.00995033085316809,0.3,0.1,0.0718452185787146,0.0100147880540064,0.000490840511075896,0.0132514336592964,0.000687043022247549,0.0158953341945567,0.0015719912901089,0.0115091643015128,0.000892737568040196
"11431-18",2200,0.00995033085316809,0.3,0.1,0.0719103995303783,0.00930730443882476,0.000452855718245605,0.0122510123798122,0.000646216088929772,0.0100045146239461,0.00140659634222373,0.00874166291892932,0.000855802831465842
"11431-19",2200,0.00995033085316809,0.3,0.1,0.0715738212720538,0.0100640835601684,0.000474467175048227,0.0129782211914968,0.000657909895606947,0.00978611952061142,0.00111468632668829,0.00928853107536344,0.000901975431264313
"11431-20",2200,0.00995033085316809,0.3,0.1,0.0716950723965074,0.0100924010659565,0.000481603477623432,0.0130118124912198,0.000690350810373122,0.00801351852275508,0.00163880090583143,0.00944508814136761,0.00126239356583244
"11431-21",2200,0.00995033085316809,0.3,0.1,0.0717588146738115,0.00992964480930209,0.000491147205326443,0.0131183946627922,0.000687274768305575,0.00868929678537313,0.00135631389330942,0.00911273157907531,0.000916976643908529
"11431-22",2200,0.00995033085316809,0.3,0.1,0.0718047581902218,0.00909334926790797,0.000473738095160465,0.0116030240337715,0.000654535715758468,0.0106241933222278,0.00148085043356061,0.00962453285682222,0.00107960540797562
"11431-23",2200,0.00995033085316809,0.3,0.1,0.0718138681833918,0.00979713504879266,0.000480851703674465,0.0123693643613231,0.000666888731552493,0.0102124318762213,0.00165167101874754,0.0102726347270053,0.000899407962788404
"11431-24",2200,0.00995033085316809,0.3,0.1,0.0718020433471961,0.0091294722908899,0.000475534768835129,0.0116053166476759,0.000671065016122512,0.010118325713762,0.00142308754573506,0.00873610371372789,0.000759122550023034
"11431-25",2200,0.00995033085316809,0.3,0.1,0.0717021579518598,0.0105871034519501,0.000483346903083945,0.0139651195256969,0.000690561873156236,0.0113349945542745,0.00157188765420663,0.010957730329753,0.000839699004484591
"11431-26",2200,0.00995033085316809,0.3,0.1,0.0716108063936536,0.0100579626444442,0.000521066768641562,0.0120611286571883,0.00072998620368139,0.0103027729090246,0.00168961446474074,0.00852658513998442,0.000958890176053689
"11431-27",2200,0.00995033085316809,0.3,0.1,0.0718348480827859,0.00970454250429607,0.000489897878821781,0.0122007124306289,0.000677161866557387,0.00911864353871819,0.00180565598270228,0.0098968104676216,0.00076425496410583
"11431-28",2200,0.00995033085316809,0.3,0.1,0.0718645800101467,0.0101903529243058,0.000453270817304457,0.0131896822464701,0.000631111006595553,0.011074999837939,0.00132843257187925,0.00898110079131775,0.00123816727549899
"11431-29",2200,0.00995033085316809,0.3,0.1,0.0717549925853359,0.0100626892635903,0.000469525414430721,0.0123131099341688,0.000627320600726142,0.00861082699121388,0.00146421883127167,0.00987590831554811,0.00106616065475106
"11431-30",2200,0.00995033085316809,0.3,0.1,0.0718297009921342,0.00926882929735865,0.000470839506630288,0.0119269219844577,0.000660530526441627,0.00924187834425553,0.00128094640435057,0.00803230512978554,0.000993479557128108
"11431-31",2200,0.00995033085316809,0.3,0.1,0.0716190766256781,0.0113139640811169,0.0004931233515626,0.0148023444375114,0.000695196313591929,0.0107583325267072,0.00165523923262626,0.0121039486529213,0.000941754321972335
"11431-32",2200,0.00995033085316809,0.3,0.1,0.0717658656438583,0.0101240530162694,0.000493500096616658,0.0131430606774541,0.000694182191666055,0.0086039213039513,0.00167998120105592,0.010298718701543,0.000737595356130812
"11431-33",2200,0.00995033085316809,0.3,0.1,0.071837797033534,0.00912687994600542,0.000472468796464274,0.0111535629036139,0.000645058954490206,0.00741759519736041,0.0015166630268229,0.00804729843689998,0.000857838335137392
"11431-34",2200,0.00995033085316809,0.3,0.1,0.07186114542864,0.0100396595548858,0.00049200365393447,0.0131501808112387,0.000701699701594265,0.0122275960569441,0.00151453287994612,0.0107105372948293,0.000813493370966406
"11431-35",2200,0.00995033085316809,0.3,0.1,0.0718985415898609,0.0103186990683755,0.000475519675244672,0.0130521012343731,0.000646433833269168,0.0129144899433547,0.0015635615697049,0.00982560626462564,0.00104400866659827
"11431-36",2200,0.00995033085316809,0.3,0.1,0.0717288546406147,0.0100392109421402,0.000487817618109645,0.0133784515539106,0.000726841923597265,0.00661050792885707,0.00153648515394936,0.00882289759163372,0.00107212934470693
"11431-37",2200,0.00995033085316809,0.3,0.1,0.0716443042055736,0.00946989070784571,0.000491113091476761,0.011840646806772,0.00072597555885782,0.00931925691852964,0.00130733941781342,0.00788133516800786,0.001079983982917
"11431-38",2200,0.00995033085316809,0.3,0.1,0.0718981245049389,0.00967316158780073,0.000515897170363383,0.0121014168726233,0.000704086990065731,0.0126944293583161,0.00167792738779537,0.00972762794229319,0.000924137506548212
"11431-39",2200,0.00995033085316809,0.3,0.1,0.0718376953443389,0.010147456296132,0.00047655196612928,0.0130346785531991,0.000692870540147239,0.0102022693259867,0.00143971768036217,0.0106900097809926,0.00102719414731049
"11431-40",2200,0.00995033085316809,0.3,0.1,0.0717559763490856,0.00949197869473387,0.000485814633521544,0.0121858390178401,0.000672175941461412,0.00741035145627679,0.00145866704886582,0.00889392896949673,0.000910888143014529
"11431-41",2200,0.00995033085316809,0.3,0.1,0.0717425270781335,0.00918161270233393,0.000497380616939472,0.0119292433214688,0.000707810401637495,0.0092659286312264,0.00148818544886726,0.00791447521188915,0.000919844556561219
"11431-42",2200,0.00995033085316809,0.3,0.1,0.0719803265908396,0.00991127311204765,0.000458575489462222,0.0130540577476505,0.000638136707685617,0.00915325964001895,0.00155398188571195,0.0101697968208902,0.000731983390258642
"11431-43",2200,0.00995033085316809,0.3,0.1,0.0718471816415389,0.0096838214778635,0.000499286633184812,0.011650250668148,0.000670993499309453,0.0107473395545803,0.00152307761371326,0.00935060394185793,0.00111514637229372
"11431-44",2200,0.00995033085316809,0.3,0.1,0.0717891653627517,0.0102803060868187,0.00049623216691405,0.0123516045769293,0.000684326630022768,0.0103751898651549,0.00166221742349908,0.00949405590774421,0.000907176853277489
"11431-45",2200,0.00995033085316809,0.3,0.1,0.0717666682531854,0.0109404730630608,0.000493311046922137,0.0137731005371874,0.000687025987807722,0.0110464265435402,0.00163742058085372,0.0109237085259111,0.00117337367957758
"11431-46",2200,0.00995033085316809,0.3,0.1,0.0718529012413756,0.0105614887966375,0.000472965083920101,0.0142816879789802,0.000697439661726692,0.00935063913352241,0.00162880373687463,0.0108566290379473,0.000990191337857149
"11431-47",2200,0.00995033085316809,0.3,0.1,0.0717681597035075,0.00942045122961761,0.000481881838087393,0.0120026651100063,0.000684739568131581,0.00969110825202468,0.00166254730367537,0.00886760442497719,0.00083936621950722
"11431-48",2200,0.00995033085316809,0.3,0.1,0.0717144013766101,0.00913619941485104,0.000447075650061516,0.0124659456728977,0.000689039340663271,0.00787531119227659,0.00143159331089916,0.00832696964758849,0.00088852682105592
"11431-49",2200,0.00995033085316809,0.3,0.1,0.0716641068558126,0.00941156970240966,0.00051473429838106,0.0121780532819892,0.000740042736704676,0.00722250343557636,0.00189421095599272,0.00818585636020933,0.000962577977870433
"11431-50",2200,0.00995033085316809,0.3,0.1,0.071664875675922,0.00911077699498389,0.000484398684667468,0.0121683911119919,0.00070019824634395,0.012761227688355,0.001719739129887,0.0103443665296422,0.0011743701531749
"11431-51",2200,0.00995033085316809,0.3,0.1,0.0718293710279539,0.0103678305407379,0.000475929271932457,0.0130192595229385,0.000667171666797168,0.0101361715879655,0.00162115161930317,0.0109260164417974,0.000829820835263067
"11431-52",2200,0.00995033085316809,0.3,0.1,0.0717375014998197,0.010417086898793,0.000485942578104502,0.0134631951217753,0.000697119307400134,0.0118195926770979,0.00153382886155435,0.0103782847960347,0.000942494512463543
"11431-53",2200,0.00995033085316809,0.3,0.1,0.0717603143036289,0.00961750712180501,0.000492289734775382,0.0120955708920952,0.000676533464345253,0.0112111734398157,0.00157115439856226,0.00950943070756338,0.000864918992773392
"11431-54",2200,0.00995033085316809,0.3,0.1,0.0718812247778302,0.00974495113629859,0.00048372945311232,0.0117081011893407,0.000676357302121554,0.00853326060139703,0.00164891357406556,0.0101100174489952,0.00100717724654454
"11431-55",2200,0.00995033085316809,0.3,0.1,0.0717771223724072,0.00973197879294604,0.000472144395630095,0.0127880368619084,0.000698938975824511,0.0107508586831047,0.00159873374954174,0.0101460285161166,0.000822133743289869
"11431-56",2200,0.00995033085316809,0.3,0.1,0.0716470964580967,0.0101027043860362,0.000489895653866921,0.0126253752475733,0.000676810442083727,0.0125375814120978,0.00142217971945039,0.0106241358798046,0.000808964440642115
"11431-57",2200,0.00995033085316809,0.3,0.1,0.07162422798854,0.0102532391789318,0.000468063027460332,0.0137061696944581,0.000667351029120797,0.00816754888180416,0.00152872528845464,0.00922112124981533,0.000790230906144276
"11431-58",2200,0.00995033085316809,0.3,0.1,0.0717945069357357,0.0105392327940816,0.000512140766087054,0.0137298746044302,0.000734159034446235,0.010836894528539,0.00150128828856867,0.0101272336528593,0.000872254093093119
"11431-59",2200,0.00995033085316809,0.3,0.1,0.0717848809059857,0.00972302240486952,0.000479555901218856,0.012025719064867,0.000658281401299094,0.0118002479488569,0.00174838250964403,0.0105310548310234,0.000930637711741558
"11431-60",2200,0.00995033085316809,0.3,0.1,0.0718211174124436,0.00971098300351447,0.000472422917690568,0.0126241596555408,0.000658800333826101,0.00846449205654126,0.00162745626720343,0.00918576472251298,0.000770471409047784
"11431-61",2200,0.00995033085316809,0.3,0.1,0.0717041595020721,0.0100448003117218,0.000485477284346405,0.0128159642049783,0.000674161721930059,0.00980380513577031,0.00134254997160347,0.0100396717697341,0.00111514962404423
