"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11425-1",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717679507527703,0.00962012288139099,0.000479626725143335,0.00940435899438429,0.000471728823193935,0.00918448291374062,0.00159111125360911,0.0095247737351696,0.000649349884724824
"11425-2",2200,0.00995033085316809,-0.35,0.6,0.1,0.0716797032628489,0.0105816556134271,0.000488423589441165,0.010248531398849,0.000480716567956163,0.00718024594973393,0.0019047343078018,0.0105950141887999,0.000583913731336566
"11425-3",2200,0.00995033085316809,-0.35,0.6,0.1,0.0718208280385286,0.0108277682208176,0.000486786431975856,0.0107008412868648,0.000479921146361819,0.0090140891694326,0.00148349337275873,0.0105360156817612,0.000595975198783419
"11425-4",2200,0.00995033085316809,-0.35,0.6,0.1,0.0718888787183346,0.0102480618463228,0.000475447659231614,0.00986529013129553,0.000468848615396918,0.00993501429982155,0.00164797302506966,0.0100050705584834,0.000611185647255954
"11425-5",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717250933012827,0.00971034157891753,0.000513163061142412,0.00959112432599107,0.000504788286335717,0.00850511640339532,0.00152603147430242,0.00979856920510177,0.000654435407653881
"11425-6",2200,0.00995033085316809,-0.35,0.6,0.1,0.0716578650816714,0.0105272589407512,0.000464791901707658,0.0102738898072403,0.000457012232155499,0.01123048319246,0.00124880449304108,0.0105220378277855,0.00064959286796255
"11425-7",2200,0.00995033085316809,-0.35,0.6,0.1,0.0718198664383054,0.00924402566234053,0.0005147987944417,0.00905551515931312,0.000509540295219827,0.00725600900759934,0.00181959023141371,0.00955816018881366,0.000639872984298066
"11425-8",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717246887527105,0.0105975114736624,0.000506483452461453,0.0102419393906039,0.000499818712615883,0.0116507542410481,0.00159446081473347,0.0103110910951502,0.000620643915939253
"11425-9",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717558718296232,0.009720956883855,0.000476660050992559,0.00944952925344345,0.000469024247748753,0.00960195113325755,0.00163482874664845,0.0100847511446152,0.000617011346943574
"11425-10",2200,0.00995033085316809,-0.35,0.6,0.1,0.0716829606451595,0.00963387195586479,0.000500774891915238,0.00942779295311628,0.00049522468341558,0.00948235121988156,0.00156969664085102,0.00986466564905705,0.000644005279795888
"11425-11",2200,0.00995033085316809,-0.35,0.6,0.1,0.0718385824978665,0.00858106686685379,0.000460156180332863,0.00833308568988866,0.00045571438180363,0.00894015868784576,0.00135606998512837,0.0090174253629791,0.000620164946595456
"11425-12",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717954485436177,0.0100859103514128,0.000445640103470134,0.00986278152995721,0.000439511020143635,0.0104975179576973,0.00127817254356558,0.010060502605766,0.000595224047603064
"11425-13",2200,0.00995033085316809,-0.35,0.6,0.1,0.0719223540175719,0.0102474294835263,0.000477684981830373,0.00999506853943098,0.000470373629413788,0.00972676770193184,0.00156198271266825,0.0105286047903811,0.000589903610611046
"11425-14",2200,0.00995033085316809,-0.35,0.6,0.1,0.0716786272121228,0.0100585236208456,0.000505853591721184,0.00981184575314224,0.000499804404943537,0.00839608960383472,0.00156697260320404,0.0102306202333354,0.000662020849617053
"11425-15",2200,0.00995033085316809,-0.35,0.6,0.1,0.0717838615035011,0.00937240690789884,0.00048922066154639,0.00909688622857508,0.000482255982001376,0.00923836977052313,0.001966736061786,0.00965844843687187,0.000624330350868946
"11425-16",2200,0.00995033085316809,-0.35,0.6,0.1,0.0718800743384986,0.00920471985437608,0.000496702872690779,0.0090060532746088,0.000491890108375443,0.00733754822556615,0.00149249891903207,0.00916224195533554,0.000593954407440685
