"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11422-1",340,0.00995033085316809,-0.7,0.6,0.5,0.0713262978240664,0.0075223827245048,0.00133259556395804,0.00767135319353319,0.0013213552368108,0.0071278309257667,0.001870135421223,0.00776821632965097,0.00161737420074169
"11422-2",340,0.00995033085316809,-0.7,0.6,0.5,0.0721072779096115,0.00939411513821989,0.00118593408620431,0.00899601116662406,0.00118016198163844,0.00988703459988134,0.00185000828025245,0.00985736142131976,0.00137136916082952
"11422-3",340,0.00995033085316809,-0.7,0.6,0.5,0.0721802912872942,0.0115706139879278,0.000959092245184557,0.0110145106518145,0.000949277218316162,0.0110218287783424,0.0012586634747797,0.011794971202597,0.00106278633555579
"11422-4",340,0.00995033085316809,-0.7,0.6,0.5,0.0720720061392595,0.0127822894300935,0.00119690519548143,0.0125248502056589,0.00118003281579229,0.0119192812363742,0.0014420576883092,0.0127837527549546,0.00137677466518033
"11422-5",340,0.00995033085316809,-0.7,0.6,0.5,0.0713993626103706,0.0100414849395053,0.00134151386339061,0.00993860659620245,0.0013334866637316,0.00913011379030322,0.0020004971351646,0.0101836189268431,0.00184207304811523
"11422-6",340,0.00995033085316809,-0.7,0.6,0.5,0.0715446674564873,0.0108917375081488,0.00124777305668915,0.0105052171036989,0.00120991942669213,0.0115965657566942,0.00161831018166718,0.0107800997130288,0.00148613243759979
"11422-7",340,0.00995033085316809,-0.7,0.6,0.5,0.0718533567979263,0.00969928763103378,0.0011422598297383,0.00944058146528177,0.0011174491865841,0.0112639544686485,0.00190561476372749,0.00956938048714875,0.00143282509765197
"11422-8",340,0.00995033085316809,-0.7,0.6,0.5,0.0715954954332267,0.00906453642314092,0.00132753139955394,0.00901589260523468,0.00132144354605446,0.00759753440974373,0.00178610611645722,0.00890979864375196,0.00158963656606956
"11422-9",340,0.00995033085316809,-0.7,0.6,0.5,0.0716476541707085,0.010155783777791,0.001301553120385,0.00970232479522447,0.0012810281532592,0.00799468395216612,0.00180563742405464,0.0102667978536582,0.00164494705941797
"11422-10",340,0.00995033085316809,-0.7,0.6,0.5,0.0717031456798206,0.0101213852689029,0.00118970387254696,0.00953944776394868,0.00117475470096298,0.00944577758396033,0.00179244889834067,0.00991176678233489,0.00135164962402173
"11422-11",340,0.00995033085316809,-0.7,0.6,0.5,0.0717586901258072,0.011124708124037,0.00121546019352272,0.0111089155222504,0.00119243373332871,0.01079926513474,0.0015921618744147,0.0106886797520592,0.0014226734551619
"11422-12",340,0.00995033085316809,-0.7,0.6,0.5,0.0711541800440707,0.0118717751005549,0.00119965573284326,0.0113929821489169,0.00118696174031697,0.0111864142852267,0.00167574992803638,0.0120171820821101,0.00141837196966218
"11422-13",340,0.00995033085316809,-0.7,0.6,0.5,0.0726518357794284,0.0115528658322908,0.00104523176008657,0.0108062414373962,0.0010212448008354,0.0133028600978254,0.0013364937871654,0.0112528277578782,0.00125616431124601
"11422-14",340,0.00995033085316809,-0.7,0.6,0.5,0.0716224505039063,0.00938413268883915,0.0012400922266229,0.00882361427392549,0.00120058067389324,0.00854826214618172,0.00152273437454444,0.00908550871587774,0.00161473749499954
"11422-15",340,0.00995033085316809,-0.7,0.6,0.5,0.0715894273237784,0.0104975064138187,0.00120958359768011,0.00992498590372382,0.00117706286874509,0.00990517965731664,0.00176131605594513,0.0100972290302951,0.00129060965445222
"11422-16",340,0.00995033085316809,-0.7,0.6,0.5,0.071707680447134,0.0115857987649016,0.00120866193445863,0.0112715476050805,0.0011936754634775,0.0111437064801997,0.00172658565031437,0.011633331153574,0.00139226826246762
"11422-17",340,0.00995033085316809,-0.7,0.6,0.5,0.0713882652651478,0.00958104403180916,0.00118386662481363,0.0093509254666541,0.00118409388704067,0.00914203001717121,0.00194755223132628,0.00953263061008021,0.00131409581126992
"11422-18",340,0.00995033085316809,-0.7,0.6,0.5,0.071885055881357,0.00819838487031508,0.00110932570584688,0.00790550838168604,0.00108611562575149,0.00966719244420045,0.00167571955580823,0.00842851978962738,0.00123550833491479
"11422-19",340,0.00995033085316809,-0.7,0.6,0.5,0.0715140469337069,0.0109281266467436,0.00112892516970479,0.0104849349030962,0.00110562629602869,0.0107661935637787,0.00185528688833191,0.0111463032795964,0.00133622197051959
"11422-20",340,0.00995033085316809,-0.7,0.6,0.5,0.0720757895317457,0.0117483778950726,0.00123671949098312,0.0113584799240867,0.00122233614060792,0.00988578478251693,0.0017068749738101,0.0118430944351734,0.00151309432235674
"11422-21",340,0.00995033085316809,-0.7,0.6,0.5,0.0716370248356514,0.00908116871959128,0.0012092722460275,0.00874181278414007,0.00117861166482343,0.00787653859958343,0.00181894025008663,0.00940474589751283,0.00145994558107549
"11422-22",340,0.00995033085316809,-0.7,0.6,0.5,0.0719651281101104,0.0109570730925308,0.00122235573899683,0.0107469111734292,0.00123379402173061,0.0109228441839358,0.00170047901735652,0.0107013365526448,0.00137820715321477
"11422-23",340,0.00995033085316809,-0.7,0.6,0.5,0.0717636509131844,0.0085991202914833,0.00127612069858457,0.00827588666942953,0.00125399444549377,0.00825986175076435,0.00174914470760832,0.00843742138882357,0.00146131588425348
"11422-24",340,0.00995033085316809,-0.7,0.6,0.5,0.0716791838617604,0.0111229721715759,0.00130122888114024,0.0106116685760349,0.00127305203139403,0.0121696758788529,0.00213817078712916,0.0109788848042436,0.00156620104671356
"11422-25",340,0.00995033085316809,-0.7,0.6,0.5,0.0719257824158062,0.0112036172148386,0.00123825601954757,0.0107545186451937,0.00120638725140096,0.0130044435292546,0.00170341438224739,0.0115940263483166,0.00153154149758371
"11422-26",340,0.00995033085316809,-0.7,0.6,0.5,0.0717715360633684,0.01001734265134,0.00123705908508337,0.00983164723802233,0.00123319561037931,0.0094563804900771,0.00168032570909022,0.010110137194266,0.00152432422057306
"11422-27",340,0.00995033085316809,-0.7,0.6,0.5,0.0721741734256876,0.00980174919926672,0.00114827254463793,0.00958495533436168,0.00112001241368455,0.0101098244065551,0.00168693912768746,0.0100065077990757,0.00142808307288252
"11422-28",340,0.00995033085316809,-0.7,0.6,0.5,0.0721978028790926,0.010888349828693,0.00124095955063592,0.0101284698819926,0.00121088731841297,0.0122882876501608,0.00175415104147247,0.0108145286466567,0.00164295302169555
"11422-29",340,0.00995033085316809,-0.7,0.6,0.5,0.0714700956096701,0.00909218489499734,0.00127189245546296,0.00856306942342776,0.0012470616187299,0.00841081856342766,0.00164960649329719,0.00933635827736757,0.00181474798067713
"11422-30",340,0.00995033085316809,-0.7,0.6,0.5,0.0718421489899594,0.00726426103305539,0.0012336106027068,0.00701719365195431,0.00122074633600944,0.0054937793393674,0.00177332634279256,0.00713940302403473,0.00146101301081599
"11422-31",340,0.00995033085316809,-0.7,0.6,0.5,0.0719656164034426,0.00942407128991533,0.0013170130778177,0.00922733769913862,0.00127992892343821,0.010402121247256,0.00185240005306244,0.00984192472412639,0.00157217298001979
"11422-32",340,0.00995033085316809,-0.7,0.6,0.5,0.0716811477174537,0.00999100330318713,0.00137090073798762,0.00945305065294084,0.00133005939447874,0.0113837906525754,0.00197664997083684,0.00980734672685958,0.00163623109557832
"11422-33",340,0.00995033085316809,-0.7,0.6,0.5,0.0714113985819176,0.0117458225466552,0.00119374111306043,0.0114906571066187,0.00117395994094084,0.0136472861744087,0.00210654033783619,0.0128442572718807,0.00132377721134097
"11422-34",340,0.00995033085316809,-0.7,0.6,0.5,0.0716433124864249,0.0111980430470211,0.00115170239436613,0.0111213648758216,0.00112930303290169,0.011332959532894,0.00169489375780831,0.0113595846986132,0.00134026977976806
"11422-35",340,0.00995033085316809,-0.7,0.6,0.5,0.0713755090704016,0.00954195911965507,0.00115517968152575,0.00935334157138539,0.00114256879783563,0.0100039632810987,0.00166262089335803,0.00965240658186624,0.00136592833043419
"11422-36",340,0.00995033085316809,-0.7,0.6,0.5,0.0716423296669833,0.00872149094926144,0.00129235990615811,0.00823895500342019,0.00125651633235063,0.00964794539922548,0.00196966174622873,0.00888595548068183,0.00164536278141718
"11422-37",340,0.00995033085316809,-0.7,0.6,0.5,0.0719066306933169,0.011115180745201,0.00121076705576025,0.011237796949371,0.00119045394396167,0.0109350461226252,0.00150654660833376,0.010944145160815,0.00133369312998527
"11422-38",340,0.00995033085316809,-0.7,0.6,0.5,0.0722662073459054,0.00949071988639425,0.00118405853880343,0.00902051831101233,0.00117229948740461,0.0105937050424305,0.00163787566912299,0.00939766254678687,0.00136671371169198
"11422-39",340,0.00995033085316809,-0.7,0.6,0.5,0.0716196734456193,0.0124413228617897,0.00146524675836837,0.0120376202382347,0.00144795064180613,0.0103611435630683,0.00203109385269719,0.0122744072783187,0.0018972091320672
"11422-40",340,0.00995033085316809,-0.7,0.6,0.5,0.0718047575387085,0.00992525403483795,0.00123449065535184,0.00934223628522667,0.00118825838538703,0.00880456989355668,0.00159803024871494,0.0100265082235627,0.00139220575443512
"11422-41",340,0.00995033085316809,-0.7,0.6,0.5,0.0717430770371313,0.0114966110211155,0.00117976825907973,0.0112594883187353,0.00115227497685902,0.0124712747296591,0.00157637918630216,0.0113992835057429,0.00138759786013021
