"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-1",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107731944904771,-0.00997668642413575,0.00108520861987894,-0.00992009330146022,0.00105351139611747,-0.00786366654506696,0.00276011765413765,-0.00941394557150296,0.00164788705492535
"11428-2",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107122467130103,-0.0093312661417391,0.00109732085004169,-0.00908409698006407,0.00106333166275464,-0.0049887299688875,0.00373128791326479,-0.00933985838429861,0.00153140992807608
"11428-3",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107153350575609,-0.00968394504427291,0.00103217188010931,-0.00955437212080804,0.0010060650224929,-0.00746822602402814,0.00239402232213718,-0.00904023656803999,0.00140633229316401
"11428-4",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107383723430611,-0.00980456304857796,0.000886620549281006,-0.00957899371028826,0.000872929126905668,-0.0107616608716621,0.00296063430355518,-0.010152252825972,0.00113429386915696
"11428-5",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.106513571731966,-0.0117268916662869,0.00106867044020872,-0.0114744090003752,0.00105620449540909,-0.00361889522039999,0.00441119107920316,-0.0113315294154262,0.00172431483734899
"11428-6",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107510177193761,-0.00916099778046939,0.00102635544443376,-0.00879503621866434,0.00100699696490953,-0.00331937846716036,0.00356686318471322,-0.00975411129532704,0.00129086175554553
"11428-7",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107789897800549,-0.0110506349377852,0.00110116684887166,-0.0103007242880957,0.00106736898851608,-0.0103172080722782,0.00229504163386256,-0.0114912792252883,0.00150795849718062
"11428-8",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107216281336415,-0.00897839980246744,0.00109821414678052,-0.0085841238973265,0.00107659337037571,-0.00841503945268308,0.00305515933809992,-0.00881098516169744,0.00143422573643144
"11428-9",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107354605231659,-0.00976298963953215,0.00104967949073425,-0.00946804283754778,0.00103728479749444,-0.0123296731006427,0.0030878803966538,-0.0101009924299362,0.00149018242587386
"11428-10",340,-2.20727491318972,-0.0100503358535015,-0.7,0.6,0.1,0.107511776134765,-0.00948129308110056,0.00105657996932975,-0.00904835506000616,0.00102743219209225,-0.0091841571460835,0.00330890030218832,-0.0100050457999538,0.00141644888924509
