"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11423-1",2200,0.00995033085316809,-0.7,0.15,0.1,0.0719906631194104,0.00982491883071592,0.000488585213535016,0.00979014331439238,0.00048734626426291,0.0102537056167619,0.00165081288543409,0.00968196684584175,0.000494537066742511
"11423-2",2200,0.00995033085316809,-0.7,0.15,0.1,0.0718342956791236,0.00879715918934895,0.000490142101776987,0.00874603957950949,0.000489344205045084,0.00889853147192611,0.00158092232624211,0.00877913771785529,0.000512754152965851
"11423-3",2200,0.00995033085316809,-0.7,0.15,0.1,0.0717695617942536,0.0102855605912482,0.000494528317117791,0.010247475833068,0.000493820567436808,0.00917549520493719,0.00143847990909016,0.0102027296926072,0.000515800993878132
"11423-4",2200,0.00995033085316809,-0.7,0.15,0.1,0.0718146423078941,0.00957214976942138,0.000469402869779849,0.00955524548317081,0.00046889311819546,0.00943384967869862,0.00152027903692181,0.00966904017447875,0.000481885779934638
"11423-5",2200,0.00995033085316809,-0.7,0.15,0.1,0.0716901512482995,0.0102368613837044,0.000480062953785427,0.0101853776729445,0.000478697104460218,0.0112911737580559,0.00148473864764174,0.0102591382537212,0.00049422305650987
"11423-6",2200,0.00995033085316809,-0.7,0.15,0.1,0.0719288759803788,0.00983327566443465,0.000465933880202947,0.00977449133119754,0.000464400545741319,0.0112352623878363,0.0015877891706944,0.00968934868390872,0.000476939508034835
"11423-7",2200,0.00995033085316809,-0.7,0.15,0.1,0.0717878572666054,0.00972096470684584,0.000460777388327519,0.00969533470318048,0.000460372434702087,0.00975047295949794,0.00156465368066223,0.00962896364701939,0.000472525271174038
"11423-8",2200,0.00995033085316809,-0.7,0.15,0.1,0.071738827251951,0.00913133419875548,0.000488667351244498,0.00910819602449409,0.000487704577062666,0.00826631806959217,0.00169412916194645,0.009124837262527,0.000503056053066555
"11423-9",2200,0.00995033085316809,-0.7,0.15,0.1,0.0717530999995904,0.00981905038600568,0.000485393417631192,0.00977612661095312,0.000485432525403693,0.0121740393507087,0.00149191013694409,0.00976437935114674,0.000507374469850997
"11423-10",2200,0.00995033085316809,-0.7,0.15,0.1,0.0716652719995889,0.0100752463497447,0.000489450749029361,0.0100792267334944,0.000489524264998472,0.00747823579399137,0.00153444613902112,0.00999707409496032,0.000501805544663305
"11423-11",2200,0.00995033085316809,-0.7,0.15,0.1,0.0717269760545872,0.00985693970906549,0.000496607684672769,0.0098074193133639,0.000495682726980919,0.00917552747421553,0.00163248738876899,0.0100505744105647,0.000508822337182577
"11423-12",2200,0.00995033085316809,-0.7,0.15,0.1,0.0717910411672553,0.00967077621957083,0.000474267667297998,0.00957820911531621,0.000473149494640956,0.0107039305820091,0.0015104058522857,0.00970264611964638,0.000493804323511026
