"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_noY","se_beta_noY","beta_Y","se_beta_Y","beta_logY","se_beta_logY","beta_logYoverPop","se_beta_logYoverPop","beta_logY_logPop","se_beta_logY_logPop"
"11425-1",100,0.00995033085316809,-0.7,0.6,0.1,0.0726692698070473,0.00542137430822239,0.00553754055901209,-0.000453362446190538,0.00577441971177071,-0.000611713067707347,0.0069699594115111,0.00213230088848225,0.00579552945939128,-0.00508626729876206,0.00299863309011249
"11425-2",100,0.00995033085316809,-0.7,0.6,0.1,0.071990348562159,0.00971406650068773,0.00411864201988739,0.00998275685669096,0.00434208595915996,0.00963408052976205,0.00437629070432859,0.00895594263220394,0.0036246826064699,0.0100982165227944,0.00360272151135226
"11425-3",100,0.00995033085316809,-0.7,0.6,0.1,0.0717162625730256,0.0112086228162866,0.00487235985066916,0.00556503152443541,0.00746586892903766,0.0055584588385799,0.00605760258589298,0.00431783267381085,0.00518510056122413,0.000278197632294903,0.00484872127300246
"11425-4",100,0.00995033085316809,-0.7,0.6,0.1,0.0722231651276695,0.00791973556216105,0.00415930296985858,0.0121578035533136,0.00395514508545378,0.0120985945484524,0.00364472105156534,0.0117639230671121,0.00429326059748097,0.010421796454518,0.00378845975156685
"11425-5",100,0.00995033085316809,-0.7,0.6,0.1,0.0712724863129092,0.011283564381809,0.00350807899535338,0.00866934702560172,0.00303229530526292,0.00869679980956084,0.00309686320566841,0.00809200694572919,0.00289053057440637,0.0081593782105091,0.00360307519610673
"11425-6",100,0.00995033085316809,-0.7,0.6,0.1,0.0720751874087126,0.00951120414678398,0.00329271507002485,0.0111895222628286,0.00361732070148748,0.0110507204666819,0.0039001850671609,0.0106401297318817,0.00335150378333045,0.0117714366895985,0.00362804382693046
"11425-7",100,0.00995033085316809,-0.7,0.6,0.1,0.0716782193523179,0.0100177035322666,0.00397572325885529,0.00872296528494017,0.00382996467478903,0.00832996003750697,0.004721853171471,0.00878051997823506,0.00409176272422445,0.00930383216987426,0.00398010174685467
"11425-8",100,0.00995033085316809,-0.7,0.6,0.1,0.0714076403616886,0.0113336800323118,0.00369955880442179,0.0085376078829528,0.00424342293115245,0.0085030089223388,0.00383659209713889,0.00978928974112175,0.00378701421197148,0.00817479782409706,0.00365470060812014
"11425-9",100,0.00995033085316809,-0.7,0.6,0.1,0.0711963830166686,0.0151728725708312,0.00511691984570675,0.0158573413305705,0.00464564802838709,0.0157841952132081,0.00607015846359625,0.0148577259425408,0.00624538357898196,0.0143554111881536,0.00519396071630675
"11425-10",100,0.00995033085316809,-0.7,0.6,0.1,0.0717041362780378,0.00539125965287079,0.00411162629936457,0.00549690186585819,0.00505239371103983,0.00561571288826322,0.00450628939523083,0.00635306680945918,0.00382842704253305,0.00766375214038118,0.00487410694473167
"11425-11",100,0.00995033085316809,-0.7,0.6,0.1,0.0716586171711315,0.00759371243958169,0.00516784562423537,0.0135330279100655,0.00439891079063843,0.0134434858949959,0.00456818151082837,0.0139899360240829,0.00469993138707775,0.0146004344899626,0.00471038155415178
"11425-12",100,0.00995033085316809,-0.7,0.6,0.1,0.0709133374247044,0.00563727481432818,0.00283553815064733,0.00569071706842574,0.0029708576854765,0.00565414349805034,0.00320761269324159,0.00531002103597568,0.00299918977681512,0.00704629588238565,0.00357302359878629
"11425-13",100,0.00995033085316809,-0.7,0.6,0.1,0.0716362733918749,0.00784194782665456,0.00401507525936384,0.00579790995711522,0.0036867846396127,0.00582039745381995,0.00359650262856705,0.00591936410350265,0.00434021314546115,0.0057607870792933,0.00449785336971636
"11425-14",100,0.00995033085316809,-0.7,0.6,0.1,0.0727963489408278,0.0105071493220419,0.00246689845124127,0.0105752374801141,0.00268454528547558,0.0105532894504563,0.0023902152501982,0.0105741438515968,0.00254296454394975,0.0107873697601625,0.00250350809511749
"11425-15",100,0.00995033085316809,-0.7,0.6,0.1,0.0718983325931319,0.00880043071377115,0.00316947881532785,0.00898662287666896,0.00376489348573175,0.0088857006127827,0.00349057977734486,0.00851388332187993,0.00320236977462029,0.00906919099076432,0.00359559677525725
"11425-16",100,0.00995033085316809,-0.7,0.6,0.1,0.0709837298219472,0.00869306488248652,0.00336614341157897,0.00986490793988383,0.00370684115904458,0.0100790450613072,0.00354678837941455,0.00978728968470999,0.00332501175130671,0.00934477960827243,0.00395647682121601
"11425-17",100,0.00995033085316809,-0.7,0.6,0.1,0.0719540477828472,0.0144375691523376,0.005440404209355,0.0140270169616415,0.00596649675837395,0.0144649989834518,0.00575540256216032,0.0149775710323204,0.00510809257946053,0.0143452782080115,0.00565832340479667
"11425-18",100,0.00995033085316809,-0.7,0.6,0.1,0.0720604764261273,0.00857996135542231,0.00254791791557379,0.011093642417317,0.00212537113934933,0.0111846122717667,0.00210671183118268,0.0109754188009476,0.00218916661801383,0.0107488597553064,0.00229683947570099
"11425-19",100,0.00995033085316809,-0.7,0.6,0.1,0.0713479435706221,0.00618898940582332,0.00703251336138604,0.0087936493656243,0.00569959196733282,0.00916636374081178,0.00680497179588822,0.00822047730663779,0.00624806835162125,0.00808150951511809,0.00573946548803748
"11425-20",100,0.00995033085316809,-0.7,0.6,0.1,0.0715485359028984,0.0154290023600669,0.00453086199180089,0.0118851690831758,0.00362674780800483,0.0118372009198553,0.00454079937348627,0.010236076052085,0.00419721702717798,0.00958453407074098,0.00325514807230905
"11425-21",100,0.00995033085316809,-0.7,0.6,0.1,0.0715033348768352,0.00517481441273582,0.0041108366524828,0.00159446474752137,0.00451527510445369,0.00158804004574124,0.00383284355627794,0.00387879009042424,0.00416032390481009,0.00146613144435941,0.00349792397358022
"11425-22",100,0.00995033085316809,-0.7,0.6,0.1,0.0720354397714185,0.00208533402049911,0.00356394171376692,0.00459926919228044,0.00361633422107315,0.0041649458894703,0.00499917821261938,0.0043033122840513,0.00405847310214695,0.0024051617715102,0.00450426160744823
"11425-23",100,0.00995033085316809,-0.7,0.6,0.1,0.071632816594687,0.014123176405992,0.00676218664576978,0.024189565192,0.0056743827142259,0.0239881988760685,0.00613533143362919,0.0249856494575478,0.00573612093810994,0.025237669346528,0.00741472429699676
"11425-24",100,0.00995033085316809,-0.7,0.6,0.1,0.0710911756898385,0.00415486870550883,0.00238538576370922,0.00499890173940707,0.00224702830514533,0.00511201377237405,0.00225184748928249,0.00501716976075166,0.0023388616383229,0.00452823656624436,0.00219718565732187
"11425-25",100,0.00995033085316809,-0.7,0.6,0.1,0.0721423042569129,0.0094787309175738,0.00397939982314916,0.00979248921045184,0.0037891344148989,0.00954010616449603,0.00464136919823594,0.00850412754958894,0.00344531362376972,0.00996976035057634,0.00423416128163958
"11425-26",100,0.00995033085316809,-0.7,0.6,0.1,0.0720786711960991,0.0103718359416495,0.00605050482054887,0.0113747154389361,0.00678628786678247,0.0110161452788313,0.00695228139987156,0.0106218972057121,0.00776470364075074,0.0112703244427821,0.00770571384293351
"11425-27",100,0.00995033085316809,-0.7,0.6,0.1,0.0708585164104872,0.0108083269838093,0.00648826583839897,0.0070137790830437,0.00515324030262808,0.00668372961414916,0.00526417410619369,0.0086129580899145,0.006407172453424,0.00546841014098966,0.00406678002521603
