"sim","N","beta1","minW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-1",100,0.00995033085316809,0.15,0.1,0.0723696925381681,0.0110448187180981,0.00195141494809079,0.0119552477719769,0.00281150588424039,0.0217774777071556,0.00640970239490982,0.0112907650601221,0.0043312695654133
"11424-2",100,0.00995033085316809,0.15,0.1,0.0724392030461485,0.00969891425330479,0.00172507628085024,0.011735566113652,0.002434890930615,0.00974452934552491,0.00280219567838147,0.00980251223009192,0.00250076736032614
"11424-3",100,0.00995033085316809,0.15,0.1,0.0715523488889055,0.00709565887156922,0.00199644941812148,0.00962730973032652,0.00297556221523126,0.0143087683199411,0.0122841565272414,0.0044337055865111,0.00293955779948109
"11424-4",100,0.00995033085316809,0.15,0.1,0.0718845611553538,0.0158023580590793,0.00321784531030648,0.0192720033641276,0.00511285003089262,0.019494773601641,0.0113976612149267,0.0042990423796258,0.00724939367713034
"11424-5",100,0.00995033085316809,0.15,0.1,0.071499165966029,0.0111256328141136,0.00250143510543057,0.0126346369517371,0.00407750042082655,0.0179317839875913,0.00848154658955958,0.0164038129074997,0.00742910615187295
"11424-6",100,0.00995033085316809,0.15,0.1,0.0716391502064601,0.010519616668862,0.00264202850394871,0.0129500432096095,0.00428672742815594,0.00875416535848116,0.011412818136351,0.00719870989368622,0.00871737088528796
"11424-7",100,0.00995033085316809,0.15,0.1,0.0719489764906383,0.00978267354799968,0.00257259444070207,0.00818543741714173,0.00371921501679606,0.0166536514241932,0.0294297046108948,0.0107927715378599,0.00679994613472457
"11424-8",100,0.00995033085316809,0.15,0.1,0.0717923121651654,0.00920912242087731,0.00207180646859345,0.0146691407695817,0.0034520076707645,0.00495796962297482,0.00584016402259561,0.00982285996369956,0.00262992631812943
"11424-9",100,0.00995033085316809,0.15,0.1,0.0719803194207156,0.0100715581993979,0.00221373849635706,0.0121862026444275,0.00304098184790998,0.0164581606862362,0.0083851711094506,0.00687144039199422,0.00386194318740622
"11424-10",100,0.00995033085316809,0.15,0.1,0.0715978044140876,0.0103673125890875,0.00188466708524466,0.0124660003202281,0.00228948130607413,0.0104538200816104,0.0127613089656538,0.0120558629785484,0.00237550215552975
"11424-11",100,0.00995033085316809,0.15,0.1,0.0719812317696657,0.0147965701889866,0.00233937716035077,0.0181340520490019,0.00318267359668234,0.0136579818204541,0.0117708505892664,0.0161582107704979,0.00483050686510892
"11424-12",100,0.00995033085316809,0.15,0.1,0.0722433484697244,0.0139803280510237,0.00251500056653048,0.0184540233326715,0.003906974324517,0.0109499172262958,0.00655621792034321,0.0106727636674666,0.00584618638246492
"11424-13",100,0.00995033085316809,0.15,0.1,0.071644072396007,0.0137598289377688,0.00342151368664639,0.0162992692600973,0.00472279375344539,0.0153670663353193,0.0102360905805231,0.013345509484449,0.011037468830597
"11424-14",100,0.00995033085316809,0.15,0.1,0.071930813586473,0.00911816115006277,0.00270314138702879,0.0126664112624983,0.0049147844316729,0.0112833727577523,0.00726385987899375,0.0104743471866797,0.00616299649491766
"11424-15",100,0.00995033085316809,0.15,0.1,0.0718388639554045,0.00884333806325845,0.00213232230247315,0.0131541208125171,0.00334793947389383,0.0128444674604618,0.00856811587388377,0.00750989321063485,0.00337538528798381
"11424-16",100,0.00995033085316809,0.15,0.1,0.071322886851221,0.0109965511298227,0.00249505627474547,0.0141093308308956,0.00354845247433259,-0.00399359780035519,0.00980435966699752,0.00770996523744761,0.00224494276846777
"11424-17",100,0.00995033085316809,0.15,0.1,0.0717820272904864,0.0105120751351366,0.00199518950828489,0.0157124110046992,0.00349100712964846,0.0146565968800185,0.00570944474627389,0.00827474940995831,0.00398478599777975
"11424-18",100,0.00995033085316809,0.15,0.1,0.0720111081111111,0.00841285515004934,0.00187361978764027,0.0129844794290014,0.00455823988332717,0.00678995263594794,0.0112022483244999,0.0106334942846189,0.00694245154876452
"11424-19",100,0.00995033085316809,0.15,0.1,0.0719817100747002,0.0074065397709539,0.00231550304577426,0.00625061839450432,0.00365798534462703,0.0131732700862706,0.00785736696573202,0.00500670253168051,0.00151115533992836
"11424-20",100,0.00995033085316809,0.15,0.1,0.0708530311291783,0.0111824266687893,0.00248334178551249,0.0144356583881381,0.00379601646785734,-0.00659747611950317,0.0123105363987228,-0.00146975612099791,0.0108951165092594
"11424-21",100,0.00995033085316809,0.15,0.1,0.0719966851805784,0.0140440278005816,0.00267355818178084,0.0217291607989344,0.0042235481850677,-0.000586138809750584,0.00994517583285085,0.0121386499262385,0.00780323358070899
"11424-22",100,0.00995033085316809,0.15,0.1,0.0717324965413625,0.00998575532497523,0.0020781348455602,0.0158403890508447,0.00305686985188781,0.00404295121224478,0.0144865833363582,0.0119141670249426,0.00287851724887956
"11424-23",100,0.00995033085316809,0.15,0.1,0.0720933823979481,0.0122715726448279,0.0016330182096113,0.0155875378812488,0.00290303144265721,-0.00892744517575488,0.0123332414030442,0.00205409291786895,0.0111086404482662
"11424-24",100,0.00995033085316809,0.15,0.1,0.0710728426555144,0.00930068503192267,0.00260358647823018,0.0117895457099289,0.0033166663890178,0.0308319881168362,0.0163776327665977,0.0190618287930077,0.00621149820560407
"11424-25",100,0.00995033085316809,0.15,0.1,0.0723029015808609,0.00953017939845781,0.00129541852350774,0.0107041501091271,0.00160751835225986,0.0140906049683971,0.00581166785179279,0.0113172459973813,0.00323589416681371
"11424-26",100,0.00995033085316809,0.15,0.1,0.0719303392489043,0.00754106121150513,0.00246124583878843,0.00947493266365184,0.00358522019090999,0.00903546594139386,0.0101963655280501,0.00350760010319326,0.00376492350917006
"11424-27",100,0.00995033085316809,0.15,0.1,0.0716872955611401,0.0109137699368906,0.0023077830555282,0.011755777379916,0.00304843751590661,0.0029560034826453,0.0178718132145066,0.0132337200200917,0.0069542854724996
"11424-28",100,0.00995033085316809,0.15,0.1,0.071120050057743,0.0137094474787586,0.00260751061301917,0.029122995635812,0.00548152076760391,0.0410092814211706,0.0109800644052103,0.0345209784923096,0.00750773271316127
"11424-29",100,0.00995033085316809,0.15,0.1,0.0717523986553505,0.0070161100501585,0.0017629011177098,0.00966718499780315,0.00274921847580435,0.0105739181399148,0.00646646547899627,0.0085739073801259,0.00348278143107404
"11424-30",100,0.00995033085316809,0.15,0.1,0.071386077779823,0.0108558129161018,0.00220341976653883,0.0137108661633255,0.00319142096319394,0.0221166784646793,0.0111788484301282,0.006625538013405,0.00174094803258595
"11424-31",100,0.00995033085316809,0.15,0.1,0.071828626945601,0.0110989632209413,0.00246823494887711,0.022519041839145,0.00482877839073011,0.00844057230306058,0.00645014282239383,0.00709260830226571,0.00624621271320317
"11424-32",100,0.00995033085316809,0.15,0.1,0.0726129488323454,0.0121031252240673,0.00236103760929073,0.0162527908676585,0.0038320148272864,0.0115050200023677,0.00916931835582749,0.0145061758178402,0.00401736056958636
"11424-33",100,0.00995033085316809,0.15,0.1,0.0721018315053206,0.0133185548898873,0.00235024219795321,0.0237832534176135,0.0045297175448472,0.0229319022427314,0.00774197803362052,0.0148450496877525,0.00991371807794882
"11424-34",100,0.00995033085316809,0.15,0.1,0.0718282143953555,0.0113015068134748,0.00266140110222962,0.0162946844297093,0.00397549824500292,-0.00067793308004899,0.0110269204626428,0.00349232464152961,0.00520134844647057
"11424-35",100,0.00995033085316809,0.15,0.1,0.071717486490598,0.00780961082660937,0.00243289357500496,0.00873512201172229,0.00359355490815705,0.00905105996482767,0.00898994207038291,0.00952082371549225,0.00444818473607265
"11424-36",100,0.00995033085316809,0.15,0.1,0.0711960720140186,0.00718031737553868,0.00187292495645165,0.0102745320973303,0.00271281261899424,0.00776230704705511,0.00754695560726461,0.00748023629653031,0.0022245529886607
"11424-37",100,0.00995033085316809,0.15,0.1,0.0713356317147809,0.00731650501139402,0.00300148984983195,0.00819627467295975,0.00418952734753996,0.00794514528208167,0.00742774488243262,0.00681148162518567,0.00699064022061
"11424-38",100,0.00995033085316809,0.15,0.1,0.0715375655848947,0.00809464958328357,0.00226351274581189,0.013249225835722,0.00363150209027551,0.0805661752141605,0.0319510168307323,0.00833053269709404,0.00306401691653506
"11424-39",100,0.00995033085316809,0.15,0.1,0.0716679592499487,0.0107342636765447,0.00184180322794675,0.0146640943991883,0.00305562399739608,0.00215968777379363,0.0057675490620748,0.0050606104826366,0.00187102709064274
"11424-40",100,0.00995033085316809,0.15,0.1,0.0715318770032062,0.0127917498117019,0.00232828264344381,0.0201693151658656,0.00403901339185251,0.0115561798438042,0.0122906246026496,0.00654002887564296,0.00467521968732812
"11424-41",100,0.00995033085316809,0.15,0.1,0.0715280902424818,0.0109297570916869,0.00222937869065824,0.0141010472282498,0.00499949070026724,0.0241224911493649,0.00920637242924051,0.013196380274941,0.00923111037152748
"11424-42",100,0.00995033085316809,0.15,0.1,0.0709119039904535,0.0105121858193329,0.0021830407006644,0.0126194283217838,0.00320302454879099,0.0143735904370669,0.00514062446382485,0.00962242919137749,0.00463891281720244
"11424-43",100,0.00995033085316809,0.15,0.1,0.0718972040461909,0.00891552009407702,0.00251637824350313,0.00917538819029746,0.00376468086584924,-0.0105368492681903,0.00792479196666323,0.00525711319121906,0.00706519963409179
"11424-44",100,0.00995033085316809,0.15,0.1,0.0718995459940813,0.0107043057490173,0.00210082143529554,0.0114925502544259,0.00235617255071782,0.000942493965804137,0.0108634696881842,0.0106114398819438,0.00298730183884284
"11424-45",100,0.00995033085316809,0.15,0.1,0.0721768662198101,0.00916923628404264,0.0019708009807081,0.0115138185512032,0.00251654754264593,0.0126005369708037,0.010229408969934,0.0148131218997856,0.00551679903771398
"11424-46",100,0.00995033085316809,0.15,0.1,0.0721172468496885,0.0120816951677689,0.00245416183893929,0.0155489028463683,0.00366702588902064,-0.00305528335065543,0.0102633701988761,0.00919796494287997,0.00160944814906353
"11424-47",100,0.00995033085316809,0.15,0.1,0.070449829256674,0.0123328848939583,0.00155333166759887,0.0167036288938235,0.00216446903194844,0.00339762902924471,0.00822160885758419,0.0105453383510614,0.00225090935613826
"11424-48",100,0.00995033085316809,0.15,0.1,0.0713608704250209,0.00869064428949355,0.00256899443913441,0.010472610519658,0.00367782273904175,0.00637201664151495,0.00668843418902547,0.00587217184571868,0.00561843564396191
"11424-49",100,0.00995033085316809,0.15,0.1,0.0721357340189838,0.0133815876352431,0.00245715929913447,0.0188538791418546,0.00342232307829976,0.0122258618548952,0.00584466182630096,0.0136858218755224,0.00630767653144688
"11424-50",100,0.00995033085316809,0.15,0.1,0.0714886266816393,0.00769004507764123,0.00240485460825813,0.0123831644643323,0.00463216838543963,-0.0117733671532523,0.011911848663668,-0.00970951589966484,0.00605294860600001
"11424-51",100,0.00995033085316809,0.15,0.1,0.0719752711836271,0.00927588368086809,0.00241548524163271,0.0107102588262199,0.00326909529464065,0.0159420888627756,0.0099135261146125,0.00736144080389559,0.0022915206283036
"11424-52",100,0.00995033085316809,0.15,0.1,0.0721281223984947,0.0147779542338984,0.00280471658974649,0.0226678079783678,0.00375959811203528,-0.00928095313828722,0.0139669105112432,0.0108246728852031,0.00253234293351315
"11424-53",100,0.00995033085316809,0.15,0.1,0.0715440189713169,0.0135162658202669,0.00251734017240059,0.0164721823574904,0.00366165492929615,0.0256607889292756,0.00637880880116738,0.011130425371126,0.00677458035395495
"11424-54",100,0.00995033085316809,0.15,0.1,0.0713842690013003,0.00680067013595911,0.00235195195214389,0.0101437406377224,0.00346699944166666,0.010193220583333,0.0233874597276526,0.0100894796304627,0.00325082264632763
"11424-55",100,0.00995033085316809,0.15,0.1,0.0720639619703372,0.0103714422667167,0.00198042152189465,0.015792717651826,0.00300326192046872,0.0105612686193625,0.00590935547120711,0.0115373572795254,0.00664556177282385
"11424-56",100,0.00995033085316809,0.15,0.1,0.0713713248241777,0.00930262376702558,0.00227601802933461,0.0130300974706815,0.00434098704429785,0.0160019051850244,0.00574882638452906,0.00706537185929741,0.00199138394378586
"11424-57",100,0.00995033085316809,0.15,0.1,0.0716319671895959,0.0121842402528778,0.00246264232681572,0.014026823125455,0.00413790585620229,0.0262055075201153,0.0206640375673848,0.0165713367136732,0.00765892891340616
