"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-1",340,0.00995033085316809,1.25,0.1,0.0716305295196061,0.0104098137277703,0.00130110559805867,0.00910331835178454,0.00115379422139824,0.0123297862063576,0.00326686337683368,0.0100780628575272,0.00147956560110081
"11427-2",340,0.00995033085316809,1.25,0.1,0.0718223193855458,0.0115158403500543,0.00139982986635713,0.0102898960891061,0.00125784109752222,0.0074785309622087,0.00538770485457964,0.0125027035199541,0.00151205944276538
"11427-3",340,0.00995033085316809,1.25,0.1,0.0718165346549656,0.0103143058457168,0.00132618002111184,0.00884561906234351,0.00114622305705163,0.013541543361599,0.0044966442001262,0.0101640983736232,0.00144643257946319
"11427-4",340,0.00995033085316809,1.25,0.1,0.0715738473094475,0.0096917495825371,0.00135241136997529,0.00854952281232874,0.00119512325159788,0.00194912099263107,0.00431880340983004,0.00948600412267639,0.00144545845478455
"11427-5",340,0.00995033085316809,1.25,0.1,0.0713398476283848,0.0102399231252951,0.00126566175267931,0.0087517849582102,0.00109514436782772,0.00623238238881755,0.00536898336535055,0.00974059811755898,0.0012628000229667
"11427-6",340,0.00995033085316809,1.25,0.1,0.071810623785841,0.00737752104716418,0.00118974279215886,0.00648125473528771,0.00103944975648107,0.00790679446974394,0.00510543743537324,0.00745504512448357,0.00120926077591619
"11427-7",340,0.00995033085316809,1.25,0.1,0.0718243791815427,0.0102395856765202,0.00136056713917472,0.00923086292398632,0.00121403162171759,0.0119776264575477,0.00512049514473697,0.0106906288784653,0.00143634768118355
"11427-8",340,0.00995033085316809,1.25,0.1,0.0715138780464856,0.010178382529534,0.00133642175875904,0.00867502939333174,0.00117027643137166,0.00557808223132819,0.00553307985708316,0.0100858615094668,0.00143608201956871
"11427-9",340,0.00995033085316809,1.25,0.1,0.0717438534313414,0.0111945158215239,0.00124663637755499,0.00976742229727535,0.00111763934701834,0.00117366381349221,0.00434152533859081,0.0116839523995489,0.00133553779125856
"11427-10",340,0.00995033085316809,1.25,0.1,0.0720445742286667,0.0100683458409644,0.00129563227662052,0.00872841093079869,0.00114168637082712,0.0146457513938662,0.00345507870014213,0.0106372673655029,0.00138892603065276
"11427-11",340,0.00995033085316809,1.25,0.1,0.071264138815329,0.00822499222936466,0.00125091145063002,0.00730684213610443,0.00109593491573442,0.0132347703390248,0.00561689724110337,0.00769472109574055,0.00131962615548122
"11427-12",340,0.00995033085316809,1.25,0.1,0.0717326241550994,0.00930546214522639,0.00145118039832027,0.00835695060528531,0.00128876592251924,0.0103776964521839,0.00439117023249965,0.0098970390779599,0.00159243855978956
"11427-13",340,0.00995033085316809,1.25,0.1,0.0716532078462861,0.00889162828884363,0.00139832739196599,0.00760321056631844,0.0012090163426248,0.00940653811397759,0.00426616166193343,0.00892887117590534,0.00161823637478146
"11427-14",340,0.00995033085316809,1.25,0.1,0.0715731457146561,0.0104556082938221,0.00115252280752153,0.00940723882021244,0.00104614070271406,0.0110736193212115,0.0051115539106244,0.010349920146003,0.00116416693118306
