"sim","N","beta1","maxW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-1",340,0.00995033085316809,2,0.1,0.0723905173315906,0.0126039965773537,0.00111131995403378,0.0077066860810356,0.000689709935388787,0.0137503102918296,0.00312202244973206,0.0104020933796994,0.00244583589554793
"11424-2",340,0.00995033085316809,2,0.1,0.0717310470248467,0.0118242900880431,0.00115809616005639,0.00707953378733577,0.000739095162172384,0.0094976801665303,0.00317682717870478,0.0103456848167817,0.00150246599019278
"11424-3",340,0.00995033085316809,2,0.1,0.0719127134502539,0.00925475280084737,0.00130361621090095,0.00567630948711437,0.00084360387937739,0.00690393809664095,0.00607211582852752,0.00816207673069861,0.00175640471645341
"11424-4",340,0.00995033085316809,2,0.1,0.0717573547697348,0.00829111411191795,0.00128280308203274,0.00541212789777786,0.000841806536215254,0.010377830717848,0.00431168819186379,0.00943361099404414,0.00227143542954024
"11424-5",340,0.00995033085316809,2,0.1,0.0721891143117483,0.00908073236485901,0.0012019578918986,0.00621308690183246,0.000808843319726812,0.00822782988243404,0.00355617726956955,0.00810917019266688,0.00193540839655751
"11424-6",340,0.00995033085316809,2,0.1,0.071732207004392,0.00991518431987268,0.00124191388652814,0.00618867668960598,0.000850057993162788,0.0017987603609285,0.00566555242441352,0.0108657951804809,0.00191954330467775
"11424-7",340,0.00995033085316809,2,0.1,0.0714764272971609,0.0100965566274762,0.0012158570500341,0.00635721816854952,0.000828138664715533,0.0104571620628847,0.00498625452588442,0.00925140145902854,0.00168377059681863
"11424-8",340,0.00995033085316809,2,0.1,0.0718152545765553,0.0110818679082294,0.00114046399951088,0.00719411968056918,0.000752403356640222,0.0115278926825,0.00394954348639723,0.0112034608680978,0.00185673651398813
"11424-9",340,0.00995033085316809,2,0.1,0.0714533878054898,0.011708954012878,0.00141004931646391,0.00667582480628347,0.000868165480753288,0.0176365144016112,0.0038653108812831,0.011188650697083,0.00187384675656019
"11424-10",340,0.00995033085316809,2,0.1,0.0720646297494114,0.0111548960497198,0.0010330229687269,0.00679355981250832,0.00063211421288163,0.00871691977067399,0.00371808187621457,0.011398209702523,0.00179972100274671
"11424-11",340,0.00995033085316809,2,0.1,0.0716068246216234,0.0102801357066623,0.00121108913961155,0.00629988717014027,0.000758277216166806,0.00662064593228917,0.0025549071352378,0.00854240305418743,0.00157343807301923
"11424-12",340,0.00995033085316809,2,0.1,0.071757723262977,0.0112969454884608,0.00114298572781713,0.0068673533049652,0.000725622444410341,0.00859244842513699,0.00346856794947537,0.011242142612147,0.00184193283429718
"11424-13",340,0.00995033085316809,2,0.1,0.0718186904486616,0.0114873116989679,0.00118841876475243,0.00720081615069524,0.000770999062271363,0.0155323840275577,0.00424377722643966,0.010365630733853,0.00138629729574809
"11424-14",340,0.00995033085316809,2,0.1,0.0711377812237581,0.0102285875733779,0.00131853319050288,0.00622764183242477,0.000862415586064211,0.0111540931224009,0.00582306193235052,0.0094254740280824,0.00178442691489663
