"sim","N","beta1","minW","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11428-1",340,0.00995033085316809,0.9,0.1,0.0718962781372454,0.00951450283511451,0.00126270804886915,0.0100669428266451,0.00134152397813683,0.0162605811297756,0.00396754180285365,0.00948799694511105,0.00126174554294543
"11428-2",340,0.00995033085316809,0.9,0.1,0.0716176697970092,0.0113606770005518,0.00124132752973674,0.0118963760665355,0.0013035226492164,0.0114212596224109,0.00456576796716098,0.011325985792748,0.00127633341935172
"11428-3",340,0.00995033085316809,0.9,0.1,0.0717475867711735,0.00661280179688442,0.00145850293875726,0.00706278415275944,0.0015426833822216,0.000687319907464874,0.00449617247199373,0.0068806336789649,0.00150039635643118
"11428-4",340,0.00995033085316809,0.9,0.1,0.0716468459003406,0.00982191653434748,0.00114839273788991,0.0102682756427222,0.00119688069134109,0.0117877614056418,0.00290792023985413,0.00963069768934235,0.00113489974040026
"11428-5",340,0.00995033085316809,0.9,0.1,0.0722620055007739,0.0105060886707865,0.00116518474427841,0.0110529371507658,0.00122597640930543,0.00679079102440386,0.00355610397434756,0.0101160433900508,0.00115814424069618
"11428-6",340,0.00995033085316809,0.9,0.1,0.0717911962067245,0.00926322703391661,0.00116956351974797,0.00991910780874089,0.00124168121068435,0.0063869084219561,0.00437064985958326,0.00955921318740176,0.00122710318220703
"11428-7",340,0.00995033085316809,0.9,0.1,0.0716774320484616,0.0128042109882024,0.00136574505326843,0.0135682265120026,0.00144844919481812,0.00822436132572469,0.00450974784463235,0.0128277301898136,0.0014200683161677
"11428-8",340,0.00995033085316809,0.9,0.1,0.0719159555109011,0.00891696777084211,0.00132115290998297,0.00940326076863713,0.00140052552016752,0.00302206425609344,0.004669122600544,0.00903645733094719,0.00136240192589225
"11428-9",340,0.00995033085316809,0.9,0.1,0.0717814246357631,0.00950855716670171,0.00121952104580678,0.0100101758279096,0.00128320085364499,0.0067430148321741,0.00511454712249503,0.00992138598204692,0.00126209460479193
"11428-10",340,0.00995033085316809,0.9,0.1,0.0717687412050547,0.0107366308612016,0.00110510882663855,0.0111965342772145,0.0011506444604453,0.00465182510960271,0.00450364386297045,0.0107267507461424,0.00110919761479133
"11428-11",340,0.00995033085316809,0.9,0.1,0.0712093628692938,0.00863415214908637,0.00100377673087124,0.00917310951082012,0.00107524852468719,0.0111336954808314,0.00252046018585937,0.00837982967191015,0.00100874062604828
"11428-12",340,0.00995033085316809,0.9,0.1,0.0717213691442504,0.0102311664015859,0.00101024868418255,0.010713998477118,0.00105802498165195,0.00675183223109208,0.00307582862358612,0.0104943226772429,0.00103807798655758
"11428-13",340,0.00995033085316809,0.9,0.1,0.0716683149558081,0.0100387572474104,0.00116688049500484,0.0105798638071556,0.00123986735806495,0.00960447372490637,0.00320008393218959,0.0100070733122518,0.00116228083926737
"11428-14",340,0.00995033085316809,0.9,0.1,0.0718374959619733,0.0103593156454135,0.00128930236792455,0.0109820688556242,0.0013538164697365,0.0100791369773375,0.00430637804895569,0.009811255939369,0.00126923743812475
"11428-15",340,0.00995033085316809,0.9,0.1,0.0715462979205101,0.00817594598999355,0.00141929840091574,0.00854061942551498,0.00149686433060702,0.00346093040492151,0.00514127216594113,0.00773515094714435,0.00145224503132218
"11428-16",340,0.00995033085316809,0.9,0.1,0.0720210662571023,0.0107262938604865,0.00130511182612601,0.0112330603565544,0.00135930040867972,0.0135703431904865,0.00315868814709935,0.010783538770131,0.00136649961876756
"11428-17",340,0.00995033085316809,0.9,0.1,0.0719203889562103,0.0099485477795105,0.00115187397748858,0.0105596048687874,0.0012243845925998,0.0116615329070468,0.00352115085173863,0.00996318212696454,0.00116180957611597
"11428-18",340,0.00995033085316809,0.9,0.1,0.0719727828187673,0.0121572997922407,0.00137385101009486,0.0129239416667801,0.0014529028808474,0.00560657804521723,0.00504606688297483,0.0125323029890493,0.00145060205584084
"11428-19",340,0.00995033085316809,0.9,0.1,0.0719120351490997,0.00770193484848965,0.0014085211545398,0.00805092882521214,0.00148301642508701,0.00376287506338459,0.00511008549149656,0.00737333235394866,0.00144304852513997
"11428-20",340,0.00995033085316809,0.9,0.1,0.0720065303954283,0.00865220624481356,0.00126988645042903,0.00895326829129023,0.00132691131659919,0.0132300294642337,0.00375813866951559,0.00902781340812802,0.00131291887280365
"11428-21",340,0.00995033085316809,0.9,0.1,0.0720742530602799,0.0111817594514804,0.00111286219393853,0.0117518922321883,0.00117723977775146,0.00853583401882434,0.0050298215642003,0.0112879167654656,0.00114157653508753
"11428-22",340,0.00995033085316809,0.9,0.1,0.0721807501437412,0.0119383658089328,0.00114468352862816,0.0126346822379013,0.00121138768109112,0.00846555196853633,0.0054223476871951,0.01244936736783,0.00118849441186243
"11428-23",340,0.00995033085316809,0.9,0.1,0.0718085652292765,0.00857798725198148,0.00108906288260795,0.008937451827835,0.00114023618871763,0.00499199891079044,0.00375395127420368,0.00856791951381574,0.00113342238020958
"11428-24",340,0.00995033085316809,0.9,0.1,0.0713345846431695,0.0108986774664695,0.00141638672150211,0.0113204266845332,0.0014765097094955,0.00940117091972081,0.0036083664233609,0.0109433763041103,0.00141552824854937
"11428-25",340,0.00995033085316809,0.9,0.1,0.0715778499683108,0.00855132644553337,0.00125727978969418,0.00892314915697366,0.00131784297918821,0.00402474850212475,0.00424658417152436,0.00866278455467707,0.0013143187556135
"11428-26",340,0.00995033085316809,0.9,0.1,0.0714725929943834,0.00975964246214928,0.00118472143646433,0.0103813350503051,0.00125991489937208,0.0169655417663659,0.00364546170297522,0.0102129408584888,0.00125208045195526
"11428-27",340,0.00995033085316809,0.9,0.1,0.0720704168597326,0.0114523691827851,0.00118961669200319,0.011956185977746,0.00124336000550237,0.011297777017331,0.00415674055737382,0.0111286942925909,0.00117781395784581
"11428-28",340,0.00995033085316809,0.9,0.1,0.0718481594260031,0.00913411455812355,0.00122177458678539,0.00957363543974395,0.00127976560444847,0.0112012060985986,0.0033365085052029,0.00907196356653195,0.00126060382726346
"11428-29",340,0.00995033085316809,0.9,0.1,0.0714001573689468,0.0108284462595959,0.00134162009906349,0.011382382757351,0.00140936388585,0.012063512925656,0.00716748922543926,0.0106598653475584,0.0013431331584377
"11428-30",340,0.00995033085316809,0.9,0.1,0.0718327959629209,0.0101229671122245,0.00113602300247228,0.0106140401151505,0.00118788625400541,0.00604602852330887,0.00251533965581712,0.0102959462335827,0.00119268955616653
"11428-31",340,0.00995033085316809,0.9,0.1,0.071905346723696,0.00840318507892039,0.00143773873156634,0.00897444958111202,0.00152510628156046,0.00715579172135345,0.00468848916693359,0.00841315060587824,0.00143771634441622
"11428-32",340,0.00995033085316809,0.9,0.1,0.0724127078761808,0.00921299002532642,0.00117014949116639,0.00974770332285845,0.00123487314853319,0.00532089527505583,0.00397537512587535,0.00945511828605888,0.00121709340413668
"11428-33",340,0.00995033085316809,0.9,0.1,0.071573257814659,0.0104466392243245,0.00127791378049706,0.0109011961938179,0.00134556327895244,0.00743283845451479,0.0065086447950798,0.0109670147590694,0.00133822669681223
"11428-34",340,0.00995033085316809,0.9,0.1,0.0716109610833844,0.00746900158178462,0.00119802808587349,0.00797340169258271,0.00126557127765368,0.00520360849977845,0.00431510731672711,0.00751956090481455,0.0011879960236797
"11428-35",340,0.00995033085316809,0.9,0.1,0.0721589380083779,0.00870471224725711,0.00113574606937807,0.00906247651754838,0.0011807603392937,0.0180303052368135,0.00502980602251412,0.00858442895067594,0.0011283533507117
"11428-36",340,0.00995033085316809,0.9,0.1,0.0717981102188922,0.00922310300897555,0.00123053699823626,0.00962814586943004,0.00128951885109951,0.00963533298066896,0.00361322867504775,0.00874913639638781,0.00120992020670053
"11428-37",340,0.00995033085316809,0.9,0.1,0.071952952370217,0.0105784511667142,0.0012656577746938,0.0110362163135228,0.0013308537568913,0.0110549690473656,0.00406053519113399,0.0105536133944785,0.00127217652444541
"11428-38",340,0.00995033085316809,0.9,0.1,0.0717201777661392,0.010227947599258,0.00122506929703166,0.01074973343982,0.0012922720091753,0.0114916732953305,0.0040709348510204,0.0103946228464001,0.00124040103251959
"11428-39",340,0.00995033085316809,0.9,0.1,0.0718680524653364,0.00908080252047038,0.00121405177820309,0.00955491264585345,0.00127614676667688,0.00662770839531678,0.00502256618516192,0.00890946421745006,0.00120689253176225
"11428-40",340,0.00995033085316809,0.9,0.1,0.07167154719314,0.0106809291355171,0.0011869780326752,0.011102413313042,0.00124068126645788,0.0181096601647995,0.00579421196930945,0.0109924964345074,0.00121729263582124
"11428-41",340,0.00995033085316809,0.9,0.1,0.0720192804089277,0.0110260401195723,0.0012472408071294,0.0116385961958866,0.0013135696813484,0.00946791416528503,0.00399420125606656,0.0108638112323694,0.00125204581943456
"11428-42",340,0.00995033085316809,0.9,0.1,0.0719044421581149,0.0079873848063594,0.00137125406897432,0.00834135502305367,0.00144431664335562,0.00796956580506198,0.00376072218976778,0.00820928481163374,0.00140839707505182
"11428-43",340,0.00995033085316809,0.9,0.1,0.0716720032163862,0.00965720036463963,0.00126367236968582,0.0100300865040049,0.00132423510238106,0.00870798638519708,0.00367649039047419,0.00945989974428678,0.00125343113172801
"11428-44",340,0.00995033085316809,0.9,0.1,0.0713408974865195,0.0086238467660321,0.00118981071999865,0.00908031731411734,0.00125694095080079,0.00623038154005544,0.00370196727746132,0.00904571732432357,0.00125186742415395
"11428-45",340,0.00995033085316809,0.9,0.1,0.0714593526567065,0.00982755138640057,0.00127811378526877,0.0103822977526992,0.00135154460858673,0.00833678617147163,0.00369656619254809,0.00928378714291717,0.00129241396500441
"11428-46",340,0.00995033085316809,0.9,0.1,0.0719155194327571,0.00807361899226686,0.00141224544831639,0.00846826442957531,0.00148430753299339,0.00699702070380238,0.00476400198847765,0.00806953647923178,0.00143112800642306
"11428-47",340,0.00995033085316809,0.9,0.1,0.0714225327954906,0.00970055733057403,0.00127315829650737,0.0102220787628406,0.00134476431195457,0.0156804511218397,0.00252540503870679,0.00948406693850973,0.00131102737337711
"11428-48",340,0.00995033085316809,0.9,0.1,0.0719887999156252,0.0107664050272442,0.00123057657186044,0.0112136869321744,0.00128697063041442,0.0134060174840453,0.00589318010049581,0.0104505913973726,0.00123862243312799
"11428-49",340,0.00995033085316809,0.9,0.1,0.0717924386125551,0.00934146773571295,0.00122685006573453,0.00997924283893349,0.0013014876133192,0.0123450321312152,0.00513851127183827,0.00951753867801681,0.00124844163741089
"11428-50",340,0.00995033085316809,0.9,0.1,0.0715806195623705,0.0111421641715753,0.00125795995812213,0.011739508507179,0.00132419104854106,0.014523617424691,0.00413929319514456,0.0110985743318433,0.00126832745565149
"11428-51",340,0.00995033085316809,0.9,0.1,0.071859001738714,0.0106615859520667,0.00109225057822066,0.0111516347807356,0.00114186487410381,0.0082429178223767,0.0024715099211572,0.0105876074901136,0.00113785260412563
"11428-52",340,0.00995033085316809,0.9,0.1,0.0718648410211278,0.00934312919957113,0.00122677906228395,0.00973351160310634,0.0012797722481023,0.011029826283662,0.00402316191920318,0.00957080952676637,0.00125640385671022
"11428-53",340,0.00995033085316809,0.9,0.1,0.0718590194666949,0.00805364425151473,0.00127233087862941,0.00844947980735838,0.00133888455878813,0.00992845439702959,0.00345286617040352,0.00777313732077032,0.00127432300990384
"11428-54",340,0.00995033085316809,0.9,0.1,0.0719030170943014,0.00804008117759813,0.0011915457943135,0.00839733348252308,0.0012524837780523,0.0136166534049462,0.00344088171056057,0.00801346181598307,0.00119501979856364
"11428-55",340,0.00995033085316809,0.9,0.1,0.0716058249561365,0.0118391868590472,0.00149022266309991,0.0124253495478083,0.00155913486612252,0.0150542595911013,0.00463618455091752,0.0116425894268187,0.00153430361826365
"11428-56",340,0.00995033085316809,0.9,0.1,0.0718938925033732,0.0131788089796923,0.00139305324661686,0.0138796827576482,0.00147147260340692,0.0175098168589428,0.00592008157585361,0.0130871477581273,0.00141059572077157
"11428-57",340,0.00995033085316809,0.9,0.1,0.0718390018519122,0.00807405212021565,0.00124987548614906,0.00856805191618662,0.00132194783733411,0.0104594094511362,0.00433435756666605,0.0082574094050248,0.0012563964377581
"11428-58",340,0.00995033085316809,0.9,0.1,0.0712161460151237,0.00871578703500844,0.00130128817009347,0.00909392247294727,0.00136187303541221,0.00899222848023197,0.00333346560616647,0.0089408083497838,0.00135176513019042
"11428-59",340,0.00995033085316809,0.9,0.1,0.0717344710073404,0.0105709482267427,0.00111011708611543,0.011040851362917,0.0011557068960663,0.0112466990407789,0.00396781399399391,0.0102357643591673,0.00109215911470013
"11428-60",340,0.00995033085316809,0.9,0.1,0.071772915072735,0.00967768757577173,0.00133032901748235,0.0101400614864293,0.00140401620901249,0.013032217304216,0.00495458626196148,0.00941631125545262,0.00134143873425538
"11428-61",340,0.00995033085316809,0.9,0.1,0.071580997469266,0.0113461367543164,0.00112345568704382,0.0118655201066862,0.00118293146388745,0.00898039821577381,0.00509356955130679,0.0111201747385241,0.00112744979476818
"11428-62",340,0.00995033085316809,0.9,0.1,0.071960270532746,0.00874336156708672,0.00121732255004523,0.00925874107185226,0.00128200017196385,0.0121540509711471,0.00469499578080974,0.00869009051035331,0.00123860926635245
"11428-63",340,0.00995033085316809,0.9,0.1,0.0717267042458288,0.00995386546661439,0.00138065652467889,0.0103820877721981,0.00144383463750698,0.0119772410393907,0.00384834540928652,0.00986266228265479,0.00140051255485139
"11428-64",340,0.00995033085316809,0.9,0.1,0.0714301058580636,0.00987839690644795,0.00150039104863749,0.0103443617790282,0.00157717775626048,0.0178253925365729,0.00693348678568861,0.0097248452626224,0.0015201230100328
"11428-65",340,0.00995033085316809,0.9,0.1,0.0715568875683717,0.0102443195910895,0.00120653752978417,0.0107865011531305,0.00126996913576981,0.012248371060857,0.00597119843548106,0.0104299628900574,0.00121903864333871
"11428-66",340,0.00995033085316809,0.9,0.1,0.0714317463862333,0.00640091408091234,0.00128246256300672,0.00665893715594634,0.00133888589833915,0.00927296406816738,0.00402002591776774,0.00629758584695915,0.00129632639213239
"11428-67",340,0.00995033085316809,0.9,0.1,0.0719610216210709,0.00998604270966024,0.00110744928954888,0.0105323327407203,0.00117007503142303,0.00612581714774201,0.00349594145953074,0.00985468698829355,0.0011325892123131
"11428-68",340,0.00995033085316809,0.9,0.1,0.0715982523222409,0.0109797352072954,0.00118193672782653,0.0114368173416549,0.00123404843399621,0.0121026426150565,0.0045208649573752,0.0108414142013181,0.00120633639401329
"11428-69",340,0.00995033085316809,0.9,0.1,0.0721525606251952,0.00856677830960555,0.00121777688227596,0.00889708042500665,0.0012717193523058,0.0102807079616431,0.00537475920807151,0.00852675934356884,0.00122867801855877
"11428-70",340,0.00995033085316809,0.9,0.1,0.0721133913750319,0.0106271799305349,0.00123612270659121,0.0112082934686643,0.00131246235944234,0.0131842773355356,0.00521455485302477,0.010931403821999,0.00128142489535826
"11428-71",340,0.00995033085316809,0.9,0.1,0.0717403706937624,0.00876691744623249,0.00138735823679415,0.00940586948770737,0.00148500380228974,0.00548956073577146,0.00589469024040962,0.0089622142050534,0.00146742093535587
"11428-72",340,0.00995033085316809,0.9,0.1,0.0719540296303897,0.00894842641688724,0.00144836538293162,0.00923550063156979,0.0015179104819931,0.0141250167229775,0.00497190178764683,0.00893313556715699,0.00148985852327743
"11428-73",340,0.00995033085316809,0.9,0.1,0.0716878060760493,0.00901490966094948,0.00112132354410454,0.00943116238369046,0.00116770723599469,0.011105304335714,0.00427490606961822,0.00905877732170127,0.00114000835940231
"11428-74",340,0.00995033085316809,0.9,0.1,0.0715783785750556,0.00947170858620178,0.00116490569784558,0.0100394282546794,0.00123321202745962,0.00925121847971184,0.00364975715475182,0.00914664579932334,0.00119566584601381
"11428-75",340,0.00995033085316809,0.9,0.1,0.0719218629461957,0.00945353394430111,0.0012637792474618,0.00988565386828143,0.00131746314615321,0.00823009367005206,0.00383094277763485,0.00984004598293968,0.00131457818969538
"11428-76",340,0.00995033085316809,0.9,0.1,0.0712200624313692,0.0116417499896249,0.00126707046021907,0.0123138190916886,0.00134279462595722,0.00798580913508588,0.0036342229322284,0.0115257818233812,0.00128008264171326
"11428-77",340,0.00995033085316809,0.9,0.1,0.0715021836690355,0.00866534962933838,0.00136184435753379,0.00922239513953611,0.00144809950984064,0.00710333891894888,0.0050022017118898,0.00867291559933002,0.00139215717143369
"11428-78",340,0.00995033085316809,0.9,0.1,0.0715116393275396,0.0113183797194695,0.00132707285575925,0.0119541195667297,0.00139904680866092,0.0127288604563847,0.0046612298480746,0.0113366815127821,0.00134889869543312
"11428-79",340,0.00995033085316809,0.9,0.1,0.0720252036645512,0.0101474508467714,0.00107817113237096,0.0107409429286633,0.00113586878910851,0.0143988932993593,0.00341731527040467,0.0103977124106877,0.00110988293823953
