"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.112736306951059,-2.20596718165852,0.00332084273439556,0.00996176980590748,0.000983032671631458,-2.20483270902684,0.00330224054672482,0.0135247500508921,0.00138724916862032,-2.20348159340585,0.0104619690261619,0.0102802279857347,0.00271807707810407,-2.20839795315013,0.00418984268162102,0.0111327274658493,0.00142175859936094
"11422-2",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113492491246318,-2.20212784761258,0.00317135753042265,0.0104159389181346,0.000832256037816992,-2.20162915296389,0.00314219411157963,0.0143978932722958,0.00114811705533734,-2.1953457028973,0.0119866789922672,0.0108147037295672,0.00474017799564676,-2.2033365739252,0.00351667963619342,0.0106946999494581,0.000983573075447226
"11422-3",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113633294140351,-2.20099405271557,0.0032682104416323,0.0106539354635209,0.000907406204887696,-2.20095152901626,0.00327600578480623,0.015324628473528,0.0013140175905085,-2.20054961628217,0.010830258506064,0.0127827478332728,0.00434872308005573,-2.20558700818132,0.00410659783953543,0.0140869066127198,0.00138941957739304
"11422-4",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113775029502164,-2.20062853954044,0.00352238577690724,0.0106560160743432,0.00101975431454979,-2.19901224285365,0.00345906294973163,0.0141528177476374,0.00139313700468439,-2.21798531242797,0.0110979228011824,0.0128228627474189,0.0037273194600272,-2.2001158754142,0.00405163888794697,0.010322471746903,0.00126703947608349
"11422-5",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113962319302963,-2.19448246130708,0.00334782012540152,0.00873854873786883,0.000913965245719115,-2.19369957720836,0.00327157867825973,0.0121735305640201,0.00125822894760283,-2.18782199509912,0.012249392941519,0.00907807317651003,0.00313937589632836,-2.19448844277201,0.00393758772063219,0.0088463901523091,0.00117520560841292
"11422-6",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.11351983148345,-2.19912263720133,0.00327604579046482,0.00950144126871254,0.000914752662638249,-2.19767586732739,0.00321983307076414,0.0126620719928613,0.0012527912678455,-2.20634517045102,0.0113627540910426,0.00710310215020179,0.00404340696057756,-2.19653215304332,0.00360244842019088,0.00840366564333686,0.00113493018610677
"11422-7",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113221225252392,-2.19925092366068,0.00332414730871151,0.00863223861041807,0.000957454587780537,-2.1989491495753,0.00331648635538601,0.0122425601306047,0.00137145889734073,-2.20931876767684,0.0103259403613708,0.01565018962075,0.00343417821411142,-2.20019131001201,0.00352849682046877,0.0092390948425171,0.00107563997248767
"11422-8",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113519713123377,-2.2016333404432,0.00335150001832706,0.00947044167641668,0.000861557513221789,-2.20039037300968,0.00331579083441851,0.0128304448508838,0.00120024471892639,-2.2017907433964,0.0116343123463205,0.00688662780468668,0.00364257525759899,-2.20020224598242,0.00432256411410829,0.00881099630084193,0.00125172179744101
"11422-9",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.114032111984059,-2.19725576298363,0.00338115347465707,0.010158771834075,0.000939369716007898,-2.19738574353833,0.0033587801436063,0.014534370834508,0.00131955919267982,-2.19917933663888,0.00992858816564941,0.0127816663668786,0.00281291262310949,-2.19788056775835,0.00390354435254011,0.0104640031271608,0.00120441054328677
"11422-10",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113777465017215,-2.20036904193858,0.00337569973858834,0.00991394396630042,0.00088005614811263,-2.19884341108512,0.0033274951885523,0.013288660491583,0.00121556316175853,-2.20020970567244,0.0110016607767299,0.00815020994699406,0.00282821188078253,-2.19943436410718,0.00460590551926394,0.00932382721038561,0.00134438326166449
"11422-11",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113334988809412,-2.19809802289664,0.00339138321350443,0.00898163834835994,0.00104893635014135,-2.19625347493303,0.00336230696556772,0.0118853133306938,0.0014995781253068,-2.19916740977779,0.0110064653421782,0.0101035045345391,0.00370305345826594,-2.19798612080921,0.00379693500406174,0.00883203567617966,0.00121398619891494
"11422-12",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113209828593506,-2.20440338390719,0.00340128820302776,0.0098068448236325,0.000914855648958434,-2.20392072571174,0.00336405409613479,0.0136782722887577,0.00127225560022694,-2.21723027234221,0.0105986812276598,0.009517181250806,0.00234942318691251,-2.20247340095945,0.00419919957396403,0.00874648997593368,0.00120407369218437
"11422-13",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113900172738243,-2.1942419546155,0.00331849853560991,0.00870315588801004,0.000922446186378985,-2.19448839167271,0.00332673662268316,0.0126448074099027,0.00133184785197511,-2.17099864659383,0.0118978447110385,0.00313159616287571,0.0035862649250858,-2.19475737883987,0.00407421992894244,0.00908534889658078,0.00131351352639229
"11422-14",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113428880035837,-2.20058789899046,0.00338068099891248,0.0100381162532064,0.00100192815436417,-2.19897811815097,0.00333273744438069,0.0133357338188602,0.00138730658623653,-2.21529854455557,0.010353924620138,0.0128881402251775,0.00289450801443287,-2.20375821448743,0.00398957801530708,0.011427339688004,0.00129057867083486
"11422-15",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113293170050241,-2.19856286907452,0.00337321144694842,0.00909723232888878,0.00104730518395408,-2.1981506578116,0.00337444030071925,0.012952152356439,0.00152276318708962,-2.19128096711424,0.0110906531294648,0.0079465861423817,0.00313762746207392,-2.2013552159989,0.00534333392550199,0.0103961715413925,0.00209226971041788
"11422-16",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.11353891247993,-2.19673831046275,0.00329396085958341,0.00896203117376905,0.000966256413345477,-2.1951588072028,0.00328491290130266,0.0118038317268153,0.00136891169676218,-2.20507497668949,0.0112701460501888,0.00928846503707553,0.00387513848656499,-2.1959371226829,0.00391297337672665,0.00859263598283151,0.001247836188559
"11422-17",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113637540349167,-2.20300181055219,0.00325347265547754,0.0111708792779555,0.00087288623217981,-2.20245835355928,0.00327428537541453,0.015746147271885,0.00127219465779946,-2.20898449511669,0.010073817712114,0.0101452594910143,0.00276844898343457,-2.20312311223878,0.00345990722428249,0.0111946974574412,0.000997075143994925
"11422-18",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113628677490118,-2.20019737701406,0.00340899551682198,0.0102812510583346,0.00098403140671341,-2.20021784671576,0.00341617140675066,0.0148281963353748,0.00142388545641337,-2.19317241693436,0.0137261012340896,0.00903569534381082,0.00453242387803284,-2.20175364557419,0.0044962011739702,0.0110097832804706,0.00156705924123924
"11422-19",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113911474795152,-2.1983345248229,0.00333183461367905,0.0103004409619475,0.00092179152872291,-2.1973998116265,0.0032780403519566,0.014092591794933,0.00126515400650442,-2.20043353797621,0.0103158912355632,0.00861009637899378,0.00276838471188973,-2.19786188367514,0.00387334544461748,0.0103566718069755,0.00118652404344444
"11422-20",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113998706799512,-2.19674205885978,0.00352308436986399,0.00970487757617774,0.000996849170043021,-2.19404587890315,0.00344259282501324,0.0125166483712221,0.00137967618463266,-2.19246277054444,0.0106488389917849,0.0104919314631297,0.00256169781135229,-2.195018020363,0.00466546462358234,0.00935807485472315,0.00162870686769846
"11422-21",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113406692269943,-2.1949974581483,0.00340792472335479,0.0073896280246419,0.000989810689181224,-2.1946496503869,0.00336483535559346,0.0105784601013657,0.00140891374739741,-2.19092409229513,0.0103679424731965,0.00669392895285607,0.00229856139911322,-2.19419067831789,0.0042550138796323,0.00697830092022669,0.00135506697153209
"11422-22",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113719958374848,-2.2017616360546,0.00339890069704036,0.0103170363335123,0.000898982632347976,-2.20109911440726,0.00337423224775251,0.0144062616905168,0.00126790262973171,-2.19503140747908,0.00969136614131725,0.00635591701758794,0.00198455255787787,-2.20089369171995,0.00435291227568749,0.00968524283151337,0.00114305766910842
"11422-23",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113671793598992,-2.19869153561503,0.00327805419134103,0.00943119019286266,0.000873782003983669,-2.19773023040151,0.00324169104922447,0.0130869375448811,0.00123325485851328,-2.21041174561255,0.011887594179446,0.0104083339585269,0.00358366622031618,-2.19723284357387,0.00368420649094324,0.00890989437295576,0.00108050639687126
"11422-24",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113348532311016,-2.20005925814255,0.00325604710694081,0.00933677629993228,0.000912350534892405,-2.20023800076361,0.00329620603285239,0.0135707486132526,0.00135033582253878,-2.21191183472238,0.0108807291073216,0.0140954161078127,0.00287663309426461,-2.20279609732166,0.00384612594480315,0.0108908004522415,0.00130973382810801
"11422-25",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113976733042934,-2.20039720797837,0.00338150465326648,0.0110261335053236,0.000922101227196807,-2.19962180360864,0.00334053164649623,0.0152466161294934,0.00127920534108955,-2.1975144046703,0.0111055020345227,0.00758773326886987,0.00345250991000317,-2.20118150604142,0.00383131880311165,0.0115617825258975,0.0011546064946284
"11422-26",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.112855791825102,-2.2028256710405,0.00326257024891019,0.00932881845576084,0.000978060940049298,-2.20312454011047,0.00326334980140451,0.0134064380275117,0.00138650211179262,-2.19174201583199,0.0101454737485506,0.00970621509709348,0.00275803267731233,-2.20377157806187,0.00387364579493834,0.00972574444695136,0.00135251781988783
"11422-27",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113595085134724,-2.20091578621278,0.00339075270966872,0.00980630406586645,0.000915796078151838,-2.20025273132775,0.00336779331384958,0.013889962313532,0.00131389415137351,-2.20846436243832,0.0100550105230983,0.00914374864182694,0.00295424957168996,-2.2007068111047,0.00410120293983839,0.00950688153876524,0.00118885972382474
"11422-28",387,-2.2,0.00995033085316809,0.7,0.1,0.1,0.113380590399651,-2.20422478495915,0.00340003904916626,0.010404708639891,0.000924270209824066,-2.20268177608037,0.00335679272078005,0.014140186499134,0.00129888692103089,-2.19598466134815,0.0105293766448653,0.00807127040273389,0.00250094787757923,-2.20404672826433,0.00550359256983434,0.0103638619878791,0.00166396367850261
