"sim","N","beta0","beta1","muW","sigmaW","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113681926880066,-2.19804767336452,0.00137958275321769,0.00952268928604823,0.000379232255530311,-2.19097701489579,0.0012822334767653,0.0131721834773047,0.000633026538536393,-2.19306767944686,0.00436555561003625,0.00899736260875218,0.00132563657642794,-2.19572585842852,0.0018338330146593,0.00914278689573386,0.000726765684851652
"11422-2",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11358919667803,-2.20007816697411,0.00138618910609092,0.0100620142572153,0.000385056604756417,-2.19415517051347,0.00130671918617596,0.0151876907900003,0.000669480773276029,-2.19982640802231,0.00433667456549836,0.0101002792446753,0.00117467830700195,-2.19590563825789,0.00208265089810501,0.00849268870742984,0.000713379190721693
"11422-3",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.11361964911464,-2.20065451610499,0.00138772544072687,0.010217884327673,0.000378544448011336,-2.19393219878102,0.00130403985116356,0.0150162919572874,0.00065617810728989,-2.20195976444116,0.00414513894362945,0.0114776332167934,0.00100143877853826,-2.20067036397918,0.00311743916631243,0.010064379456681,0.00124596846596009
"11422-4",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113452622302043,-2.20084158678151,0.00141376470595808,0.00965716323646888,0.000391310212988785,-2.19406306796398,0.00131536400199134,0.0140242576432415,0.000673230882253942,-2.20972628369769,0.00475354193543407,0.0116425402911236,0.00134436432339316,-2.20281553524592,0.00281192522741516,0.0105287151767328,0.0010168234349771
"11422-5",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113722911073643,-2.19985299222656,0.00139565247086707,0.0102153322253786,0.000381497842909175,-2.19380006384201,0.0013137666431221,0.0159726321914502,0.000682715535429474,-2.20599340612661,0.00459994418628949,0.012817036906642,0.00129527168439346,-2.20295935356635,0.00235449965563263,0.0114036853580705,0.000655487627490563
"11422-6",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113674330830575,-2.19941370680319,0.00139903946500221,0.00957031205099388,0.000371542862062387,-2.19305995270261,0.00130455399445206,0.0143837869113049,0.00064206517418278,-2.19912573014671,0.00437668244303279,0.00976639487410051,0.0011505413493496,-2.19865282601748,0.00280352246319984,0.00912809779644794,0.000751593201089383
"11422-7",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113882202510806,-2.1986058326066,0.00139132758280732,0.0100920063458448,0.000371982664808708,-2.19160934302831,0.00130390878462281,0.0151614744873205,0.000662545583840307,-2.19782327189847,0.00452726781030823,0.011733811214124,0.00147193351497692,-2.19984308036643,0.00265630654358486,0.0112782504282612,0.00093599321592791
"11422-8",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113586906586105,-2.19887080327511,0.00142124252753086,0.00913660095294824,0.000386881151754783,-2.19328078438584,0.00132826598843402,0.0137674853063854,0.0006614164939032,-2.19453539755046,0.00449357683255563,0.00862584837008075,0.0013260401651798,-2.19769394850027,0.00239753522600135,0.00852458028266384,0.000770541566360429
"11422-9",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113645214976097,-2.19933835626452,0.00141682289523017,0.00957873241054953,0.000386809608513711,-2.1912650468561,0.00131134520417092,0.0130158338238213,0.000662050984860042,-2.2024721122584,0.00444671803232033,0.0099745132474887,0.00112794852271261,-2.19864029146556,0.00260849362770575,0.00884705694632662,0.000920379513104825
"11422-10",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113709186111452,-2.19994162274491,0.00138778999869,0.0103193201052176,0.000381256459146208,-2.19314985296315,0.00129595003924428,0.0155827842272349,0.000670401069274808,-2.20956726955227,0.00456062493143091,0.011444448735805,0.00138042542888134,-2.20017136333608,0.00272557598337317,0.010306165214854,0.00094670285893377
"11422-11",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113582496411465,-2.19990278147953,0.00139641019099046,0.00981815972289494,0.000384888647973473,-2.19220053208452,0.00127272390421695,0.0136171029378641,0.000628231453555231,-2.19487069765529,0.00433775398186225,0.00908714116924817,0.00116540312591013,-2.19820307181567,0.00301029232544906,0.00899383910312651,0.00126664626416886
"11422-12",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113531783155501,-2.2003988537223,0.00141315310492748,0.00993435513551019,0.000398150464917668,-2.19407195676906,0.00131059364067177,0.0145557244930015,0.000666089289434043,-2.2045599714163,0.00428005335072371,0.0102417569096057,0.00124935008677675,-2.19869401066926,0.00236687454801398,0.00916574731864618,0.000776593093397421
"11422-13",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113453271050867,-2.20037939560883,0.00140132857439701,0.00982233442820619,0.000398586771830808,-2.19442049833755,0.00130756844045655,0.0150338462120596,0.000697405467766752,-2.20088318879983,0.00437632823353741,0.0105079088662664,0.00114142917664141,-2.20224404531971,0.00290549464331615,0.0105568263313003,0.000909607540563722
"11422-14",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113628392701901,-2.20009887529316,0.00141367064539231,0.00977707367775558,0.000383463061164037,-2.19256155709044,0.00129712370570042,0.0138725829199863,0.000642206981507777,-2.20794643341776,0.00449771298337136,0.0121143858529907,0.00128376334483764,-2.20091399046686,0.00269829861825967,0.0105564198661968,0.000774663301039773
"11422-15",2169,-2.2,0.00995033085316809,0.5,0.25,0.1,0.113606612452417,-2.20214898298403,0.0013958422653291,0.0105991371439658,0.000376963032755099,-2.19442289032832,0.00128961655956054,0.0150917692716516,0.000628675647742553,-2.21042907167509,0.00467735196305378,0.013537392975134,0.00130199858217216,-2.20491867167015,0.00326797765254786,0.0114126639779577,0.00104713223314363
