"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11424-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115225259778291,-2.18906944520861,0.00141719046385595,0.0112397248721003,0.000399788264609122,-2.18237278905588,0.00127232127799331,0.0116611746090314,0.000427841501960188,-2.16186039300377,0.00441133875580895,0.0118800733122789,0.00120356129994296,-2.19110501815819,0.00420393170543921,0.0117737003030303,0.00154214860658896
"11424-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115428608916135,-2.18808721496035,0.00141007087553622,0.011234796071867,0.000385071232288074,-2.18054685184573,0.00126991217721619,0.0113276644379284,0.000415328028123157,-2.14951539138904,0.00448052168069861,0.00599313691483809,0.00116740369698803,-2.1896454828875,0.00397476229573246,0.011768417357256,0.00135627690351943
"11424-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115601994385882,-2.18465475016744,0.00137577086869266,0.0108563124139336,0.000378525436081508,-2.17868412494597,0.00124130689183046,0.0115144543323519,0.00040291091282552,-2.1802023143598,0.00419812427911684,0.0122941672787925,0.00116571021801103,-2.18259998211618,0.00465349008829703,0.0101948723767641,0.00178141683041636
"11424-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.114757473273729,-2.19105331153038,0.00140370666919943,0.00985793937294877,0.000371410642048496,-2.1850020710841,0.00126353078925673,0.0102629233718999,0.000395960033766237,-2.21418145338806,0.00448063812300037,0.0115488943843182,0.00117093471531249,-2.19257244610559,0.00327191905565572,0.0105220632461366,0.0011534287642588
"11424-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115141516002862,-2.18605135624986,0.00142631030992153,0.00986131128317126,0.000408983546129599,-2.180028228986,0.0012760794514419,0.0102134152740073,0.000439579144859014,-2.19262574874732,0.00451126536341483,0.0157062797823445,0.00124927586071517,-2.18987086985016,0.00559399751013224,0.0115017871467092,0.00219675100220759
"11424-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.114914128163958,-2.19632556967951,0.00140582978890612,0.0119609649035265,0.000359382828286553,-2.18901573692123,0.00127242638779731,0.0123491912852368,0.000381402192026943,-2.18413544900301,0.00441673334615482,0.00682461179019415,0.00112340983482324,-2.19533002450072,0.00382698945357595,0.0116392655128759,0.00128587189761031
"11424-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115217865138418,-2.18214672959706,0.00141906649913408,0.00845844862767855,0.000400967392576886,-2.17807651383588,0.00127214185091591,0.00931451021729009,0.000428078020545652,-2.17443998774163,0.00430168527057674,0.00155559565264114,0.00124678811636398,-2.18358679939713,0.00352866313088129,0.00916055691614119,0.00135183778636441
"11424-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115425345323258,-2.18243169443056,0.00138939875481579,0.0091915594303245,0.000380850352954776,-2.17724057945779,0.00124696244112665,0.00972475854193166,0.000402412603539224,-2.17902846434387,0.00460194063648569,0.00633506362159041,0.00151831319224453,-2.18188706361918,0.00343616093613857,0.00915673703980784,0.00124006614315073
"11424-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.115868884683753,-2.17818627529416,0.00139236257405395,0.0088716977726925,0.000375611030320806,-2.17298299779387,0.00125583310848277,0.00931046154911037,0.000402177610384973,-2.186460640033,0.00450648634642104,0.0123132689528032,0.00138735725469211,-2.17642793711321,0.0029059573846481,0.00827762956615308,0.00103538401229005
"11424-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.374165738677394,0.114503105315442,-2.19335578972939,0.00140785459824871,0.010784789948312,0.000405651973728538,-2.18643338384696,0.00126434993018232,0.0109151775752834,0.000436651315499053,-2.20494740764301,0.00433835356335294,0.0161744131499399,0.00125082669971484,-2.18885252470716,0.00413750516530951,0.00901731986625302,0.00175249673975257
