"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11423-1",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113503863644774,-2.19649348158444,0.00345502335856572,0.00934574097447009,0.00113697355311907,-2.19026336579057,0.00302684031213184,0.00934429177829871,0.00122260719369331,-2.20136915719293,0.0102120428884669,0.00913702606859817,0.00316310795335375,-2.19543344292231,0.00439358342438935,0.00902319606021526,0.00166590595384267
"11423-2",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113690977117206,-2.20356827574347,0.00336004734022401,0.0106362982011908,0.000856918429500692,-2.19801462028971,0.00305616144324046,0.0113769607553699,0.000915895187092555,-2.19844847933011,0.0107652555236877,0.0101635660114977,0.00223602453007056,-2.20604766873509,0.00464028830239916,0.0113876052811625,0.00127535446694949
"11423-3",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113855345700994,-2.19902763299374,0.00330006308059434,0.00944646162893103,0.000820633241014327,-2.1929074735451,0.00297780333990907,0.00972209523777432,0.000865330027557789,-2.19723805311884,0.0111796202728054,0.00744076571381685,0.00335520451941665,-2.19837558485408,0.00403347178955631,0.00941635919679366,0.00111621634628651
"11423-4",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.114052087853608,-2.19898103394575,0.00339048743177201,0.0108108947865658,0.000936993782607151,-2.19232504483687,0.00303906234701915,0.01131406364656,0.00101298008063492,-2.19751158244359,0.00984057583283684,0.00871215646550486,0.00245378896367785,-2.19732671888464,0.00428116066488441,0.0101244233182329,0.00135260397377869
"11423-5",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113622626609237,-2.19985023199872,0.00330385537168044,0.0100609462594448,0.000922884623759118,-2.19428103336017,0.00299390833114733,0.0105298908291798,0.000989047733788122,-2.20347457585563,0.0104429605091034,0.0130439113804747,0.00305092190162827,-2.19964433930504,0.00370146345513973,0.0102112145013988,0.00111938888805946
"11423-6",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.11366733159545,-2.19944368398091,0.00339708467736968,0.0094382607177546,0.000916495038220359,-2.19425660066376,0.00307127966054049,0.0100283018233972,0.000987614665563264,-2.1886953830133,0.0102991297100355,0.0109579054204005,0.00244166403115953,-2.19913199318249,0.0042409211621675,0.00921139183071895,0.00125010237015707
"11423-7",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.114114837563723,-2.19707192598174,0.00344879219944521,0.00970238995798247,0.00091139540990119,-2.19179357631159,0.00307081622663379,0.010570249244514,0.000966555008595079,-2.18636774084175,0.0112712984007545,0.0074426181735998,0.00319055542992781,-2.19463471380307,0.00468585973653823,0.00882470720032296,0.0014003549486902
"11423-8",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113450546066044,-2.20417629147617,0.00349379882774159,0.01084145035697,0.000993071929081194,-2.19738780230495,0.00310395368751085,0.0112426014252347,0.00106340413154903,-2.20701387394676,0.0115109683653687,0.00896827423877962,0.00419128221612211,-2.20699094833,0.00489737836085894,0.0116846983412146,0.00152720234435544
"11423-9",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113415019453428,-2.20483242871879,0.00324626148532863,0.0113368573972162,0.00088338243117033,-2.19855781968651,0.00294734044187822,0.0117823576198277,0.000932048739582053,-2.2113079113451,0.0100055618094234,0.0112671202697517,0.00226401245988859,-2.20693573917612,0.00432457991042867,0.0120253586633684,0.00129157626973185
"11423-10",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113051423759617,-2.20498378176156,0.00321320403193728,0.00994169207979963,0.000850745900530148,-2.19930564954673,0.00292484795463304,0.0102731080082302,0.000896369831168778,-2.21396647360321,0.00990064721222318,0.0104845626565389,0.00237346593113219,-2.20450363757734,0.00351493643165366,0.00999041764263129,0.00110349089064147
"11423-11",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113837454026996,-2.19327111502615,0.00330590887388962,0.00825484658337482,0.000935514563833854,-2.18783455327089,0.00297126661514702,0.00847620313559311,0.00102311155362884,-2.1816078344394,0.0100217786237875,0.010154760676107,0.00317395560664488,-2.192956857742,0.00401349871793188,0.00798068459539597,0.0012084717117855
"11423-12",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113648478786373,-2.2020356566613,0.00339651328856478,0.0107746558211503,0.000949906202416877,-2.19595569991011,0.00307797236836597,0.0114135234522716,0.00104439992852158,-2.18043704730905,0.0115449291911618,0.00608285066661137,0.00356697358508298,-2.19973641708126,0.00415262568025093,0.0103232009398727,0.00137634041383547
"11423-13",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113719263895315,-2.19610488160815,0.00325352707170091,0.00860405590967245,0.000863470474278761,-2.19096224896143,0.0029451441438019,0.00905394179745697,0.000930198810471915,-2.20408478777667,0.0110763696599828,0.0114700222642329,0.0030781314298252,-2.1940368067585,0.0039411087509651,0.00721913538956662,0.00114101256913394
"11423-14",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113878839257964,-2.20385445650364,0.00331917227514546,0.0112053615018499,0.000823213715259188,-2.19698169521923,0.00300671799224081,0.0115606680793239,0.000866597538312117,-2.20321647586726,0.0106685857161191,0.00950685019981959,0.00220499714191891,-2.20203973493343,0.00381428329672194,0.0111016315872691,0.0010710580153028
"11423-15",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.114106551289434,-2.19122877099032,0.0034799604188838,0.00808504636649084,0.000991331415029186,-2.18655749468073,0.00308226220253491,0.00848283236191255,0.00104007548763838,-2.20023300107995,0.0125198260957344,0.0104741730241582,0.0042614897290297,-2.1927388035393,0.00462540629798164,0.00795005002589438,0.00146266560885808
"11423-16",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113474982945013,-2.20124159886621,0.00334725586017718,0.010352888255832,0.000970851646403306,-2.19476629790929,0.00300708423249926,0.0108596796823657,0.00107663505824478,-2.20716224217615,0.0100905287321494,0.0119480644277485,0.00384093915405874,-2.1954375844595,0.00389099008267959,0.00802649636225197,0.00132758826149227
"11423-17",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113750738746782,-2.20360350047795,0.00334432988499901,0.0116743137645282,0.000915575205500864,-2.19585882404114,0.00299501358550416,0.011845454165656,0.000974553826269787,-2.20551488672231,0.0104100870514195,0.0140480732117897,0.00207771842809146,-2.20527429670264,0.0057427348249003,0.0117518375572622,0.00154710493195826
"11423-18",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113737842944823,-2.20034017164294,0.00330079429035253,0.0101805359443358,0.000876697449607435,-2.1938164068888,0.00297753998481057,0.0102828433439593,0.000922825527009493,-2.18826615300043,0.00941074409913865,0.0104987345483956,0.00212451078441977,-2.20218821049465,0.00419843605155609,0.0109646321572304,0.00130756769479042
"11423-19",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113191457647461,-2.20306484114431,0.00345992007980498,0.0100309916293346,0.00102863910915194,-2.19840303191795,0.00313596888625952,0.0111046803855839,0.0011459760162372,-2.20424394393248,0.011159550855213,0.0103797526578092,0.00302911227130273,-2.2001709875583,0.0047991700582723,0.00892634898088303,0.00155572299720553
"11423-20",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.1136648658962,-2.19700509212849,0.00334962380253598,0.00953385223821307,0.00099730226973842,-2.19150271281616,0.00299085553074342,0.0102082847854319,0.001090396845189,-2.19295756976052,0.0103492768710518,0.00858385273799415,0.00290546645311544,-2.19777967099301,0.00393077143865681,0.0101263552486466,0.0012681496419482
"11423-21",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113069665277663,-2.20228831070017,0.00305375516541752,0.00914560225485022,0.000770731029805685,-2.19687991242057,0.00281120796045304,0.00927772823483597,0.000806691455271662,-2.20515905196279,0.00973757863565734,0.0102338003838776,0.00209296564107737,-2.2011649619928,0.00327794213594771,0.00878296185455799,0.000891708265799944
