"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11425-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113524820998841,-2.20003817170413,0.00144988572878529,0.00947253094258652,0.000392865108420249,-2.19435090657924,0.00130652469725359,0.00987123012762306,0.000423043828778334,-2.2060098039486,0.00485941478176388,0.0105030814053919,0.00132405424558135,-2.19954064748851,0.00156320806563529,0.00921457661669255,0.000480977956524194
"11425-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113844946096137,-2.19872036998442,0.00142097612021988,0.0103334156272631,0.000401116336333548,-2.19274698615056,0.0012731354025176,0.0108892275958883,0.000429190167563782,-2.19929453628778,0.00463888083391081,0.00882134189272817,0.00157056423378453,-2.19804194277602,0.0016553645088047,0.0104216451455057,0.000524669674186003
"11425-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113875406850496,-2.20011818140726,0.00140399856139537,0.0105576395839607,0.000375228023413125,-2.19382828768288,0.00126632223131861,0.0110412325011028,0.000400895546188618,-2.19818075949965,0.00452813009881877,0.0108049136675152,0.00122804548704506,-2.19927172413166,0.00182392878711145,0.0102780951737241,0.000561067739516693
"11425-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113782618024714,-2.19933026651153,0.00153809099558044,0.00971931127264402,0.000377215928782896,-2.19344078008206,0.00142614196714685,0.0100998376100665,0.000403825760108059,-2.19602466713444,0.00476227105579574,0.00928566807777586,0.0013373106967333,-2.1990015337727,0.00188052932791924,0.00971421113632806,0.000535349587482124
"11425-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113407791598516,-2.2006262795182,0.00146666547766759,0.00964516375352715,0.000399354904886137,-2.19527778779703,0.00134767299233757,0.0101074258788653,0.000430343088047816,-2.20641161981297,0.00449401479720518,0.00973232473740859,0.00124602038298246,-2.20097522342534,0.00182386340852052,0.00982547127082412,0.000503088969449364
"11425-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113877001725679,-2.19800243081771,0.0014050997087642,0.00987555393713728,0.000379912485871963,-2.19222060977984,0.00127816098147951,0.0103546800934924,0.000412413972793415,-2.19879168799397,0.00449971242478247,0.0107548645560342,0.00123463563570018,-2.19591671880476,0.00154271994521267,0.00920842152670187,0.000438041850691757
"11425-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113836823402605,-2.20067248284572,0.00145632857722895,0.0106537666979616,0.000368896141493679,-2.1944802751443,0.00135800276563149,0.0110745522290607,0.000394988399615171,-2.20086519801377,0.00412711471236909,0.0101207725298932,0.00104954302038105,-2.19995258242253,0.00181290309823442,0.0102196559506736,0.000526170540071192
"11425-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113784185526251,-2.19740699795126,0.00142170452934064,0.00925872578451041,0.000388194447589391,-2.1917013178663,0.0012815801470518,0.00962286790751987,0.000419314055158822,-2.19931103838827,0.00531311130069644,0.0102350753445536,0.00138986326423785,-2.19712404764354,0.00180608767792161,0.00936935368590577,0.000569881481207554
"11425-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113478054016283,-2.20071630346655,0.00144299515385914,0.00989395991436851,0.000406900774336836,-2.19505607236102,0.00131742651429608,0.010295097739461,0.000442683254105998,-2.2051356224644,0.004335892257164,0.0114389399553973,0.00118983312751275,-2.20152878181148,0.00171353877565504,0.0102626804899201,0.00051354310045163
"11425-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0,0.113648197518509,-2.19964686420746,0.00161762932321164,0.00962456831056447,0.000407038253941592,-2.19404656167361,0.00146531991175903,0.0101395520660563,0.000439052409593253,-2.19935653176193,0.00476283128875505,0.009674809779518,0.00134588122685701,-2.2002392922119,0.00202239470821452,0.00985668995861237,0.000568648957108144
