"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11424-1",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115367292724067,-2.18995325182022,0.00966215218524421,0.00823880532160252,0.00241271110153286,-2.18608201545291,0.00882041011376617,0.00901563475438117,0.00255880410606403,-2.21497692606952,0.0300209725945144,0.0105861388819966,0.00571712718883285,-2.20019536457177,0.0122048807205577,0.0118144593127843,0.0034631647365431
"11424-2",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114842968930012,-2.19665328242567,0.00961059851015991,0.00950419896300884,0.00227331953825805,-2.1923548057744,0.00886615835061698,0.010619936582948,0.00240150327588144,-2.16391235952761,0.0297728422733448,-0.00407128884414845,0.00921893945334274,-2.19293396434857,0.0107539561711346,0.00796827686132162,0.00285317549394155
"11424-3",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113671079444159,-2.20094629465065,0.00925194341295751,0.00903794422181306,0.00310358412564095,-2.19450368207619,0.00835656421553544,0.00839445670347276,0.00345162083002705,-2.23187622676326,0.0289340870726542,0.0148213614419782,0.008264269445402,-2.20496009195448,0.012356613540174,0.0107752987095002,0.00482248186384317
"11424-4",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113757938523382,-2.20209194956982,0.00890092083805499,0.00839773374175659,0.00257422053397602,-2.19532599702074,0.0078440017738228,0.00797663456784083,0.00275377827483521,-2.16096008311858,0.0277002209044272,-0.00472076842722556,0.0087448423703765,-2.19312770678957,0.0112443583402649,0.00487331985677372,0.00368771127867388
"11424-5",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114194622697055,-2.1939626737901,0.00893158710780535,0.00580925328478274,0.00212345079875407,-2.18955243090138,0.00821812379151129,0.00563100778225145,0.00223367400157517,-2.18879671902158,0.0345973067084612,0.00164013920661673,0.00896626077818783,-2.18905297968719,0.00969484065160245,0.00399842970527458,0.00251265577302308
"11424-6",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114098306874221,-2.21960090113455,0.0108144433656092,0.0160825015137683,0.00310095511289652,-2.21005597484762,0.00969258327724397,0.0169261606937144,0.00332304128983951,-2.17034870741005,0.0328605374976268,0.00894383567937531,0.0161448696644149,-2.21449130708561,0.0140585742907185,0.0141465989079307,0.00496546110343973
"11424-7",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114642574272761,-2.19594306773546,0.0087112356378366,0.00984295880006899,0.00270509035390842,-2.19024491374939,0.00772308733405113,0.0103701720483339,0.00294574729462355,-2.24633170696739,0.0367513144205547,0.0361038443439476,0.0134321675703344,-2.20739358240953,0.0121973857736965,0.0143003260466826,0.00422121658211278
"11424-8",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113761791450275,-2.21313306455395,0.00810965345506613,0.0128058930035133,0.00243198529820597,-2.20439230609661,0.00721336996448129,0.0127699546907486,0.00263062599259113,-2.20206808293939,0.0255996001071245,0.0153902245589924,0.0056062739099637,-2.21692810112469,0.0103062636216396,0.0143048026927049,0.00339538224907377
"11424-9",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115597271159807,-2.17964288729425,0.0097954525949707,0.00601288409002623,0.00283283014598554,-2.17580185777297,0.00885032681781453,0.00613477967156564,0.00307358334263745,-2.17864225820281,0.0294442996681145,0.00421418948791693,0.0099951458408575,-2.17768971487991,0.0120365172122798,0.00480740359575849,0.00378253213880651
"11424-10",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114782994311417,-2.20027868256264,0.0103115502036848,0.0105281107952698,0.00274887103529092,-2.19523335154582,0.00933005412934037,0.0117551618336889,0.00294740176776517,-2.21147821239819,0.0340540541919031,0.0116134954369579,0.00889315702827774,-2.2043798131513,0.0117190636626296,0.0116484493744952,0.00337782543541895
"11424-11",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114914602298179,-2.19259788332569,0.00923211746576059,0.00820274864620557,0.00267884682044152,-2.18868037005447,0.00818448076841508,0.00906256374013118,0.00288287047427855,-2.20434513416549,0.0298734806177978,0.00654890376777317,0.00822479247528627,-2.19355591366197,0.0108651337895178,0.00885040678630905,0.00355034511491397
"11424-12",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114029348910298,-2.20682733720818,0.00915950596624512,0.0108913963149562,0.00225757231929838,-2.20269619550352,0.00828226494657011,0.0126135327861693,0.00240498336052721,-2.18114988349908,0.0268030798214991,-0.00124092891585517,0.00664195889532083,-2.20831912611558,0.0109688965335673,0.011319198129974,0.00314083545669788
"11424-13",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114319366498381,-2.18215234083095,0.00885794016570726,0.00253036715339498,0.00251309124983001,-2.17904582487416,0.00786605318974546,0.00184103551330221,0.00268959636704571,-2.193167816913,0.0310971418420568,0.00159227754649133,0.00747361710184564,-2.17659517222994,0.00996415658459252,0.000420312437593892,0.00306593971101329
"11424-14",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114047747411172,-2.20190924365067,0.00933912617748447,0.00970462038382196,0.00247392403985388,-2.19595284918436,0.00851404781600201,0.0100569240964241,0.00264761347070564,-2.14322491548989,0.0284880629265235,0.00350555784579525,0.0110525326345785,-2.20076679498128,0.0102084442559368,0.00919698617805363,0.00290142118166065
"11424-15",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113143990259563,-2.20640200916448,0.00897680656022706,0.00766179946666504,0.0025284624476858,-2.20152596370845,0.00794827699664519,0.00789461852622675,0.00264782259081539,-2.1947402496886,0.0307730651069719,0.0100871757264141,0.0133820403929387,-2.20410694210761,0.0101006791550357,0.00697052604976674,0.00319544436029742
"11424-16",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113844369241753,-2.2111309717802,0.00913331613293865,0.012660808101119,0.00278229383350649,-2.20424877487469,0.00800710377606733,0.0141397609126597,0.00303915286551827,-2.23403408058089,0.0369631361587371,0.0208524832608593,0.0102588725167786,-2.20878249845906,0.014745365504602,0.0109346301390291,0.00515119772093094
"11424-17",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113999876246623,-2.20707291540462,0.0110733789844688,0.0100343095934979,0.00280618092413503,-2.20234292192481,0.0100936243558682,0.0111574624337836,0.00298105723028767,-2.23237283684807,0.0352968236946913,0.0155179164673146,0.0110710555999243,-2.2097082482616,0.0132431940051122,0.0108778566288981,0.00376085168592651
"11424-18",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113401108890399,-2.20339134739452,0.0096297692454515,0.00782456071750712,0.00270073916363307,-2.19804245332198,0.0087876218864878,0.00767873038178791,0.00293448512670849,-2.21758962063038,0.026676390608867,0.0118730295090615,0.0096119047260703,-2.20095341640781,0.0107497737957992,0.0068506229008219,0.00334163417951056
"11424-19",387,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.1145319113562,-2.20114505355936,0.00910662789627357,0.010198862616403,0.00233162222779379,-2.19485509806494,0.00829918189030154,0.0104945670778388,0.00248601693987219,-2.21057585203671,0.0256892856323488,0.0172711019745281,0.00734543546313431,-2.20353317965148,0.0105034438048311,0.0111384707982867,0.00293966966636955
