"sim","N","beta0","beta1","muU","sigmaU","q","tau","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11436873728471,-2.20115795233999,0.00381470020699098,0.010256684369522,0.00108673655648037,-2.19575129205472,0.0034480290638989,0.0109888927674772,0.00116861068858461,-2.20111062997223,0.0125621468053466,0.00619029741687074,0.00392536986712683,-2.19960650991533,0.00452944644559996,0.00971314698606697,0.00143361772076021
"11422-2",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114724067339769,-2.19438124725843,0.00415077199431542,0.00816061538430951,0.00114931984073767,-2.18878033535376,0.0037107286681568,0.00830270980781328,0.00124161951887892,-2.18445774553764,0.0134699961237432,0.00418968266564568,0.00382853367229677,-2.19334466616713,0.00469386126347667,0.00785823981107174,0.00143793799253193
"11422-3",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114741818753237,-2.19291671924824,0.00387828878261869,0.00807161260867718,0.00110650583246338,-2.18862296835387,0.00348679510734647,0.00859603999831378,0.00118638349849376,-2.21067183750205,0.0142488450786873,0.0116809330287644,0.00403858911330996,-2.19323389232567,0.00479946058358089,0.00805193256673478,0.00155756462065249
"11422-4",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114644362054819,-2.19968722789442,0.00395239906589568,0.0103787726528679,0.00110205362509462,-2.19364851945126,0.00357085658504986,0.0108705197355814,0.00118388206422204,-2.1892208594261,0.0121924671162841,0.0112106387202061,0.00346264882337471,-2.20121746028021,0.00433729337372868,0.0109365654363373,0.00134598498380782
"11422-5",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114459349994365,-2.19842278771193,0.00400873853463886,0.00919951572582762,0.00115925941795013,-2.19302224648067,0.00358771685507635,0.00969442542110448,0.00124990385212758,-2.18460903022952,0.0138198988287519,0.000233850728703956,0.00509866599486342,-2.197958319563,0.00469508095723944,0.00913218752656955,0.00154176190904126
"11422-6",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114752092954342,-2.19402459671534,0.00404138934668346,0.00868790707602602,0.0011431048595154,-2.18873772273506,0.0036487667685672,0.00895269616983151,0.00123007337716962,-2.1956553686826,0.0123465180603321,0.00749640896999988,0.00385686538085903,-2.19067025137998,0.00470701337324966,0.00741969218966086,0.00154816847188431
"11422-7",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.115300186647724,-2.19368253837542,0.00380907743190704,0.0103875384593323,0.00107407791348806,-2.18821765657601,0.00343715768167205,0.0111809543728104,0.00115984181815276,-2.19065220017775,0.0121779474692989,0.00892618877454565,0.00374401341221087,-2.19363028408996,0.00439170414453909,0.0104320453949712,0.00137659533905968
"11422-8",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11479792680759,-2.19992629098577,0.00397686100024084,0.0108271139977776,0.00112249148522981,-2.19381051196319,0.0035818833503681,0.0113935332026812,0.00120913135492698,-2.19041038027012,0.0126012529889714,0.00912558271268551,0.00314904617260269,-2.19900223687324,0.00426879040487553,0.0106586715951489,0.00130965378891395
"11422-9",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.113991816829325,-2.19850934483049,0.00396135493644845,0.00747542125988687,0.00109794483174818,-2.19420558579689,0.00354419547484824,0.00786056942077534,0.00116730393392284,-2.18575457022049,0.0130284620068975,0.00741201697278392,0.00364625174388305,-2.19900490452549,0.00468228537186317,0.00764217363234756,0.0014541881683284
"11422-10",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114840234614399,-2.19681905840342,0.00384746626695521,0.0103027898519607,0.00111414921929076,-2.18935707217401,0.00346835546046645,0.00999163306324819,0.00120770901042159,-2.19576894782472,0.0122663759023538,0.00749802730091418,0.0037777955139546,-2.19728343036975,0.00497822668983166,0.0105383411356145,0.00164641866090504
"11422-11",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114560418948518,-2.20281684215504,0.00385677106746074,0.0115786224001905,0.00109182868182629,-2.19648079005492,0.00344216738368782,0.0125126373739447,0.00116871312409606,-2.19577740243238,0.0120848036502171,0.007327197862404,0.00349044571733903,-2.19979046636138,0.00474176161197495,0.0104319061238617,0.00156605687466526
"11422-12",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114780440822831,-2.1974461357506,0.00405600313802039,0.00969519954205736,0.00112044673671436,-2.19184115494836,0.00365012195472313,0.0102081464287112,0.00120378698645141,-2.20483472466404,0.0137184746060313,0.0118149626463093,0.00324274504550876,-2.20062381208241,0.00509697372743555,0.010653212161763,0.00157517793797185
"11422-13",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.114993174923029,-2.19307479900057,0.00389961766439917,0.0088994381354321,0.00108777462367795,-2.18737709759898,0.00350624875620165,0.00911753744197232,0.00116571297399811,-2.20250105329179,0.0120812231835211,0.0111305247874487,0.00356661975717088,-2.19422672046948,0.00468826606911628,0.00929715994920364,0.00148596018238789
"11422-14",2168,-2.2,0.00995033085316809,-0.7,0.8,0.1,0.264575131106459,0.11447881346569,-2.20176496018996,0.00393053577311897,0.0105936375679242,0.00109583018128294,-2.19638444149558,0.00355388381769588,0.0114400827721639,0.00117434898614193,-2.20049314080519,0.0130209899149687,0.0120412618280856,0.00394566419592092,-2.20340463305436,0.0050662616185636,0.0108771368067728,0.00152777649858196
