"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11426-1",100,0.048790164169432,-1.2,1,0.1,0.124816562602251,0.0512677205487237,0.00178630423516196,0.0462968382851967,0.00172252819966217,0.063895047730558,0.00762441808167806,0.00395384738620045,0.00816743455390476
"11426-2",100,0.048790164169432,-1.2,1,0.1,0.126132863869285,0.0485205342335337,0.00177398138902285,0.0432389893035175,0.00169382785012393,0.0637247852798308,0.00682789643789049,0.00339913190427559,0.0100914257092358
"11426-3",100,0.048790164169432,-1.2,1,0.1,0.125215939551507,0.0517542883083665,0.00193701322369194,0.0454923929001939,0.00180157728741444,0.0557156723777413,0.00912373260582478,0.0112554704498736,0.00593204848180233
"11426-4",100,0.048790164169432,-1.2,1,0.1,0.124787370155437,0.0466682318678515,0.00159363483897728,0.0424101761596262,0.00154462597982016,0.0503318185948577,0.0128348332625213,0.0100500907030016,0.0125691450748406
"11426-5",100,0.048790164169432,-1.2,1,0.1,0.126068980460014,0.0490953426954937,0.00159681487305976,0.0429426944310256,0.0014853706315413,0.0610383457553068,0.0150975547054723,-0.00127819485502998,0.00443997543007004
"11426-6",100,0.048790164169432,-1.2,1,0.1,0.125469000936846,0.0495525926850371,0.00186522063610039,0.0434168997505081,0.00175610603576789,0.0776592323515818,0.0182111815772848,0.00565918428662788,0.012597737211051
"11426-7",100,0.048790164169432,-1.2,1,0.1,0.126081797925996,0.0467674935663388,0.00170575667952659,0.0422738652774533,0.00165905952372638,0.0488625503925489,0.00745478903990357,-0.000454036984704276,0.0145991398936534
"11426-8",100,0.048790164169432,-1.2,1,0.1,0.125186107717207,0.0478776286692485,0.0018425570176,0.0427190765662675,0.00171540103631317,0.038498671335265,0.00515425618695004,0.00972089252561796,0.00364968159458933
"11426-9",100,0.048790164169432,-1.2,1,0.1,0.124591735626008,0.0482514072096325,0.00195890298190139,0.0420145939946086,0.00187384840563967,0.0534790007567661,0.00647021511081196,-0.000187011477099749,0.00795637464024282
"11426-10",100,0.048790164169432,-1.2,1,0.1,0.124638332896228,0.0510026481823809,0.00165115063039797,0.0450863419374635,0.00156112752909922,0.0427315475052113,0.0185740840026571,0.0010993134964964,0.00915665031719999
