"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689248710826195,-2.6982128431156,0.00174729668894369,0.00940909373391607,0.000479879891148154,-2.68877203664232,0.00146002644172165,0.00906249201003279,0.000468516955268965,-2.70258942550435,0.00563469853282455,0.00941496717259695,0.00161173027261729,-2.69865395995564,0.00252679729384543,0.00968877575157516,0.000852683665788945
"11422-2",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689618377267082,-2.70010593550649,0.00177459079206982,0.0100167892293178,0.000478348507541274,-2.68945896806793,0.00147126159889117,0.00944019129487235,0.000463411746068303,-2.70242642791371,0.00545316176193551,0.0122371712554019,0.00128305598501263,-2.69942246887719,0.00208329175502948,0.00996001960251624,0.000640753549800051
"11422-3",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0688837282247158,-2.70053968767798,0.00175596022461058,0.0102266117793213,0.000490702241999806,-2.68940771515212,0.00144938009889784,0.00953870018613116,0.000477304618208201,-2.69759704954566,0.00580180379997683,0.0102829038357025,0.00174217445936291,-2.70228715196377,0.00247849744607115,0.0106592112302061,0.000766954796930037
"11422-4",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689976512700449,-2.69983525495604,0.00174732323054764,0.0104189047799422,0.000476431609333007,-2.68920105588955,0.00146189072766762,0.0100170885412487,0.000470234335481253,-2.70021126506138,0.00559122743975053,0.0106978688143539,0.00163436549725719,-2.70021817031231,0.00204379277305565,0.0107928844759451,0.000624756564952145
"11422-5",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689550473270022,-2.70055482314649,0.00175541327529555,0.0102593155814927,0.000471865333633502,-2.68977156822322,0.00145890265986728,0.00978952165913737,0.000456998307210389,-2.69714736750339,0.0054211160448859,0.00955834166774339,0.00133794827411857,-2.70007878418144,0.00211082819786516,0.0100198673485614,0.000602427713036102
"11422-6",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689250899172832,-2.70262646697726,0.00178599190472571,0.0109008214207304,0.00048823336959822,-2.69142397508786,0.00147684587180201,0.0105292313224507,0.000476535504912199,-2.69571849210684,0.00560000586026028,0.00868813378968074,0.00155259101149504,-2.70202965902605,0.00234692188770387,0.0110132666146037,0.000723757617949807
"11422-7",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0690025409509073,-2.70063078937749,0.00179715918265295,0.0104803056531499,0.000490926874778278,-2.68947109000795,0.00148350788189871,0.00992198312237834,0.00048116888799223,-2.69309135454685,0.00586585737824748,0.00789376901152879,0.00183437700773991,-2.70022506728752,0.00227328817136468,0.0105581306991759,0.000666720524922042
"11422-8",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689553795224108,-2.69836563701762,0.00181353882492921,0.00957764484872005,0.000514403323062328,-2.68815124528186,0.00148183140224772,0.00897366406033002,0.000498698120667442,-2.69772948648544,0.00599525561287552,0.00770457088671434,0.00191504730709717,-2.69794841916031,0.00225450725663735,0.00948736101535804,0.000710679514857827
"11422-9",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.069048667428908,-2.69885061013487,0.00180820660284634,0.0100133197212897,0.000496202495871513,-2.68844186864015,0.00149083490675614,0.00950547924963443,0.000481996712051498,-2.69405538250627,0.00583791877452008,0.00959548491817929,0.00165746982401194,-2.69916116658966,0.00252890251143234,0.0102767093398943,0.000756623854728583
"11422-10",2200,-2.7,0.00995033085316809,-0.7,0.8,0.1,0.0689073923906013,-2.69994197238469,0.00174550316411286,0.00983509924225314,0.00047061801156499,-2.68960088314144,0.00145788055747345,0.00935651915873094,0.000461714407559635,-2.69886878935904,0.00562555977413267,0.0085755146251107,0.00162935062857466,-2.70056651497313,0.00212089625839703,0.0101254047537136,0.000678645355234006
