"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11424-1",2200,0.00995033085316809,-0.7,0.6,0.1,0.0716486583476076,0.0100103665138075,0.000500200342543591,0.0095964372412696,0.00049001441468111,0.0100037539642266,0.00164215168494445,0.0101568159773355,0.000622451306336555
"11424-2",2200,0.00995033085316809,-0.7,0.6,0.1,0.071658004202701,0.0102293198782009,0.000503353067065682,0.00979975219708466,0.000493906171911323,0.0112199322057129,0.00159178496664213,0.00991304758282025,0.000626126766719231
"11424-3",2200,0.00995033085316809,-0.7,0.6,0.1,0.0717872504530655,0.0107235670797435,0.000470274348820325,0.0103869903738627,0.000461688266388006,0.0117916171067865,0.00130340177698264,0.0107662858107621,0.000643454833757609
"11424-4",2200,0.00995033085316809,-0.7,0.6,0.1,0.0717385767856454,0.0108702799093944,0.000450741630809058,0.010511125770073,0.000445402313706657,0.012577801003854,0.00139152054918611,0.0108289178270492,0.000563325362525896
"11424-5",2200,0.00995033085316809,-0.7,0.6,0.1,0.0719836129888474,0.0105949413530523,0.000469403487772359,0.0102254305600317,0.000463970153653614,0.00949239016336806,0.00162056065386388,0.0107685372578825,0.000605307396115294
"11424-6",2200,0.00995033085316809,-0.7,0.6,0.1,0.0719083506205797,0.00967649594465943,0.000447638373316561,0.00929178300751946,0.000440665909958263,0.00902528530647114,0.00155889760117338,0.0094894376176968,0.000573259919852663
"11424-7",2200,0.00995033085316809,-0.7,0.6,0.1,0.071776114245939,0.00975118247793062,0.00049234644917749,0.00961857120696218,0.000484846767895945,0.0108743719232795,0.00146080486062178,0.0102553777071653,0.000645500959935878
"11424-8",2200,0.00995033085316809,-0.7,0.6,0.1,0.0717539887044711,0.00905718744623036,0.000514958021447951,0.00872496684536667,0.000503426472786304,0.00897462877566089,0.00155216519915903,0.00955224510499763,0.00077007630188898
"11424-9",2200,0.00995033085316809,-0.7,0.6,0.1,0.0717819300237136,0.0102641878338977,0.000474513421007384,0.00992511621377545,0.00046724501402392,0.0139591685919781,0.00133406845722803,0.00998816013157486,0.0005970227916211
"11424-10",2200,0.00995033085316809,-0.7,0.6,0.1,0.0716825359734093,0.0101228779495251,0.000471246467284062,0.00991483771846963,0.000466701044705367,0.00981699260932934,0.00149833175317695,0.00987975272948185,0.000686490526928067
