"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11422-1",100,0.00995033085316809,-0.7,0.6,0.1,0.0716686923590478,0.0106987694030102,0.00281560015513701,0.0103004370944266,0.00272890686593905,0.0190653512956337,0.00814556149297183,0.0120508471386649,0.00376122228334406
"11422-2",100,0.00995033085316809,-0.7,0.6,0.1,0.07249196268972,0.0106992754435707,0.0020300984169044,0.0108465023729604,0.00195005218150281,0.0282204361856165,0.0131050475740794,0.0129026518741524,0.00271105361141286
"11422-3",100,0.00995033085316809,-0.7,0.6,0.1,0.0721174820481304,0.00739993412604156,0.00218748464173149,0.00673920434377371,0.00203912394362548,0.00497780061007323,0.00561298482709756,0.00673499611947044,0.00312252686053154
"11422-4",100,0.00995033085316809,-0.7,0.6,0.1,0.071156537983756,0.00952420118201309,0.00190145492619707,0.00888599078052217,0.00186449152106906,0.00601760747317764,0.0104829425622563,0.00924477864211161,0.00194063894025451
"11422-5",100,0.00995033085316809,-0.7,0.6,0.1,0.0713083827032401,0.0143629828052364,0.00246781869688192,0.0145293565870555,0.00240770732282833,0.0307608108544211,0.0112864538650308,0.0216119855304849,0.00404876574720802
"11422-6",100,0.00995033085316809,-0.7,0.6,0.1,0.0715379460409287,0.0118577279983319,0.00269939671797057,0.0109940729689458,0.00271012992675196,0.00437638018507492,0.0141466311109011,0.00909891310983337,0.00511962788493383
"11422-7",100,0.00995033085316809,-0.7,0.6,0.1,0.0712571669597051,0.0131585813167088,0.00224326979532943,0.0123403242610878,0.00213030821397983,0.0104931931956388,0.00600907879553398,0.0113776932053763,0.00218642362137337
"11422-8",100,0.00995033085316809,-0.7,0.6,0.1,0.0720931793790171,0.00848911890095833,0.00230283622445849,0.00871456783035737,0.00223881152306331,-0.00994597378633075,0.0182806400599171,0.00870519788129985,0.00298883651508006
"11422-9",100,0.00995033085316809,-0.7,0.6,0.1,0.0724150760912142,0.0115930595931335,0.00192523471509559,0.0112645976604238,0.00189661786444959,0.007326435906474,0.00608858274718295,0.0113412240287133,0.00271896614378604
"11422-10",100,0.00995033085316809,-0.7,0.6,0.1,0.0711256342881269,0.0102249770783085,0.00313992692472634,0.0099476691708003,0.00308282072406181,-0.00122594107509397,0.0149223214844109,0.0106992789878013,0.00431434193103265
"11422-11",100,0.00995033085316809,-0.7,0.6,0.1,0.0720257835775462,0.0101832524067721,0.00209574103885386,0.00992660695521987,0.00208854523162398,0.0143584214195672,0.00800307223384193,0.00975298974176586,0.00276078876256345
"11422-12",100,0.00995033085316809,-0.7,0.6,0.1,0.072070211429414,0.00773852460940609,0.00223186204978293,0.00722508655797947,0.00216920041892402,-0.00986283284534137,0.0126240483054464,0.0068086697908201,0.00184244601293434
"11422-13",100,0.00995033085316809,-0.7,0.6,0.1,0.071968178845006,0.00444621463331782,0.00280604041347845,0.00369076360967316,0.00259985570939839,0.00135923213751086,0.00720317238575659,0.00471519104446624,0.00343241260036402
"11422-14",100,0.00995033085316809,-0.7,0.6,0.1,0.0712556170142356,0.00910516785580484,0.00213421386999169,0.00887429860345579,0.00204623325210966,0.00892727493577539,0.0110147216974767,0.0083975243248199,0.00342995042239748
"11422-15",100,0.00995033085316809,-0.7,0.6,0.1,0.0722434205987954,0.0105726621033688,0.00237288285840091,0.00959066025189393,0.00231978576979537,6.8357738070923e-05,0.0182824934672133,0.0106029187166742,0.00288667905722006
"11422-16",100,0.00995033085316809,-0.7,0.6,0.1,0.071725329172573,0.012493169424453,0.00255836041168365,0.0126785149693026,0.00256145995167744,-0.00811386907381121,0.0107029524904005,0.0134637729822753,0.00293792803206176
"11422-17",100,0.00995033085316809,-0.7,0.6,0.1,0.072279174028623,0.00935713699785345,0.00231646125250139,0.00853737137077074,0.00225392880450304,0.0387442560171708,0.0120195080727898,0.0137737083425147,0.00341006704552987
"11422-18",100,0.00995033085316809,-0.7,0.6,0.1,0.0714105969631668,0.00588186750764041,0.00265495891996581,0.00524816808420629,0.00250606152067046,-0.0046824725973889,0.0128129668967586,0.00523596934397172,0.00422894444779944
"11422-19",100,0.00995033085316809,-0.7,0.6,0.1,0.0713793430074677,0.0122226774182541,0.0023757354957758,0.0114530430357834,0.00228567919350212,0.0140232506771453,0.00765885150476289,0.0134077459478144,0.00387532021626009
"11422-20",100,0.00995033085316809,-0.7,0.6,0.1,0.071499480283989,0.00868262174585845,0.00251879603663317,0.00821018670184507,0.00242295544001313,-0.00355746068792188,0.0101105393624582,0.0110234046765402,0.00397845711996291
"11422-21",100,0.00995033085316809,-0.7,0.6,0.1,0.0716221516584382,0.0108796178899581,0.00323110226937336,0.00902045870794965,0.00292660869035822,-0.00656999930971085,0.0122457138447644,0.0113838618651271,0.00414577850317767
"11422-22",100,0.00995033085316809,-0.7,0.6,0.1,0.0712429778490639,0.0138704279422976,0.00197214883412632,0.0135797361780968,0.0019774114464666,0.0229102741456137,0.00849562484770972,0.0127319527133987,0.00240404548136067
"11422-23",100,0.00995033085316809,-0.7,0.6,0.1,0.0717836239858201,0.0155224365377005,0.00252270356478503,0.0139184509772291,0.00246695539734909,0.0321398332589473,0.0113440928748316,0.0203335230980619,0.00394168220272591
"11422-24",100,0.00995033085316809,-0.7,0.6,0.1,0.0715011658652226,0.00872974287675419,0.00175782554863977,0.00814389284059006,0.00169468913827354,0.00857380063010802,0.00760622111652977,0.00906997006649854,0.0022429667557192
"11422-25",100,0.00995033085316809,-0.7,0.6,0.1,0.0712434031074038,0.0118834157575858,0.00277650045127442,0.0100508311329146,0.00266374946339203,0.0274893129962628,0.0186652310038186,0.011121151968753,0.00349287976666521
"11422-26",100,0.00995033085316809,-0.7,0.6,0.1,0.0717728523047414,0.010731625931816,0.00184091416649902,0.0108293208192209,0.00185561108164007,0.0168529633952262,0.0050776651225857,0.0123072343931632,0.00269125858475957
"11422-27",100,0.00995033085316809,-0.7,0.6,0.1,0.0720728062746225,0.00861255080603243,0.00258404939299929,0.00823989893729346,0.00247504592698696,0.0106724727439773,0.0161065670516646,0.00840321785396889,0.00323284632430648
"11422-28",100,0.00995033085316809,-0.7,0.6,0.1,0.0715757828298459,0.00798324389388434,0.00276227496737049,0.00714242083389405,0.0026722202353101,0.0348075966209843,0.0146810167126824,0.0095114342439439,0.00398950347994635
"11422-29",100,0.00995033085316809,-0.7,0.6,0.1,0.0719618970284825,0.0095272234643875,0.00246545795540691,0.00833613312955141,0.00246771042790655,0.0173267912008465,0.0127165817798447,0.00635661891143377,0.00312521961832836
"11422-30",100,0.00995033085316809,-0.7,0.6,0.1,0.0717956659208306,0.00795612987670257,0.00278476178998667,0.00754529304596293,0.00263724835841652,0.030007035064595,0.0148296738774487,0.00662647207941747,0.0045049887805638
"11422-31",100,0.00995033085316809,-0.7,0.6,0.1,0.0715357370743115,0.0133702316925251,0.00318795826437853,0.0140148211004724,0.00316348672025967,0.00780673286252851,0.0119904375306888,0.0176596446795613,0.00464495296258647
"11422-32",100,0.00995033085316809,-0.7,0.6,0.1,0.0722636058057872,0.00966091642459672,0.00200367527699026,0.00878000819507941,0.00198430240528574,-0.00225757600203856,0.0137625494581846,0.00953032135911291,0.00366779825228635
"11422-33",100,0.00995033085316809,-0.7,0.6,0.1,0.0726765414024309,0.0100641569983179,0.00238752770584839,0.00952785761180471,0.00224758542170009,0.0140730335830552,0.0168061722650667,0.0125189632774524,0.00571264719298655
"11422-34",100,0.00995033085316809,-0.7,0.6,0.1,0.07177377698525,0.0106576092779955,0.00176400974172905,0.0108032006164293,0.00175352451952331,0.0145404988037836,0.00651388521469537,0.00948315033811944,0.00184662488024778
"11422-35",100,0.00995033085316809,-0.7,0.6,0.1,0.072069424062222,0.0112833976568245,0.00186941088461268,0.0108891333839648,0.00185135972670974,0.00916120251303722,0.00745980013088102,0.0120062991733284,0.00227848392368385
"11422-36",100,0.00995033085316809,-0.7,0.6,0.1,0.0718676499508906,0.01119147632256,0.00230972644722037,0.0107211080105946,0.00226515710916003,0.0135744051575123,0.00522597300520748,0.0082231546578408,0.00254759974009635
"11422-37",100,0.00995033085316809,-0.7,0.6,0.1,0.0717018693209744,0.0101520090483066,0.00254032986931751,0.00886900285102841,0.0024214533960448,0.0213920794724861,0.0151956810399437,0.00695294605056843,0.00307584532683061
"11422-38",100,0.00995033085316809,-0.7,0.6,0.1,0.0717128483934612,0.00925676944730256,0.00274431507637985,0.00905688626378407,0.00272914215348326,0.00163933069501659,0.00825134852281049,0.00828440992662868,0.00296621972945732
"11422-39",100,0.00995033085316809,-0.7,0.6,0.1,0.0712190033953209,0.0090850300512679,0.00186101036084975,0.00880233163767023,0.00185950651546232,0.00277081342642388,0.00651386986223138,0.00789003943556491,0.00221545030235281
"11422-40",100,0.00995033085316809,-0.7,0.6,0.1,0.0712751551638873,0.0116066075175598,0.00308555097670269,0.0111582191604052,0.00304906960403839,0.0225993940530588,0.0114319055277971,0.00801161075759655,0.00461800705636521
"11422-41",100,0.00995033085316809,-0.7,0.6,0.1,0.0710890589742315,0.0144442739386912,0.00336828804505659,0.0126127586457211,0.00318353618794471,0.0259779513405243,0.0123284636889465,0.0160647302028804,0.00505412185406316
"11422-42",100,0.00995033085316809,-0.7,0.6,0.1,0.0720654026620004,0.0132283513694027,0.00191282775007977,0.0129179293319991,0.00192582127398078,0.011731616790361,0.00603859247277351,0.0149473815571313,0.00285280177114065
"11422-43",100,0.00995033085316809,-0.7,0.6,0.1,0.0710841250096881,0.00897936408362656,0.00227282171596712,0.00972046831880976,0.00237788473022866,0.00826351137090533,0.00412158659014233,0.00649444692941549,0.00341692985833008
"11422-44",100,0.00995033085316809,-0.7,0.6,0.1,0.0710227144303789,0.014969336240165,0.00250691597920593,0.0139893001895584,0.00238260255332566,0.0187380287480076,0.00925932453580197,0.0152512329263218,0.00369686724419721
"11422-45",100,0.00995033085316809,-0.7,0.6,0.1,0.0712220527459356,0.012087376102632,0.00192246951897325,0.0121730235350712,0.00192205655918904,0.0163264308344462,0.0171710707723193,0.0164134276964975,0.00383578633411287
