"sim","N","beta0","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11427-1",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112407604994211,0.00892381373438492,0.00104386835924871,0.00852212592507506,0.00102383311186904,0.00831272887809201,0.00367825492996322,0.00996821089452531,0.00135803128724984
"11427-2",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11235972433372,0.00955438153597247,0.00110027162430784,0.00920569875647378,0.00107519844102604,0.0128780963116953,0.00322745826739571,0.00960396304710232,0.00141477671687399
"11427-3",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112626007261611,0.00839813137108662,0.00107203938566617,0.00826052177023038,0.00104250873167103,0.00943767602745873,0.00323354389272346,0.00879320063534545,0.00147245082335858
"11427-4",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112281000202183,0.011169981990438,0.000918850680418735,0.0105671156249226,0.000906283329106753,0.00977549936342606,0.00242311183327255,0.011387473029379,0.0011269507603296
"11427-5",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11259297772807,0.0100736765316117,0.00105257980964216,0.00948219178221385,0.00103199320999312,0.00846597732759492,0.00297932934631408,0.00944406026728062,0.00156512552063327
"11427-6",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112648329601867,0.00867209854447733,0.00102087836673672,0.00847308502689762,0.001007422239918,0.00619101261968977,0.00209561131487852,0.00817945357997688,0.00118133101102508
"11427-7",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112920974241366,0.00989445566802663,0.000880940499633852,0.00956999124223557,0.000879071594425944,0.0104743231163189,0.00191202516236996,0.0101810528494581,0.00109094234670275
"11427-8",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112799776039332,0.00929916031464614,0.000977732495640168,0.00887799631034247,0.000960812873712113,0.0057861297909568,0.00392226955338946,0.00983195494025377,0.00145013918143671
"11427-9",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113105190576385,0.0117296979614605,0.00100093447796625,0.0114239124365118,0.00099705417454141,0.0129877761333654,0.00253433986529882,0.0117151855063014,0.00141319863708568
"11427-10",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.11316396554577,0.00984263453887572,0.000913877935708799,0.00974680421400497,0.000911132914915713,0.00685886722208246,0.00305266987399961,0.00934814017855559,0.00117684664358382
"11427-11",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112690653694151,0.00907706677495581,0.00106954487081928,0.00877282427984588,0.00104019071100101,0.0120562963648984,0.00313322497430272,0.00937919445654495,0.00149097432937766
"11427-12",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112752746000919,0.00829706753972252,0.000977422230624196,0.0080215021125661,0.000971031523515527,0.00861289106133615,0.00382205070543024,0.00938754585140416,0.00115280152996467
"11427-13",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113014440405862,0.00856519681891247,0.0010020485476763,0.00828889531979548,0.000980613786152792,0.011550279615591,0.0027263181437284,0.00839090332427942,0.00127596479843702
"11427-14",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113240369211471,0.00897326666366775,0.000913676651872291,0.00906019439343206,0.000900418831338614,0.0130494089838896,0.00357020731509034,0.00851861876079628,0.00109526450010605
"11427-15",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112507212754162,0.0111071431918301,0.00103626431189838,0.0108654700268679,0.00102582586130189,0.0115306676847404,0.00423753872093051,0.0123665769006316,0.00141884006395105
"11427-16",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112961480851794,0.0115311206948346,0.00095556618966437,0.0113726622149056,0.000949647441134996,0.0153854390091257,0.0021903298733599,0.0130024608053047,0.00120277572469814
"11427-17",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112602958021729,0.00989656651164265,0.00104652230283576,0.0095424728664352,0.00102192787332781,0.0197652311806467,0.00626114368903323,0.0116213455536071,0.00156452443603533
"11427-18",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113005646222721,0.0102871308578199,0.00111753209636195,0.00971860417755438,0.00107313883778871,0.00371367576703293,0.00431983305867433,0.0110693023295124,0.00129173793863869
"11427-19",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.113467044408409,0.00959783239655767,0.000988191042522896,0.0085032600768517,0.000959177356734183,0.0119723042713366,0.00466092517951907,0.0092915178531807,0.00129500056873939
"11427-20",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112641351349888,0.00991462994046637,0.00106398796022191,0.00942128866625115,0.001028031998415,0.0101891783691997,0.00375534676471499,0.00881531015936017,0.00149604779713437
"11427-21",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112902730402711,0.00945040231195324,0.000993947610007774,0.00929482476177767,0.000976222176536669,0.00758443504288905,0.0041395829708867,0.0100072030463687,0.00132077418495889
"11427-22",340,-2.20727491318972,0.00995033085316809,-0.7,0.6,0.1,0.112942921598577,0.00944175797281726,0.00102341051213277,0.00909678114137567,0.00100415398584311,0.0124453342296911,0.00293210000886343,0.0101568764054657,0.00152768752446418
