"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",387,-1.1,-0.01,-0.7,0.8,0.1,0.324333104344394,-1.10222004951716,0.00195722503982507,-0.0103906319558344,0.000607633747086684,-1.11346724082942,0.00158390680513867,-0.00963188050284068,0.000589730813149948,-1.10120841566016,0.00703022534537262,-0.0108300401089329,0.00234285508176457,-1.10170501276624,0.00265500284310523,-0.0106786895240509,0.000883258502298368
"11422-2",387,-1.1,-0.01,-0.7,0.8,0.1,0.324872487866831,-1.0996764131109,0.00194309471867351,-0.010193579327789,0.000567004944455427,-1.11055930888626,0.0015977529817358,-0.00937134717254539,0.000543090376111636,-1.09963822952614,0.00599848651497354,-0.00984675643871629,0.00184632919067061,-1.09940098773631,0.00285230411028158,-0.00998610887118613,0.00098398494940596
"11422-3",387,-1.1,-0.01,-0.7,0.8,0.1,0.325341174349243,-1.09742474661146,0.00192087162137804,-0.0105896611476605,0.000558614171932366,-1.10883210608004,0.00158397574753898,-0.00984903339061441,0.00054270261183196,-1.08261133916883,0.00644410769820441,-0.0138070862178981,0.00213129556138538,-1.09711027952485,0.00262654474721918,-0.0108287186208798,0.000876404406221034
"11422-4",387,-1.1,-0.01,-0.7,0.8,0.1,0.324546885013579,-1.09875966827457,0.00213528424164854,-0.0104041836197954,0.00063906499175217,-1.11029292834068,0.00168817396093478,-0.00955895387842674,0.000614044229656131,-1.10253559334133,0.00598033817177529,-0.0103079840592435,0.00164500680846504,-1.10007738137277,0.00325219441092574,-0.00963142110968759,0.0011250601678537
"11422-5",387,-1.1,-0.01,-0.7,0.8,0.1,0.323812238519126,-1.10033684418059,0.0019002748354141,-0.010775536607192,0.000518629329459657,-1.11138437418855,0.00159136468103256,-0.0104119190079105,0.000505496808214864,-1.09031859101838,0.00606323876078722,-0.0133578131526667,0.00210564635896311,-1.0995791642292,0.00259757331047518,-0.011162606105918,0.000796712699898728
"11422-6",387,-1.1,-0.01,-0.7,0.8,0.1,0.324702897683316,-1.09744516577552,0.0019767891658879,-0.010654141464406,0.000552650982138845,-1.10880476353145,0.00162570989767849,-0.0100709930405512,0.000537220811528631,-1.09451625761236,0.00613260497402692,-0.0122392302465594,0.0015792798260293,-1.09845156176973,0.0022896661293,-0.0102969522192989,0.00071296565328163
"11422-7",387,-1.1,-0.01,-0.7,0.8,0.1,0.325676739691736,-1.09580831649777,0.00199873673439354,-0.0100331088988918,0.000560782577757396,-1.10642592848569,0.00164792124828148,-0.00932351967156935,0.000545712469973205,-1.09122489692707,0.00700132186051205,-0.0108739427084131,0.00199347233609041,-1.09388591851778,0.00314802824764246,-0.0106969179334867,0.000989337861576411
"11422-8",387,-1.1,-0.01,-0.7,0.8,0.1,0.324399482204446,-1.0993980905697,0.00195915214034851,-0.0104662127431215,0.000552981878081122,-1.11066445874867,0.00161037489239396,-0.00975299229408749,0.000530460807398799,-1.09754535778615,0.00640231604678613,-0.00839969755471741,0.00207168475852139,-1.09702050896331,0.00301001362357687,-0.0108033954468086,0.00096153314780761
"11422-9",387,-1.1,-0.01,-0.7,0.8,0.1,0.324637821188204,-1.0990850342072,0.00199922306893425,-0.0107978752520706,0.000603383203860754,-1.11070219908043,0.00161898766544878,-0.00986576707471603,0.000577962888434814,-1.10106163675568,0.00624604970021383,-0.0106886159466189,0.00177549088866244,-1.09804646369445,0.00315523980750439,-0.0111447462180235,0.00101184459700036
"11422-10",387,-1.1,-0.01,-0.7,0.8,0.1,0.323959620976685,-1.10340485742608,0.00193366165492034,-0.00915547383917031,0.00052191617792568,-1.11283348658349,0.00160785158526536,-0.00895994585033232,0.000508537750484081,-1.09973646968022,0.00601473442305298,-0.00949013256671505,0.00181598531500642,-1.10370053592582,0.00297761225481694,-0.00926611073756834,0.000813555034646053
"11422-11",387,-1.1,-0.01,-0.7,0.8,0.1,0.325212858763176,-1.09818160711812,0.00198929111170352,-0.0110001044489831,0.000629784098080027,-1.10973948324661,0.00160197995472564,-0.0101317115081125,0.000603907088288753,-1.09604414844288,0.00622382246633473,-0.00932968684760918,0.00171091672018383,-1.09767690692436,0.00310785845786281,-0.0108269345620048,0.00124129601522331
"11422-12",387,-1.1,-0.01,-0.7,0.8,0.1,0.324862501863045,-1.10044556567036,0.00201539352759579,-0.00999628221343522,0.000615763820979082,-1.11061848515653,0.00163126264908443,-0.00949302340340882,0.000597406152646187,-1.09681700534015,0.00704426652721578,-0.011942545070667,0.00206786267259141,-1.10265966063152,0.00310393608045529,-0.00927106706468983,0.00112332485765328
"11422-13",387,-1.1,-0.01,-0.7,0.8,0.1,0.324764297180093,-1.10070583216269,0.00201673784569771,-0.0101997429973467,0.000628189126345625,-1.111727492857,0.00162285460319169,-0.00916507534666253,0.000600754814602304,-1.10230918269905,0.00629913232667005,-0.00773750290222275,0.0022623063118881,-1.10063674592498,0.00321135274534702,-0.00990819785662066,0.00112167321931793
"11422-14",387,-1.1,-0.01,-0.7,0.8,0.1,0.32453899697531,-1.10041689494141,0.00200093474651877,-0.0098404826176542,0.000572723385797542,-1.11068757981043,0.00163818081858454,-0.00916282182576729,0.000547225107358659,-1.10549411789969,0.00598706924659632,-0.0080531281063832,0.00173148314863638,-1.10224245003272,0.002655328309349,-0.00956040649144981,0.000703925226915321
"11422-15",387,-1.1,-0.01,-0.7,0.8,0.1,0.324931243766828,-1.10038959558486,0.0019918570031131,-0.0095526686480283,0.000579226228462129,-1.11062571508297,0.00162399577940635,-0.00899775482315991,0.000566147368606396,-1.10212587855943,0.00659014139017475,-0.00816636845597777,0.00184220026423376,-1.10160732036499,0.00258401456633258,-0.00900534271769388,0.000771806938699261
"11422-16",387,-1.1,-0.01,-0.7,0.8,0.1,0.326398634529409,-1.09637426403596,0.00192271180296473,-0.00981099169582064,0.000568977100384071,-1.1066817361683,0.00158258204523003,-0.00904824048747522,0.000542537602200531,-1.10357869447872,0.0062172110768626,-0.00715657864020679,0.00187492119573191,-1.0997238406314,0.00265371510192255,-0.00885635619812044,0.000866641306703188
"11422-17",387,-1.1,-0.01,-0.7,0.8,0.1,0.325553884944261,-1.09774537790655,0.00196012093438006,-0.0101303954484901,0.000578284584978278,-1.10894973014142,0.00158574764997632,-0.0095080264800869,0.000556078754402371,-1.10113458809487,0.00565012048121851,-0.00688253543529519,0.0016916839124546,-1.09609506212953,0.00315985390616848,-0.0104824229613911,0.000928599944193041
"11422-18",387,-1.1,-0.01,-0.7,0.8,0.1,0.324698471998711,-1.10155102808608,0.00196365241766177,-0.00899753841079707,0.000539857115159963,-1.1107103916921,0.00163869045957982,-0.00857581956604512,0.000530988863501162,-1.0989115036563,0.00581351411996837,-0.0101297386511065,0.00166688575922421,-1.10313274164118,0.00275143612021701,-0.00863597231159324,0.000805749108788804
