"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11430-1",340,0,-0.7,0.6,0.1,0.349345645549887,-0.000349665751205478,0.000572802113261543,-0.00035088184996045,0.000569584764171325,-0.00107420972294253,0.00171197236193751,-0.000575937499828603,0.000665051708991529
"11430-2",340,0,-0.7,0.6,0.1,0.350316806416871,0.000454162097945607,0.000553520706518766,0.000440830482877461,0.000551572526951679,0.00365868048818157,0.00182351459768262,0.000803160231722406,0.00070811331217643
"11430-3",340,0,-0.7,0.6,0.1,0.350153360986705,-1.18732001136603e-06,0.000575617626941042,7.47307797410307e-06,0.000570300047419408,0.000513940357415452,0.00249835823576189,0.000225326902441311,0.000691578307531436
"11430-4",340,0,-0.7,0.6,0.1,0.350080118567069,0.000537167874603782,0.000524962045044979,0.000385090068641,0.000519052125491627,0.000721261242555245,0.00213153928162486,0.000557719088245337,0.000764008179058925
"11430-5",340,0,-0.7,0.6,0.1,0.35057918676625,4.39169702959883e-05,0.000562010833453485,9.29920330707607e-05,0.000550069226952506,0.00160136885573371,0.00216755870956247,-0.000140214628651479,0.000810047332045731
"11430-6",340,0,-0.7,0.6,0.1,0.350048339322006,0.000467953687179687,0.000566600023567254,0.000506122702998029,0.000560659859818493,0.00156928685718561,0.00178925683441385,0.000696806190517199,0.000703710646548412
"11430-7",340,0,-0.7,0.6,0.1,0.351021190301924,0.000200421492703599,0.000600869910523116,0.000229573487764961,0.00058270577597744,0.00144802418989963,0.00234485718693184,0.00058948132160325,0.000834219116827641
"11430-8",340,0,-0.7,0.6,0.1,0.350015862232063,0.000263049976103027,0.000674916885089569,0.000375118927882349,0.000647921415032934,-0.000217119727239155,0.0032068859083266,-0.000481271748566181,0.00116146721604235
"11430-9",340,0,-0.7,0.6,0.1,0.350958136777606,-9.31776240698304e-05,0.000590008227246354,-0.000133266554951719,0.000578280057329135,0.000520603410748216,0.0018820288142564,-0.000156714335145614,0.000970607732550388
"11430-10",340,0,-0.7,0.6,0.1,0.350462032298938,-8.74971674669575e-05,0.000496614559822923,-5.85385087141003e-05,0.000495077288257421,-0.00239500525467295,0.00147333316483261,6.25448567790735e-05,0.000597941769159757
"11430-11",340,0,-0.7,0.6,0.1,0.349740956926681,0.00119862437912098,0.000554989284738709,0.00123418833404693,0.000544409120437892,-0.00151633468011957,0.00187897344495382,0.00136365628704873,0.000748980439130056
"11430-12",340,0,-0.7,0.6,0.1,0.349911575766807,-5.76365926107882e-05,0.000518350003955465,-2.13106064224797e-06,0.000509972148057924,-0.00152077637920471,0.00202122582151038,0.000173225405358434,0.000603194096335101
"11430-13",340,0,-0.7,0.6,0.1,0.349724974233179,0.000136103661110033,0.000568131825054604,1.66129208767296e-05,0.00055717739531992,0.00445477957759562,0.00249007463814928,0.000794808916266119,0.000745148944898687
"11430-14",340,0,-0.7,0.6,0.1,0.350344359273668,0.000481355373125768,0.000573246752453125,0.000255704517982421,0.000562515905052254,0.00195518428523677,0.00161815069246801,0.000393816764279196,0.00072684427648013
"11430-15",340,0,-0.7,0.6,0.1,0.349727489422998,-1.92486543472003e-06,0.000581363077217392,0.00020982817904954,0.00056775565368614,0.000981258721862773,0.00197465975186684,0.000361542551826311,0.000694253791344277
"11430-16",340,0,-0.7,0.6,0.1,0.349835324149954,-0.000562678530508287,0.000573628391494411,-0.000556700503553462,0.000564452797425795,0.000564719352626844,0.00162179170859562,-0.00037641053395209,0.0007305244935855
"11430-17",340,0,-0.7,0.6,0.1,0.349851911329167,-9.588745878889e-05,0.000567417802842943,-0.000198725736393101,0.000558156807500186,-0.000790506417442481,0.00143552993438164,-4.16039309098558e-06,0.000709238517191965
"11430-18",340,0,-0.7,0.6,0.1,0.349241336986405,-0.0006971604794711,0.000559269167580407,-0.000708149548946714,0.000543527749904007,-0.000844306668699353,0.00138530838087628,-0.000548673541527354,0.000645167569440064
"11430-19",340,0,-0.7,0.6,0.1,0.34992377480643,-0.000702752972907834,0.000627030211927358,-0.000756589247500188,0.000627127671292057,-0.000823347873851813,0.00177074139611891,-0.00117080209898734,0.000866468860944501
