"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113645097363993,-2.19894690138276,0.00137992161475768,0.00975086671178124,0.000379009014037165,-2.18840599264631,0.00114628545091475,0.00912150410621599,0.000369806901783686,-2.19904565325993,0.00195403915779911,0.00988054049017221,0.00055090369303083,-2.19876599393505,0.00166013540586125,0.00959217324674756,0.000528584149860473
"11422-2",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113443076477783,-2.20106789917012,0.00140002112476035,0.010092851528863,0.000398192478955667,-2.190265221255,0.00115386970274144,0.00943065313631301,0.000389276129244169,-2.19866616146255,0.00197930488502192,0.00978378659989687,0.000549659581079207,-2.20072992892411,0.00172737889726596,0.00993706492455512,0.000518418736980368
"11422-3",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113635304622324,-2.19996311416391,0.00139985051072956,0.0100651304358761,0.000388113877751535,-2.18955702144919,0.00116490081496098,0.00948246322582831,0.000380155769392311,-2.19933018976028,0.00198554450327491,0.00961429756597593,0.000544238883421994,-2.19996229612043,0.00158069596550881,0.0100214542298331,0.000486982927381137
"11422-4",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113971118175659,-2.19582822266393,0.00138312091513028,0.00932848749966824,0.000368232189329443,-2.18571770870533,0.00115270967109275,0.00872371832301939,0.000357800278134688,-2.1932105687704,0.00199277715474355,0.00865249423246954,0.000544696995468326,-2.19581275553999,0.00165339165780009,0.00931858125739066,0.000529339272389918
"11422-5",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113819595448474,-2.19798631479405,0.00140031070865355,0.00975115089954967,0.000382161286068713,-2.18791625031403,0.00116258852652931,0.00937460377018734,0.000374486098863598,-2.19722414672142,0.0019957472436244,0.00940891902130369,0.000546510463543029,-2.19795762195464,0.00161966497752016,0.0097140633179044,0.000499785642777057
"11422-6",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113762371577233,-2.20317275950953,0.0014178364100802,0.0111292361095519,0.000375193353103358,-2.19143211685934,0.00117883673647791,0.0104867160368069,0.000364358978651755,-2.2045120790515,0.00196147002834776,0.0113380203689278,0.000505483520301363,-2.2033229566503,0.00176251667041464,0.0111801818054651,0.000484092520766066
"11422-7",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113561872146482,-2.1989959506062,0.00140176362665862,0.00955189408403699,0.000394587646524533,-2.18893660438328,0.00115593615888927,0.00902578168986552,0.00038385240306246,-2.19934216411603,0.00196116580556232,0.00975110886247224,0.000536420801736379,-2.19835778277028,0.00176484261262998,0.00933584418446174,0.000577234530670565
"11422-8",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113623980974759,-2.20059917768188,0.00140539066302087,0.0103503119514692,0.000393217174113295,-2.19004303313228,0.00116658447624136,0.00982191638000225,0.000384523980269901,-2.20080103513376,0.00201166605449006,0.0100828122848268,0.000570913006738941,-2.2003132948824,0.00166800686454539,0.0102031428602212,0.000490328587476469
"11422-9",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113570964180248,-2.19907433459783,0.00139285956163804,0.00941154970962847,0.000381387283442498,-2.18936862989808,0.00115752888122381,0.00898542376285729,0.000370464993883982,-2.19849262821966,0.00197344945990868,0.00939042206093994,0.00052875447827815,-2.19885264364826,0.00170297668502552,0.0093551051458213,0.000503956594774412
"11422-10",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113359928854211,-2.20177752467982,0.00140858214562804,0.0101116993575774,0.000404530611299343,-2.19116693337542,0.0011590214841033,0.00953035073903396,0.000395752091814471,-2.20148707130916,0.00201044073452323,0.00968553984405819,0.000581796508415045,-2.20190545058146,0.00179033648190117,0.0101035747293464,0.000567514210692344
"11422-11",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113700193927874,-2.19873704184908,0.00144334988766242,0.00967489339253794,0.000407402489511602,-2.18843209048231,0.00117501376273801,0.00915473566211947,0.000394217250226757,-2.19826443493179,0.00202981944282013,0.00921502752776326,0.000558662726264556,-2.19829233241374,0.00166452023303395,0.00955592040316599,0.000483974128862487
"11422-12",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113483348691329,-2.19865755923107,0.00143487511522219,0.00895307240224159,0.0004053134023798,-2.18930254319516,0.00117598928994311,0.00845311149768663,0.000392891978209144,-2.20003454658409,0.00204368719087167,0.00964856923243867,0.000583093894927429,-2.19900415151653,0.00159296797987484,0.00912488236858966,0.000518141141842883
"11422-13",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113552523908796,-2.20148202948821,0.00140971170652626,0.0102010535542277,0.000386346061761444,-2.19093705594793,0.00116668146473151,0.00977471134318305,0.000376321206217153,-2.20089893763772,0.00198548937270499,0.010661548713572,0.000540550421367996,-2.2013869307704,0.00167385192457726,0.0101989184881992,0.000484390518258099
"11422-14",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113572467036277,-2.20162831564395,0.00139318984214753,0.0105692749507066,0.000386088077922611,-2.19054950389107,0.00115694416547247,0.0100189378571477,0.000379030319696508,-2.20267678716136,0.00198674783775615,0.0106549299750223,0.000565804767779211,-2.20191158028816,0.00173029683709101,0.0106583247176434,0.000571822246517385
"11422-15",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113689118261033,-2.1983370462989,0.00141530970234229,0.00983369212292143,0.000406941695993248,-2.18807279354826,0.00116235124807147,0.00928074039148749,0.000397163768411353,-2.19821710338012,0.00202194948626951,0.00942985848790728,0.000584109165066974,-2.19866179893765,0.00169803489003462,0.00993798932225289,0.000547935499422677
"11422-16",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113619933799123,-2.20128575593308,0.00138573745132643,0.0103589108894655,0.00037345564647473,-2.19040983032771,0.00115464960625308,0.0098329835462221,0.000363042348522613,-2.20252159215042,0.00195211901150095,0.0108511420994296,0.000518837050545512,-2.20109706481656,0.00157844817086098,0.0103403545144743,0.000439019705292574
"11422-17",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113537234653582,-2.20231429993517,0.00144613902164272,0.0102614640072084,0.000398115981862811,-2.19145479974771,0.00118342672505245,0.00988704660821424,0.000391299478314151,-2.20276502058716,0.002071484780267,0.0103320640626494,0.000580809074101892,-2.20225233929323,0.00170472503288491,0.0102003219765535,0.000474503072667655
"11422-18",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.11358414791484,-2.19915605681027,0.00143209660801124,0.00945717126806912,0.000402563807996678,-2.18917169429186,0.00117537741456933,0.00888113126693802,0.00039125766702335,-2.19831652254007,0.0020450249584657,0.00943190543462133,0.000574170762923183,-2.19883756510001,0.00166568422195042,0.00934337434563752,0.000524414415941736
"11422-19",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113929571305121,-2.19543167533918,0.00141819721479466,0.00915928116091448,0.000394185467247689,-2.18559931349459,0.00116601279189669,0.00857555504299805,0.000382807457032376,-2.19529565043768,0.00198506464050587,0.00926728058593197,0.000547031966581559,-2.19541304913649,0.00181640835477647,0.00918235428030346,0.000530738008157542
"11422-20",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113675335980829,-2.20063745407426,0.0014392162553729,0.0102757674800704,0.000402548387002419,-2.18979954400789,0.00117866447265714,0.00967120334222814,0.000389320790251939,-2.20167165849678,0.00201847796572743,0.0103759631953354,0.000552711824750224,-2.2001601779265,0.0016624155232011,0.0100735373578789,0.000486798083378262
"11422-21",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113407180385284,-2.20066249766321,0.00141446666212983,0.00956556265778966,0.00039715413190267,-2.19038022002624,0.00116098921507354,0.00895414300624759,0.000384611005635719,-2.20113246904084,0.00201501904206862,0.00929192983059392,0.000596389483253476,-2.20045001190013,0.00172471884864505,0.00957237350749241,0.000511993883081354
"11422-22",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113495655790892,-2.20293029117472,0.00141679618447712,0.0105186342372385,0.000388266310309308,-2.19170989311024,0.00116790473091208,0.00994979668669311,0.000377908582217086,-2.20296705673604,0.00199255957831275,0.0103791782832757,0.000545657900286197,-2.20294404643049,0.00168562412075227,0.0104245039723367,0.000478307319372301
"11422-23",2169,-2.2,0.00995033085316809,-0.7,0.8,0.5,0.113751126476673,-2.19896699934223,0.0014016494514071,0.0100847709835514,0.00039010972514669,-2.18803551584288,0.00115603658872338,0.00939027559997119,0.000379590769768795,-2.19766412720161,0.00197826668472724,0.0100299672625303,0.000544459348295507,-2.19890566997231,0.00176355029712952,0.0100705397834401,0.000529589646122071
