"sim","N","beta1","muU","sigmaU","pV","avg_prev","beta_gs","se_beta_gs","beta_n","se_beta_n","beta_cc","se_beta_cc","beta_imp","se_beta_imp"
"11425-1",100,0.00995033085316809,-0.7,0.15,0.1,0.0724015927460141,0.00912754297836958,0.00250561406592102,0.00895455599845203,0.00248413503771811,0.00316965684649193,0.00715495105092828,0.00943710151883735,0.0027604568897687
"11425-2",100,0.00995033085316809,-0.7,0.15,0.1,0.0709071109995751,0.00849727189923274,0.00237172947847241,0.00864824976376238,0.0023641172522757,0.00865841015326142,0.00856625223930738,0.00863471363053855,0.00254943382278672
"11425-3",100,0.00995033085316809,-0.7,0.15,0.1,0.0710047121025463,0.0111494141987898,0.00201339263528228,0.0113151442297043,0.00202356047224472,0.0227301442393786,0.0136516263902072,0.0117795637090808,0.00203464883416386
"11425-4",100,0.00995033085316809,-0.7,0.15,0.1,0.0715278105668667,0.011775529667087,0.00240318967524512,0.011950170688375,0.00241781888061155,0.00282742836540691,0.0101097641950652,0.0118432950133392,0.00245568023468039
"11425-5",100,0.00995033085316809,-0.7,0.15,0.1,0.0720261408561987,0.00853240773188645,0.00223136324068718,0.00839665313384953,0.00221040063727075,0.00931940247975697,0.00853604024041289,0.00920132676767575,0.00233196960909143
"11425-6",100,0.00995033085316809,-0.7,0.15,0.1,0.0712959705890592,0.0125317968667688,0.00259490756723206,0.0125344710058896,0.00260935067156973,0.00165851705171241,0.0112910062234308,0.0126167170017705,0.00266997818872206
"11425-7",100,0.00995033085316809,-0.7,0.15,0.1,0.0715145971980486,0.00428005667192055,0.00306551280776465,0.00416743300768653,0.00306935350030769,0.011708407804823,0.0128877093057893,0.00466358616592056,0.00328091926280342
"11425-8",100,0.00995033085316809,-0.7,0.15,0.1,0.0719554109359444,0.00943088879756697,0.00294293426949432,0.00954264208470837,0.00293351661702341,0.00554455145280244,0.00705131834195087,0.00887424045846942,0.00306560141949557
"11425-9",100,0.00995033085316809,-0.7,0.15,0.1,0.0716282163459458,0.00951972139841368,0.0024374652811535,0.00952196379073177,0.00242915739994586,0.00965163347984825,0.00515584975443531,0.00915196029421709,0.00257435828658627
"11425-10",100,0.00995033085316809,-0.7,0.15,0.1,0.0716403165034757,0.0119769717823425,0.00252428883290552,0.0121287912522498,0.00252200389668701,0.012890352030491,0.0125654203942224,0.0117941273518142,0.00273542543725423
"11425-11",100,0.00995033085316809,-0.7,0.15,0.1,0.072223890881091,0.00827639346846731,0.00276741193558121,0.00858695658649506,0.00275060372719413,0.0226355935829088,0.0124165443116748,0.00871933299820626,0.00302471568938145
"11425-12",100,0.00995033085316809,-0.7,0.15,0.1,0.0721336184815366,0.0113957035897857,0.00207380426650004,0.0111949175103079,0.0020652623757022,0.00711963765482327,0.00610229866230921,0.0112641545256741,0.00223311546720621
"11425-13",100,0.00995033085316809,-0.7,0.15,0.1,0.0716860487798452,0.00581659990513883,0.00265182598693755,0.00613420670908217,0.00265329840347942,0.0021763332113647,0.0090465952751141,0.00638334948641187,0.00273397238504714
"11425-14",100,0.00995033085316809,-0.7,0.15,0.1,0.0712962961351682,0.00965273208825297,0.00254092687596631,0.00957578260956963,0.00252866005305604,0.0107665193132064,0.0105590544313729,0.0107057757573502,0.00269445738451928
"11425-15",100,0.00995033085316809,-0.7,0.15,0.1,0.0718594036713899,0.0077443488526007,0.00189702729830962,0.00778280447029997,0.00190339828590544,-0.00520757642974241,0.00624828001277634,0.00791555961529029,0.0019403883642985
"11425-16",100,0.00995033085316809,-0.7,0.15,0.1,0.0725114518688263,0.00970233040705872,0.00188134260089311,0.00975370438379987,0.00187794888217747,0.0156792611524076,0.0108463023566167,0.00929182746756981,0.00190091863956417
"11425-17",100,0.00995033085316809,-0.7,0.15,0.1,0.0718898570253827,0.00766759484317012,0.00239012938841192,0.00757513568567108,0.00237108130115395,0.0067439559472586,0.00957177598341795,0.00751550692589165,0.0025471876065203
"11425-18",100,0.00995033085316809,-0.7,0.15,0.1,0.0730173117642847,0.0113469679720741,0.00214122440621486,0.0114117157325841,0.00212842718434791,0.00111807266552789,0.00813064327518401,0.0113390011517862,0.00217962413259118
"11425-19",100,0.00995033085316809,-0.7,0.15,0.1,0.0720514301077833,0.00707123281702877,0.00244428639610041,0.00712323986059171,0.00246759900933444,0.0100122344979618,0.0113044422266386,0.00769441847738653,0.00278035131055494
"11425-20",100,0.00995033085316809,-0.7,0.15,0.1,0.0718334476185855,0.00805431190107618,0.00232063901970247,0.00793777846862279,0.00229265970988852,0.0305418922814232,0.0146513736941849,0.00898530877688147,0.00252271660292483
"11425-21",100,0.00995033085316809,-0.7,0.15,0.1,0.0713265053867869,0.00867179915532551,0.00272686914212603,0.00867028263020616,0.0027422514974671,-0.00788490851388788,0.00875802015149933,0.00984830908741533,0.00272268955669483
"11425-22",100,0.00995033085316809,-0.7,0.15,0.1,0.0709189766501891,0.00848634400857115,0.00219551440106387,0.00857345468990593,0.00220290184109101,0.0169742035928225,0.00567681518354589,0.00849225043115702,0.00227181785546714
"11425-23",100,0.00995033085316809,-0.7,0.15,0.1,0.0723700988361789,0.00783830927924504,0.00262114618141441,0.00781083191545486,0.00261224597496399,-0.0106325468770846,0.0130478128504054,0.00710478662898075,0.00262145268728848
