"sim","N","beta0","beta1","muU","sigmaU","q","avg_prev","beta0_gs","se_beta0_gs","beta1_gs","se_beta1_gs","beta0_n","se_beta0_n","beta1_n","se_beta1_n","beta0_cc","se_beta0_cc","beta1_cc","se_beta1_cc","beta0_imp","se_beta0_imp","beta1_imp","se_beta1_imp"
"11422-1",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11299877956636,-2.19874461729666,0.00331907902118901,0.00787469710497073,0.000987906175751468,-2.18964261712694,0.00261767078272319,0.00791189705232345,0.000937744595117909,-2.19188031290265,0.0119144349743007,0.0044151211753043,0.00378320838614575,-2.1996533650148,0.00628819928143159,0.00800453963811563,0.00238476219198616
"11422-2",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113743691285579,-2.19468497722898,0.0033516960091277,0.00838263156480184,0.000946717863753364,-2.18405636282475,0.00267575955600174,0.00739904427736131,0.000898097812854793,-2.18371236743024,0.0116182507763432,0.00561077072751924,0.00385657856271519,-2.19315575657522,0.00420811904267053,0.00818614033628413,0.00143524517598701
"11422-3",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113556400615939,-2.19746826788902,0.00329303850873106,0.0090969176696331,0.00094033719783027,-2.18598617926765,0.00263692240334567,0.00821459379692268,0.000904615948319064,-2.20864483080326,0.0135575549990747,0.00860340187347854,0.00469007812984738,-2.19989849919817,0.00461597450879953,0.00997674438880362,0.00151305301821617
"11422-4",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113751197093216,-2.19844786717858,0.00355889661340371,0.00942205320370951,0.00100773567361945,-2.18608773240197,0.00273342413715521,0.00842683085733114,0.000930339356050302,-2.20470259451609,0.0116542433811216,0.0109716498211236,0.00340712073886413,-2.19385720202577,0.00421168970077822,0.00820991338444405,0.00137991877625705
"11422-5",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113570031572448,-2.20468203507287,0.00321165465228542,0.0108118946082931,0.00078972443820459,-2.19248596670679,0.00269182398599157,0.0105502425642415,0.000776439291164299,-2.20858193845858,0.0103218478977339,0.00900266518731149,0.00220711151234947,-2.20172724318117,0.00447224074025996,0.00996714988898469,0.00115495653014678
"11422-6",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11381987181551,-2.19879096472782,0.00330890128338976,0.0103074564526953,0.000923384363418516,-2.18539912405118,0.00264516568947102,0.00911574881983107,0.000877982632019864,-2.17968394158611,0.0108375761869155,0.0071736945374981,0.00290721748288875,-2.19417258135327,0.00465895583193341,0.00868674849627964,0.00153365401884753
"11422-7",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.114349561723496,-2.19385969275752,0.00342662468162856,0.00945249199073809,0.000921936499227495,-2.1828980238535,0.0027627375874159,0.00896738645931719,0.000893276009722036,-2.19044321692909,0.0109559184154962,0.00707654374831308,0.00316738212833901,-2.2001957001372,0.00656972526700168,0.0109587140186943,0.00205574933783555
"11422-8",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113876745475972,-2.2003506503925,0.00338724288180924,0.0110090565145177,0.000953362715165639,-2.18626228868423,0.0027055159002384,0.00958381182050887,0.000914161082270544,-2.19240158006991,0.0115038220033729,0.0142776053849058,0.00350709950167007,-2.19829413242682,0.0058201277333304,0.0101624702672111,0.00192979070085247
"11422-9",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113630823193747,-2.19987663190691,0.00337420841864916,0.00999492862658052,0.000948731081461526,-2.18822395671833,0.00270107397432438,0.00965796906326316,0.000924914384703331,-2.18786220783252,0.0100874880858163,0.00913058540618043,0.00266841460464959,-2.19922477644713,0.00453244768161338,0.00982857505252599,0.00147805199337799
"11422-10",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113701127183552,-2.20132024305529,0.00333650166096784,0.010577507914988,0.000904872295451006,-2.18852572953298,0.00270380332356272,0.00967346063427848,0.000866600197729928,-2.19218146809617,0.0118072217588269,0.00638284998229137,0.0034514141261525,-2.19959455654212,0.0047867975635245,0.0093308338708689,0.00131393047906607
"11422-11",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11390291669537,-2.19932894986024,0.00338045950834714,0.0107795044613605,0.000961875749341503,-2.18612101000401,0.00269146642885856,0.00983241024110167,0.000919277401293031,-2.19502198110297,0.0109331107198886,0.0124488812399393,0.00295345770636419,-2.20394771488893,0.0053938138191682,0.0121444708276509,0.0016418163116869
"11422-12",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113868425693887,-2.19522755675251,0.00320780079845218,0.00860848936244807,0.000825630044031236,-2.18395443609306,0.00263279873573986,0.00775429051008428,0.000801470182981583,-2.19794055910103,0.011221705413766,0.00747255085500274,0.00272885288154792,-2.1976801805437,0.00454568111163316,0.00935049465914158,0.00140575056169456
"11422-13",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113344300364714,-2.20045205791481,0.00331623886933321,0.00956112178131496,0.000953202348713854,-2.18866437222759,0.00264812856400355,0.00876009139869555,0.000910196989612911,-2.19769311674334,0.011874216342112,0.00789987182797316,0.0045454497984799,-2.2003561096826,0.00440911114423674,0.0102215573122546,0.00150010363915508
"11422-14",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113494143693739,-2.19794949262199,0.00342003053474294,0.00828056008567333,0.000922223237580776,-2.18671833493609,0.00269372927199273,0.00726175872544577,0.000861283553541116,-2.2056610190376,0.0109726600241505,0.0128522876379222,0.00303806993593646,-2.20235224658391,0.00520579042113052,0.0100327118347044,0.00163172685304656
"11422-15",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113471300410224,-2.20214517813794,0.00341246643992149,0.00998278742743892,0.000940432246489939,-2.18851202513438,0.0026846097740943,0.00867023730718084,0.000889889623559095,-2.20101112533575,0.0106903366801786,0.010721602234695,0.00255341042528746,-2.20336267756014,0.00427079830464352,0.0103765447752011,0.00143778626606903
"11422-16",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113648886860099,-2.20210672739572,0.00327066728369162,0.0101189957367301,0.000826947873250997,-2.18971504220128,0.00269723180382383,0.00926790718115892,0.000794780131710375,-2.19710918515681,0.0103942121409111,0.0088644404587243,0.00334523396765627,-2.2020825397434,0.00392078020574501,0.0104394118828445,0.00119603606902126
"11422-17",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113760169703121,-2.20252419295005,0.00337309779647989,0.0107673087379581,0.000887790210228218,-2.18975622764893,0.00275015295882225,0.0101215936043799,0.000872367361322149,-2.20712901028797,0.00933030157006842,0.00972176236116196,0.00241994096815288,-2.20050398602679,0.00402482277531686,0.010114694231944,0.00116009379070379
"11422-18",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113791188088888,-2.19803551106251,0.00338626223406151,0.0100459329659068,0.000977791918030652,-2.18564900202906,0.00268739460708446,0.009027943363604,0.000929411113909201,-2.20419244323836,0.0102548383072819,0.0122347941774461,0.0029132586556093,-2.19726548493813,0.00415261930832991,0.0101939010577195,0.00135746436132929
"11422-19",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11359886785235,-2.19848346958019,0.00344326628695963,0.00963012206963031,0.00102139568261107,-2.18623023541543,0.00267209715119724,0.00881008037713476,0.000973709585811525,-2.22196375544199,0.0114515193923487,0.00995617312988523,0.00381350751468993,-2.20147398652299,0.00511038562712188,0.0106752858089043,0.00168618022070078
"11422-20",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113765398262868,-2.20565564187721,0.00343856824576949,0.0111747799955211,0.00086055069344773,-2.19188151509915,0.00279239459425908,0.0102360167653092,0.0008195752355568,-2.2039039967967,0.0095453847556703,0.0116701450214365,0.0024990150171089,-2.20556941589359,0.00521031624125025,0.0113690688241881,0.00133145623636858
"11422-21",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113243640749187,-2.19859559673251,0.0033699719249023,0.0086522952127835,0.00100798158658042,-2.18820577931952,0.00268163726411312,0.00785848494693193,0.000977526197427611,-2.17106180411277,0.0115588477206945,0.00107615476647222,0.00454332863789507,-2.19628196907186,0.00599325812205557,0.00776106665859,0.00231788765396466
"11422-22",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.11409102032173,-2.19389798457015,0.00332579211256948,0.00879854843331846,0.000886602881537553,-2.18321600005099,0.00272073195424887,0.00805499435406304,0.000873683538349481,-2.19204759974859,0.00965536025983792,0.00772372492683844,0.00221723160887293,-2.19378877080586,0.00413677325330114,0.00905002457072045,0.00116526575926923
"11422-23",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113211158765762,-2.20393574127499,0.00342724721649392,0.0103592952678795,0.00100361540487321,-2.19188998782444,0.00272213378622555,0.00963732163850266,0.000961437734361225,-2.21686233941537,0.011055607953286,0.0125735312247069,0.00309785056644271,-2.20643849166109,0.00501773643267969,0.0104576861826112,0.00179132561495028
"11422-24",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113689999898473,-2.20141042457993,0.0033121802313096,0.0103796583211481,0.000878413853231314,-2.18954889721963,0.00273450488093749,0.00979114433887545,0.000871239454897108,-2.17813890726682,0.0118677083852227,0.00279050527247104,0.00325835265491308,-2.20063136844014,0.00418937286045156,0.0097651312736933,0.00122816166238438
"11422-25",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113624793855207,-2.20323938364832,0.00326444462738124,0.0112392248065581,0.000881555009735587,-2.19031969859674,0.0026844375323449,0.0105424120880429,0.000854925979778274,-2.20854657058401,0.0116810362935762,0.0110321650377062,0.00413717815370928,-2.20894407246705,0.00487889828987726,0.0137137262990306,0.00158611920129063
"11422-26",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113581925673734,-2.1975703727517,0.00335414035554834,0.00936277162398145,0.000990173070229408,-2.18586211131973,0.00265552643028462,0.00835599368142275,0.000942867889079265,-2.20914825124177,0.010719750834893,0.0117856810057935,0.00305612213156897,-2.19841313252019,0.00526310847994194,0.00977462595442067,0.00173295154834539
"11422-27",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113738008073002,-2.20263502820314,0.00327419605693156,0.0108386906806929,0.000842097578007749,-2.18984699259233,0.00268559301174982,0.0104851538438291,0.000820520632663274,-2.19133772122795,0.011212287632454,0.0109825827166241,0.00413262101555103,-2.20885676793936,0.00507667803869268,0.0130998146542356,0.00163042677079864
"11422-28",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113420444874077,-2.19690427753776,0.00320605338699569,0.00842307178301938,0.00089166617053624,-2.18661660954402,0.00262006248842327,0.00769110161715934,0.000860134884065152,-2.19993335440456,0.0110200555505914,0.00403392066844228,0.00475333975540355,-2.19383087428031,0.00389249219089818,0.0077522252200065,0.00118433758429914
"11422-29",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.114194408018398,-2.19671122599452,0.00327534777122649,0.00981588236117408,0.00082309910855029,-2.18555621590556,0.0027183705314926,0.00962694720026043,0.000819638329427953,-2.18504303855172,0.0098424172426458,0.008517383053132,0.00197559318259849,-2.19774657811326,0.00411559570447788,0.0101037386441852,0.0011026165978753
"11422-30",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113500435634872,-2.20161953683556,0.0033761759665656,0.0105090469106523,0.000975791209366623,-2.18924361391815,0.00270141160488611,0.00990262428188193,0.000958203905929631,-2.20264890669024,0.0124889623454284,0.00463198419492179,0.00398755747466071,-2.20081819159045,0.00596998619287496,0.010002558826017,0.00201647325574225
"11422-31",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113091276450136,-2.20640091483688,0.00338774583996471,0.010254825900247,0.0009152106065545,-2.19461021650898,0.00274337404917811,0.00972139093661514,0.0008796236833619,-2.20252770110821,0.0106332894301005,0.00975660609654867,0.0023418255233587,-2.20587569109539,0.00476514210440793,0.0106030193533667,0.00152653296014665
"11422-32",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.113545743683669,-2.2052947544027,0.00324698900111177,0.0121077299959456,0.00089394620890789,-2.19066506780927,0.00263981677864124,0.0112142061911468,0.000853873815646965,-2.19421288327059,0.0104687694444888,0.0114179973152137,0.00213262136173452,-2.20387287401654,0.00485885154318842,0.0119659531071774,0.00168452321033734
"11422-33",387,-2.2,0.00995033085316809,-0.7,1,0.1,0.114153117329923,-2.19676784726501,0.0032175372908285,0.0101373237076312,0.000826319479873557,-2.18500446072671,0.00267848991807464,0.00962401009906961,0.00081579069907618,-2.20534451573962,0.0102654265405174,0.0120646653814083,0.00227462485146625,-2.19498585347774,0.00417579665649576,0.00955782657155597,0.00112054070503225
